Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1536510983,2018-09-09T16:36:23Z,JAI384,"28.532639,77.132317",2175,189,108
1536510990,2018-09-09T16:36:30Z,JAI384,"28.529865,77.137383",2375,189,125
1536510998,2018-09-09T16:36:38Z,JAI384,"28.525681,77.141083",2575,183,149
1536511007,2018-09-09T16:36:47Z,JAI384,"28.518366,77.143143",2750,189,174
1536511030,2018-09-09T16:37:10Z,JAI384,"28.495743,77.135384",2975,226,198
1536511043,2018-09-09T16:37:23Z,JAI384,"28.482941,77.131348",3275,238,194
1536511055,2018-09-09T16:37:35Z,JAI384,"28.470154,77.128036",3700,244,191
1536511066,2018-09-09T16:37:46Z,JAI384,"28.456034,77.124939",3975,258,190
1536511077,2018-09-09T16:37:57Z,JAI384,"28.442093,77.12207",4375,264,190
1536511084,2018-09-09T16:38:04Z,JAI384,"28.434294,77.120522",4600,266,190
1536511094,2018-09-09T16:38:14Z,JAI384,"28.423691,77.118263",4875,268,190
1536511104,2018-09-09T16:38:24Z,JAI384,"28.408735,77.115028",5000,271,190
1536511118,2018-09-09T16:38:38Z,JAI384,"28.393982,77.111717",5100,272,191
1536511128,2018-09-09T16:38:48Z,JAI384,"28.378988,77.108192",5200,272,191
1536511141,2018-09-09T16:39:01Z,JAI384,"28.363766,77.10453",5300,272,191
1536511152,2018-09-09T16:39:12Z,JAI384,"28.349009,77.100487",5425,272,197
1536511159,2018-09-09T16:39:19Z,JAI384,"28.342073,77.097206",5500,275,205
1536511167,2018-09-09T16:39:27Z,JAI384,"28.332344,77.090416",5650,279,215
1536511174,2018-09-09T16:39:34Z,JAI384,"28.325912,77.084412",5825,281,221
1536511180,2018-09-09T16:39:40Z,JAI384,"28.32074,77.078758",6025,283,224
1536511186,2018-09-09T16:39:46Z,JAI384,"28.315025,77.072433",6275,283,224
1536511193,2018-09-09T16:39:53Z,JAI384,"28.309616,77.066505",6500,284,224
1536511207,2018-09-09T16:40:07Z,JAI384,"28.294868,77.050354",7100,286,224
1536511219,2018-09-09T16:40:19Z,JAI384,"28.283066,77.03756",7600,286,223
1536511232,2018-09-09T16:40:32Z,JAI384,"28.27136,77.024986",8050,289,223
1536511243,2018-09-09T16:40:43Z,JAI384,"28.259628,77.012421",8300,294,223
1536511254,2018-09-09T16:40:54Z,JAI384,"28.247635,76.99958",8525,305,223
1536511266,2018-09-09T16:41:06Z,JAI384,"28.235779,76.986908",8725,316,223
