Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1536771239,2018-09-12T16:53:59Z,JAI384,"28.551086,77.051292",2000,190,288
1536771245,2018-09-12T16:54:05Z,JAI384,"28.552582,77.045715",2300,185,285
1536771251,2018-09-12T16:54:11Z,JAI384,"28.553238,77.039932",2550,182,272
1536771272,2018-09-12T16:54:32Z,JAI384,"28.544109,77.023636",3000,200,208
1536771279,2018-09-12T16:54:39Z,JAI384,"28.538269,77.021347",3125,211,193
1536771289,2018-09-12T16:54:49Z,JAI384,"28.529022,77.020554",3275,226,180
1536771297,2018-09-12T16:54:57Z,JAI384,"28.519455,77.02034",3450,235,182
1536771308,2018-09-12T16:55:08Z,JAI384,"28.506729,77.0168",3625,244,202
1536771316,2018-09-12T16:55:16Z,JAI384,"28.500816,77.013191",3750,248,211
1536771322,2018-09-12T16:55:22Z,JAI384,"28.491669,77.006714",3900,258,212
1536771328,2018-09-12T16:55:28Z,JAI384,"28.485174,77.002098",4050,263,212
1536771335,2018-09-12T16:55:35Z,JAI384,"28.479263,76.997841",4225,266,212
1536771342,2018-09-12T16:55:42Z,JAI384,"28.472513,76.992996",4450,269,212
1536771352,2018-09-12T16:55:52Z,JAI384,"28.459717,76.983841",4650,282,212
1536771360,2018-09-12T16:56:00Z,JAI384,"28.453445,76.979301",4750,288,212
1536771370,2018-09-12T16:56:10Z,JAI384,"28.439228,76.968979",4975,301,212
1536771376,2018-09-12T16:56:16Z,JAI384,"28.432058,76.963806",5075,308,212
1536771389,2018-09-12T16:56:29Z,JAI384,"28.417255,76.95314",5275,320,212
1536771402,2018-09-12T16:56:42Z,JAI384,"28.401659,76.941994",5550,329,212
1536771412,2018-09-12T16:56:52Z,JAI384,"28.386429,76.931183",5950,332,211
1536771426,2018-09-12T16:57:06Z,JAI384,"28.369865,76.919487",6400,334,211
1536771436,2018-09-12T16:57:16Z,JAI384,"28.355988,76.909737",6800,336,211
1536771449,2018-09-12T16:57:29Z,JAI384,"28.338501,76.89743",7250,340,211
1536771461,2018-09-12T16:57:41Z,JAI384,"28.322008,76.88588",7675,343,211
1536771474,2018-09-12T16:57:54Z,JAI384,"28.305437,76.874245",8125,347,211
1536771486,2018-09-12T16:58:06Z,JAI384,"28.28919,76.862885",8525,350,211
1536771498,2018-09-12T16:58:18Z,JAI384,"28.272308,76.851105",8850,356,211
1536771513,2018-09-12T16:58:33Z,JAI384,"28.250931,76.836159",9325,359,211
1536771525,2018-09-12T16:58:45Z,JAI384,"28.233765,76.824173",9725,363,211
1536771537,2018-09-12T16:58:57Z,JAI384,"28.216335,76.812042",10125,365,211
1536771548,2018-09-12T16:59:08Z,JAI384,"28.199066,76.79998",10500,369,211
1536771560,2018-09-12T16:59:20Z,JAI384,"28.180893,76.787354",10900,372,211
1536771573,2018-09-12T16:59:33Z,JAI384,"28.164383,76.775803",11225,376,211
1536771584,2018-09-12T16:59:44Z,JAI384,"28.145437,76.762604",11675,378,211
1536771596,2018-09-12T16:59:56Z,JAI384,"28.127188,76.74984",12100,379,211
1536771631,2018-09-12T17:00:31Z,JAI384,"28.077517,76.715157",13175,388,211
1536771662,2018-09-12T17:01:02Z,JAI384,"28.026123,76.679398",14450,393,211
1536771697,2018-09-12T17:01:37Z,JAI384,"27.975615,76.644287",15725,395,211
1536771729,2018-09-12T17:02:09Z,JAI384,"27.922031,76.606979",16750,405,211
1536771763,2018-09-12T17:02:43Z,JAI384,"27.869064,76.570251",17875,407,211
1536771793,2018-09-12T17:03:13Z,JAI384,"27.820129,76.536308",18650,415,211
1536771858,2018-09-12T17:04:18Z,JAI384,"27.716551,76.459511",20350,424,213
1536771918,2018-09-12T17:05:18Z,JAI384,"27.611847,76.380791",21850,435,213
1536771971,2018-09-12T17:06:11Z,JAI384,"27.521589,76.321281",22875,446,203
1536772033,2018-09-12T17:07:13Z,JAI384,"27.401413,76.262222",23900,463,203
1536772097,2018-09-12T17:08:17Z,JAI384,"27.275391,76.20034",25325,464,203
1536772156,2018-09-12T17:09:16Z,JAI384,"27.154999,76.141212",26375,474,203
1536772220,2018-09-12T17:10:20Z,JAI384,"27.027512,76.078667",27375,483,203
1536772284,2018-09-12T17:11:24Z,JAI384,"26.896208,76.015038",28475,485,203
1536772347,2018-09-12T17:12:27Z,JAI384,"26.765076,75.951027",29525,488,203
1536772407,2018-09-12T17:13:27Z,JAI384,"26.641342,75.890961",30925,478,203
1536772472,2018-09-12T17:14:32Z,JAI384,"26.513763,75.828674",32000,478,203
1536772534,2018-09-12T17:15:34Z,JAI384,"26.385269,75.766541",31975,481,203
1536772613,2018-09-12T17:16:53Z,JAI384,"26.219833,75.687096",32000,482,203
1536772671,2018-09-12T17:17:51Z,JAI384,"26.101048,75.62999",32000,481,203
1536772726,2018-09-12T17:18:46Z,JAI384,"25.99235,75.577805",32000,484,203
1536772791,2018-09-12T17:19:51Z,JAI384,"25.854834,75.5121",32000,485,203
1536772904,2018-09-12T17:21:44Z,JAI384,"25.621141,75.400673",32000,488,203
1536772936,2018-09-12T17:22:16Z,JAI384,"25.553696,75.3685",32000,487,203
1536773136,2018-09-12T17:25:36Z,JAI384,"25.141022,75.172935",31975,480,203
1536773197,2018-09-12T17:26:37Z,JAI384,"25.016785,75.114441",32000,477,203
1536773258,2018-09-12T17:27:38Z,JAI384,"24.894135,75.056831",32000,475,203
1536773321,2018-09-12T17:28:41Z,JAI384,"24.76486,74.996048",32000,474,203
1536773382,2018-09-12T17:29:42Z,JAI384,"24.642883,74.939064",32000,474,203
1536773446,2018-09-12T17:30:46Z,JAI384,"24.512695,74.882301",31975,475,200
1536773506,2018-09-12T17:31:46Z,JAI384,"24.387405,74.831848",32000,477,200
1536773569,2018-09-12T17:32:49Z,JAI384,"24.256695,74.77932",32000,478,200
1536773630,2018-09-12T17:33:50Z,JAI384,"24.129002,74.728333",32000,481,200
1536773690,2018-09-12T17:34:50Z,JAI384,"24.001419,74.677376",32000,482,200
1536773754,2018-09-12T17:35:54Z,JAI384,"23.869474,74.62458",31975,484,200
1536773817,2018-09-12T17:36:57Z,JAI384,"23.734146,74.570427",32000,484,200
1536773839,2018-09-12T17:37:19Z,JAI384,"23.69101,74.553123",32000,483,200
1536773932,2018-09-12T17:38:52Z,JAI384,"23.492157,74.473625",32000,481,200
1536773995,2018-09-12T17:39:55Z,JAI384,"23.363205,74.422485",31975,481,200
1536774056,2018-09-12T17:40:56Z,JAI384,"23.236542,74.372444",32000,482,200
1536774119,2018-09-12T17:41:59Z,JAI384,"23.102646,74.319511",32000,483,200
1536774179,2018-09-12T17:42:59Z,JAI384,"22.974554,74.268951",32000,483,200
1536774241,2018-09-12T17:44:01Z,JAI384,"22.847281,74.218597",32000,483,200
1536774305,2018-09-12T17:45:05Z,JAI384,"22.71254,74.165558",32000,483,199
1536774366,2018-09-12T17:46:06Z,JAI384,"22.580488,74.113976",32000,484,199
1536774430,2018-09-12T17:47:10Z,JAI384,"22.444881,74.060921",32000,484,200
1536774494,2018-09-12T17:48:14Z,JAI384,"22.311232,74.008484",31975,483,199
1536774554,2018-09-12T17:49:14Z,JAI384,"22.184235,73.958916",31975,480,199
1536774619,2018-09-12T17:50:19Z,JAI384,"22.050724,73.90696",32000,480,199
1536774682,2018-09-12T17:51:22Z,JAI384,"21.91777,73.85524",32000,481,199
1536774744,2018-09-12T17:52:24Z,JAI384,"21.790833,73.806",32000,481,199
1536774805,2018-09-12T17:53:25Z,JAI384,"21.656986,73.754478",32000,482,199
1536774867,2018-09-12T17:54:27Z,JAI384,"21.52858,73.70488",32000,482,199
1536774930,2018-09-12T17:55:30Z,JAI384,"21.394756,73.653259",32000,483,199
1536774990,2018-09-12T17:56:30Z,JAI384,"21.267929,73.604401",32000,483,199
1536775051,2018-09-12T17:57:31Z,JAI384,"21.139343,73.556213",32000,483,197
1536775115,2018-09-12T17:58:35Z,JAI384,"21.003159,73.510567",32000,484,197
1536775177,2018-09-12T17:59:37Z,JAI384,"20.873325,73.466927",32000,483,197
1536775239,2018-09-12T18:00:39Z,JAI384,"20.73851,73.421783",32000,482,197
