Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1536856786,2018-09-13T16:39:46Z,JAI384,"28.328434,76.97641",7350,345,196
1536856799,2018-09-13T16:39:59Z,JAI384,"28.308928,76.967522",7825,347,206
1536856805,2018-09-13T16:40:05Z,JAI384,"28.300035,76.961868",8050,349,210
1536856812,2018-09-13T16:40:12Z,JAI384,"28.291983,76.955727",8275,349,215
1536856818,2018-09-13T16:40:18Z,JAI384,"28.284302,76.948997",8500,349,218
1536856824,2018-09-13T16:40:24Z,JAI384,"28.276794,76.942276",8750,350,218
1536856832,2018-09-13T16:40:32Z,JAI384,"28.265854,76.932556",9050,353,218
1536856845,2018-09-13T16:40:45Z,JAI384,"28.249237,76.917816",9475,358,218
1536856857,2018-09-13T16:40:57Z,JAI384,"28.23349,76.903824",9900,361,218
1536856870,2018-09-13T16:41:10Z,JAI384,"28.218151,76.89019",10350,363,218
1536856881,2018-09-13T16:41:21Z,JAI384,"28.201717,76.875809",10800,365,217
1536856892,2018-09-13T16:41:32Z,JAI384,"28.186249,76.862198",11225,368,218
1536856905,2018-09-13T16:41:45Z,JAI384,"28.169132,76.847046",11750,369,218
1536856917,2018-09-13T16:41:57Z,JAI384,"28.153152,76.832939",12200,372,218
1536856950,2018-09-13T16:42:30Z,JAI384,"28.107239,76.79232",13350,382,218
1536856982,2018-09-13T16:43:02Z,JAI384,"28.060898,76.751404",14625,389,218
1536857012,2018-09-13T16:43:32Z,JAI384,"28.015882,76.718872",15875,394,207
1536857018,2018-09-13T16:43:38Z,JAI384,"28.00997,76.715591",15975,395,205
1536857055,2018-09-13T16:44:15Z,JAI384,"27.946472,76.681244",17450,398,205
1536857088,2018-09-13T16:44:48Z,JAI384,"27.889023,76.650108",18525,405,205
1536857158,2018-09-13T16:45:58Z,JAI384,"27.77083,76.58596",20500,417,205
1536857218,2018-09-13T16:46:58Z,JAI384,"27.665176,76.528793",22275,424,205
1536857282,2018-09-13T16:48:02Z,JAI384,"27.551331,76.467331",23950,432,205
1536857346,2018-09-13T16:49:06Z,JAI384,"27.436478,76.405403",25525,440,205
1536857407,2018-09-13T16:50:07Z,JAI384,"27.318649,76.342079",26725,453,205
1536857471,2018-09-13T16:51:11Z,JAI384,"27.198212,76.277504",27875,463,205
1536857531,2018-09-13T16:52:11Z,JAI384,"27.079285,76.213921",28950,470,205
1536857594,2018-09-13T16:53:14Z,JAI384,"26.953793,76.14666",29700,485,205
1536857656,2018-09-13T16:54:16Z,JAI384,"26.823532,76.077522",30800,487,205
1536857720,2018-09-13T16:55:20Z,JAI384,"26.697556,76.01088",32525,471,205
1536857782,2018-09-13T16:56:22Z,JAI384,"26.57509,75.9459",33850,465,205
1536857843,2018-09-13T16:57:23Z,JAI384,"26.458988,75.884628",34825,463,205
1536857906,2018-09-13T16:58:26Z,JAI384,"26.336517,75.820068",35800,461,205
