Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537029837,2018-09-15T16:43:57Z,JAI384,"28.550627,77.046524",1800,205,280
1537029894,2018-09-15T16:44:54Z,JAI384,"28.518631,76.999001",3575,239,209
1537029903,2018-09-15T16:45:03Z,JAI384,"28.512772,76.995148",3700,246,209
1537029913,2018-09-15T16:45:13Z,JAI384,"28.501049,76.987289",4075,253,210
1537029925,2018-09-15T16:45:25Z,JAI384,"28.488144,76.978722",4350,268,210
1537029931,2018-09-15T16:45:31Z,JAI384,"28.481873,76.974495",4525,271,210
1537029938,2018-09-15T16:45:38Z,JAI384,"28.474915,76.969795",4775,274,210
1537029944,2018-09-15T16:45:44Z,JAI384,"28.468231,76.965248",5025,275,211
1537029955,2018-09-15T16:45:55Z,JAI384,"28.455185,76.956429",5550,276,210
1537029967,2018-09-15T16:46:07Z,JAI384,"28.442276,76.947662",5975,273,210
1537029979,2018-09-15T16:46:19Z,JAI384,"28.428568,76.938599",6425,276,210
1537029994,2018-09-15T16:46:34Z,JAI384,"28.415085,76.929649",6850,278,210
1537030002,2018-09-15T16:46:42Z,JAI384,"28.402218,76.92099",7325,276,210
1537030016,2018-09-15T16:46:56Z,JAI384,"28.388123,76.91153",7625,287,210
1537030027,2018-09-15T16:47:07Z,JAI384,"28.374428,76.902306",7950,296,210
1537030040,2018-09-15T16:47:20Z,JAI384,"28.360321,76.892937",8375,300,210
1537030051,2018-09-15T16:47:31Z,JAI384,"28.345331,76.883186",8850,302,210
1537030064,2018-09-15T16:47:44Z,JAI384,"28.330715,76.873543",9275,304,210
1537030076,2018-09-15T16:47:56Z,JAI384,"28.315725,76.863525",9700,308,210
1537030090,2018-09-15T16:48:10Z,JAI384,"28.301107,76.853729",10125,311,210
1537030102,2018-09-15T16:48:22Z,JAI384,"28.285559,76.843384",10575,315,210
1537030112,2018-09-15T16:48:32Z,JAI384,"28.270706,76.833572",11000,318,210
1537030127,2018-09-15T16:48:47Z,JAI384,"28.251251,76.820633",11275,333,210
1537030140,2018-09-15T16:49:00Z,JAI384,"28.234259,76.809402",11475,345,210
1537030150,2018-09-15T16:49:10Z,JAI384,"28.217314,76.798203",11675,358,210
1537030165,2018-09-15T16:49:25Z,JAI384,"28.199982,76.78672",11850,368,210
1537030175,2018-09-15T16:49:35Z,JAI384,"28.181654,76.774559",12125,377,210
1537030209,2018-09-15T16:50:09Z,JAI384,"28.131592,76.741402",13375,385,210
1537030242,2018-09-15T16:50:42Z,JAI384,"28.079865,76.707336",14875,386,210
1537030274,2018-09-15T16:51:14Z,JAI384,"28.028543,76.67321",16175,389,210
1537030304,2018-09-15T16:51:44Z,JAI384,"27.981674,76.641891",17250,394,210
1537030338,2018-09-15T16:52:18Z,JAI384,"27.928364,76.606659",18350,401,210
1537030402,2018-09-15T16:53:22Z,JAI384,"27.826601,76.539848",20600,402,210
1537030463,2018-09-15T16:54:23Z,JAI384,"27.72876,76.468681",22300,411,213
1537030525,2018-09-15T16:55:25Z,JAI384,"27.629562,76.394058",23850,418,213
1537030590,2018-09-15T16:56:30Z,JAI384,"27.526943,76.316895",25325,426,213
1537030651,2018-09-15T16:57:31Z,JAI384,"27.418945,76.242523",26550,438,211
1537030715,2018-09-15T16:58:35Z,JAI384,"27.308029,76.166603",27650,448,211
1537030777,2018-09-15T16:59:37Z,JAI384,"27.199997,76.092964",28725,454,211
1537030839,2018-09-15T17:00:39Z,JAI384,"27.08551,76.014923",29650,463,211
1537030902,2018-09-15T17:01:42Z,JAI384,"26.969481,75.935966",30900,461,211
1537030941,2018-09-15T17:02:21Z,JAI384,"26.899292,75.888168",31650,458,211
1537031106,2018-09-15T17:05:06Z,JAI384,"26.587372,75.737053",35125,437,200
1537031168,2018-09-15T17:06:08Z,JAI384,"26.468065,75.686714",35825,440,200
1537031230,2018-09-15T17:07:10Z,JAI384,"26.345308,75.634956",36000,445,200
1537031313,2018-09-15T17:08:33Z,JAI384,"26.188202,75.568626",36000,448,200
1537031378,2018-09-15T17:09:38Z,JAI384,"26.064011,75.516548",36000,450,200
1537031439,2018-09-15T17:10:39Z,JAI384,"25.941561,75.465302",36000,451,200
1537031476,2018-09-15T17:11:16Z,JAI384,"25.869873,75.435287",36000,452,200
1537031543,2018-09-15T17:12:23Z,JAI384,"25.736776,75.380569",36000,452,200
1537031640,2018-09-15T17:14:00Z,JAI384,"25.546612,75.301949",36000,451,200
1537031702,2018-09-15T17:15:02Z,JAI384,"25.423899,75.251945",35975,450,200
1537031763,2018-09-15T17:16:03Z,JAI384,"25.305084,75.203453",36000,448,200
1537031827,2018-09-15T17:17:07Z,JAI384,"25.181442,75.153252",35975,448,200
1537031887,2018-09-15T17:18:07Z,JAI384,"25.062927,75.104927",36000,447,200
