Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537288520,2018-09-18T16:35:20Z,JAI384,"28.547424,77.064445",1525,187,282
1537288526,2018-09-18T16:35:26Z,JAI384,"28.548798,77.057312",1750,192,281
1537288533,2018-09-18T16:35:33Z,JAI384,"28.549835,77.050674",1975,194,280
1537288543,2018-09-18T16:35:43Z,JAI384,"28.55072,77.041252",2300,196,270
1537288565,2018-09-18T16:36:05Z,JAI384,"28.540695,77.023354",2850,213,213
1537288571,2018-09-18T16:36:11Z,JAI384,"28.53479,77.02066",2950,224,196
1537288579,2018-09-18T16:36:19Z,JAI384,"28.525255,77.019333",3125,234,183
1537288588,2018-09-18T16:36:28Z,JAI384,"28.515244,77.018547",3275,245,184
1537288598,2018-09-18T16:36:38Z,JAI384,"28.505007,77.017334",3450,255,186
1537288608,2018-09-18T16:36:48Z,JAI384,"28.490845,77.014954",3650,269,189
1537288616,2018-09-18T16:36:56Z,JAI384,"28.482288,77.013138",3775,277,190
1537288626,2018-09-18T16:37:06Z,JAI384,"28.46767,77.009796",4175,281,191
1537288633,2018-09-18T16:37:13Z,JAI384,"28.459805,77.007912",4450,280,191
1537288640,2018-09-18T16:37:20Z,JAI384,"28.452122,77.006081",4725,281,191
1537288651,2018-09-18T16:37:31Z,JAI384,"28.4366,77.002274",5175,284,192
1537288663,2018-09-18T16:37:43Z,JAI384,"28.421352,76.998489",5650,286,192
1537288675,2018-09-18T16:37:55Z,JAI384,"28.404785,76.994514",6050,294,191
1537288689,2018-09-18T16:38:09Z,JAI384,"28.388809,76.989227",6250,303,201
1537288698,2018-09-18T16:38:18Z,JAI384,"28.377823,76.983261",6425,307,208
1537288704,2018-09-18T16:38:24Z,JAI384,"28.370192,76.977966",6525,312,212
1537288711,2018-09-18T16:38:31Z,JAI384,"28.359512,76.969208",6675,318,216
1537288717,2018-09-18T16:38:37Z,JAI384,"28.3526,76.963509",6775,325,216
1537288724,2018-09-18T16:38:44Z,JAI384,"28.344448,76.956802",6875,331,216
1537288735,2018-09-18T16:38:55Z,JAI384,"28.329504,76.944687",7200,338,215
1537288747,2018-09-18T16:39:07Z,JAI384,"28.31424,76.932343",7625,341,215
1537288761,2018-09-18T16:39:21Z,JAI384,"28.298546,76.919807",8075,343,215
1537288772,2018-09-18T16:39:32Z,JAI384,"28.282579,76.907043",8525,346,215
1537288782,2018-09-18T16:39:42Z,JAI384,"28.266752,76.894386",8950,348,215
1537288796,2018-09-18T16:39:56Z,JAI384,"28.250784,76.881676",9350,352,215
1537288807,2018-09-18T16:40:07Z,JAI384,"28.234268,76.868431",9750,356,215
1537288819,2018-09-18T16:40:19Z,JAI384,"28.218105,76.855453",10125,360,215
1537288832,2018-09-18T16:40:32Z,JAI384,"28.201492,76.842178",10550,362,215
1537288843,2018-09-18T16:40:43Z,JAI384,"28.18482,76.828796",11000,365,215
1537288856,2018-09-18T16:40:56Z,JAI384,"28.168304,76.815613",11475,367,215
1537288869,2018-09-18T16:41:09Z,JAI384,"28.151825,76.80246",11925,368,215
1537288880,2018-09-18T16:41:20Z,JAI384,"28.134521,76.78862",12425,369,215
1537288913,2018-09-18T16:41:53Z,JAI384,"28.088596,76.751892",13625,377,215
1537288940,2018-09-18T16:42:20Z,JAI384,"28.046234,76.724045",14650,385,205
1537288976,2018-09-18T16:42:56Z,JAI384,"27.988417,76.69281",15700,398,205
1537289009,2018-09-18T16:43:29Z,JAI384,"27.931948,76.662437",16900,402,205
1537289042,2018-09-18T16:44:02Z,JAI384,"27.875519,76.632072",18025,407,205
1537289102,2018-09-18T16:45:02Z,JAI384,"27.771561,76.576004",19925,416,205
1537289167,2018-09-18T16:46:07Z,JAI384,"27.660549,76.516342",21900,421,205
1537289229,2018-09-18T16:47:09Z,JAI384,"27.54887,76.456444",23625,428,205
1537289293,2018-09-18T16:48:13Z,JAI384,"27.434235,76.395195",25375,431,205
1537289355,2018-09-18T16:49:15Z,JAI384,"27.320526,76.334404",26825,434,205
1537289418,2018-09-18T16:50:18Z,JAI384,"27.206085,76.273361",27800,445,205
1537289482,2018-09-18T16:51:22Z,JAI384,"27.084366,76.20858",28800,455,205
1537289547,2018-09-18T16:52:27Z,JAI384,"26.962738,76.144218",29875,459,205
1537289609,2018-09-18T16:53:29Z,JAI384,"26.842941,76.080688",31225,451,205
1537289672,2018-09-18T16:54:32Z,JAI384,"26.723173,76.01757",32400,447,205
1537289735,2018-09-18T16:55:35Z,JAI384,"26.606094,75.955826",33500,443,205
1537289795,2018-09-18T16:56:35Z,JAI384,"26.495178,75.897545",34500,437,205
1537289840,2018-09-18T16:57:20Z,JAI384,"26.411728,75.853706",35100,434,205
1537289927,2018-09-18T16:58:47Z,JAI384,"26.253366,75.770645",36000,434,205
1537289989,2018-09-18T16:59:49Z,JAI384,"26.140045,75.711502",35975,437,205
1537290050,2018-09-18T17:00:50Z,JAI384,"26.028055,75.653229",36000,437,205
1537290110,2018-09-18T17:01:50Z,JAI384,"25.916794,75.595573",36000,437,204
1537290174,2018-09-18T17:02:54Z,JAI384,"25.800064,75.535126",36000,436,205
1537290237,2018-09-18T17:03:57Z,JAI384,"25.684753,75.475258",36000,436,205
1537290297,2018-09-18T17:04:57Z,JAI384,"25.573837,75.417992",36000,435,205
1537290361,2018-09-18T17:06:01Z,JAI384,"25.458298,75.358482",35975,436,205
1537290422,2018-09-18T17:07:02Z,JAI384,"25.347565,75.30146",36000,437,205
1537290486,2018-09-18T17:08:06Z,JAI384,"25.229963,75.241165",36000,437,205
1537290545,2018-09-18T17:09:05Z,JAI384,"25.119186,75.184532",36000,438,204
1537290610,2018-09-18T17:10:10Z,JAI384,"25.00181,75.124306",36000,440,204
1537290671,2018-09-18T17:11:11Z,JAI384,"24.889389,75.067039",36000,439,204
1537290734,2018-09-18T17:12:14Z,JAI384,"24.771982,75.007393",36000,441,205
1537290797,2018-09-18T17:13:17Z,JAI384,"24.653227,74.947121",36000,443,205
1537290858,2018-09-18T17:14:18Z,JAI384,"24.539034,74.892868",36000,447,200
1537290917,2018-09-18T17:15:17Z,JAI384,"24.422012,74.845833",36000,449,200
1537290982,2018-09-18T17:16:22Z,JAI384,"24.296677,74.795433",36000,451,200
1537291045,2018-09-18T17:17:25Z,JAI384,"24.171085,74.745171",36000,452,200
1537291109,2018-09-18T17:18:29Z,JAI384,"24.045441,74.694954",36000,453,199
1537291169,2018-09-18T17:19:29Z,JAI384,"23.926128,74.647125",36000,453,200
1537291232,2018-09-18T17:20:32Z,JAI384,"23.805231,74.598778",36000,454,200
1537291295,2018-09-18T17:21:35Z,JAI384,"23.67819,74.547935",36000,455,200
1537291358,2018-09-18T17:22:38Z,JAI384,"23.553431,74.498032",35975,457,200
1537291409,2018-09-18T17:23:29Z,JAI384,"23.452133,74.457855",36000,457,199
1537291465,2018-09-18T17:24:25Z,JAI384,"23.34185,74.414215",36000,459,200
1537291557,2018-09-18T17:25:57Z,JAI384,"23.156666,74.340721",36000,459,200
1537291620,2018-09-18T17:27:00Z,JAI384,"23.029221,74.290451",35975,459,200
1537291681,2018-09-18T17:28:01Z,JAI384,"22.906633,74.242348",35975,459,200
1537291741,2018-09-18T17:29:01Z,JAI384,"22.786102,74.194618",36000,459,200
1537291803,2018-09-18T17:30:03Z,JAI384,"22.663193,74.146278",35975,459,199
1537291863,2018-09-18T17:31:03Z,JAI384,"22.541431,74.098457",36000,457,200
1537291925,2018-09-18T17:32:05Z,JAI384,"22.419937,74.051147",36000,457,199
1537291986,2018-09-18T17:33:06Z,JAI384,"22.300245,74.004158",36000,456,199
1537292047,2018-09-18T17:34:07Z,JAI384,"22.177626,73.956299",36000,456,199
1537292056,2018-09-18T17:34:16Z,JAI384,"22.160309,73.949585",35975,456,199
1537292126,2018-09-18T17:35:26Z,JAI384,"22.019119,73.894943",36000,455,199
1537292216,2018-09-18T17:36:56Z,JAI384,"21.840408,73.825279",36000,455,199
1537292279,2018-09-18T17:37:59Z,JAI384,"21.715668,73.776886",36000,454,199
1537292338,2018-09-18T17:38:58Z,JAI384,"21.599213,73.732094",36000,452,199
1537292401,2018-09-18T17:40:01Z,JAI384,"21.47493,73.684006",36000,452,199
1537292464,2018-09-18T17:41:04Z,JAI384,"21.351013,73.636314",36000,452,199
1537292526,2018-09-18T17:42:06Z,JAI384,"21.224442,73.587776",36000,451,199
1537292589,2018-09-18T17:43:09Z,JAI384,"21.104553,73.544479",35800,454,197
1537292652,2018-09-18T17:44:12Z,JAI384,"20.976379,73.501579",34750,459,197
1537292712,2018-09-18T17:45:12Z,JAI384,"20.853607,73.460381",33775,464,197
1537292776,2018-09-18T17:46:16Z,JAI384,"20.724916,73.417137",31925,453,197
1537292840,2018-09-18T17:47:20Z,JAI384,"20.598528,73.374992",29500,441,197
1537292899,2018-09-18T17:48:19Z,JAI384,"20.482269,73.336243",27275,428,197
1537292964,2018-09-18T17:49:24Z,JAI384,"20.364441,73.29705",25000,415,197
1537293025,2018-09-18T17:50:25Z,JAI384,"20.254623,73.260513",22875,403,197
1537293088,2018-09-18T17:51:28Z,JAI384,"20.142641,73.225075",20850,388,196
1537293149,2018-09-18T17:52:29Z,JAI384,"20.038458,73.19416",19500,359,188
1537293157,2018-09-18T17:52:37Z,JAI384,"20.024231,73.19268",19275,358,184
1537293166,2018-09-18T17:52:46Z,JAI384,"20.012621,73.191719",19050,357,184
1537293228,2018-09-18T17:53:48Z,JAI384,"19.910385,73.183022",17675,336,184
1537293260,2018-09-18T17:54:20Z,JAI384,"19.862503,73.179001",17300,313,184
1537293284,2018-09-18T17:54:44Z,JAI384,"19.826923,73.175835",16950,302,184
1537293342,2018-09-18T17:55:42Z,JAI384,"19.746872,73.169144",15650,292,184
