Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537550049,2018-09-21T17:14:09Z,JAI384,"28.536335,77.114655",1925,164,105
1537550055,2018-09-21T17:14:15Z,JAI384,"28.535032,77.120468",2125,167,104
1537550068,2018-09-21T17:14:28Z,JAI384,"28.532705,77.131081",2350,176,103
1537550074,2018-09-21T17:14:34Z,JAI384,"28.53154,77.136703",2475,181,103
1537550086,2018-09-21T17:14:46Z,JAI384,"28.529068,77.148529",2650,197,103
1537550097,2018-09-21T17:14:57Z,JAI384,"28.525581,77.160858",2850,211,115
1537550104,2018-09-21T17:15:04Z,JAI384,"28.522339,77.166176",2950,218,129
1537550111,2018-09-21T17:15:11Z,JAI384,"28.514643,77.173141",3125,232,148
1537550118,2018-09-21T17:15:18Z,JAI384,"28.508497,77.176048",3225,244,161
1537550124,2018-09-21T17:15:24Z,JAI384,"28.501648,77.177422",3375,253,173
1537550147,2018-09-21T17:15:47Z,JAI384,"28.472837,77.170662",4025,277,197
1537550153,2018-09-21T17:15:53Z,JAI384,"28.464935,77.167862",4225,280,197
1537550162,2018-09-21T17:16:02Z,JAI384,"28.453753,77.163879",4400,287,197
1537550168,2018-09-21T17:16:08Z,JAI384,"28.446211,77.161293",4500,293,196
1537550174,2018-09-21T17:16:14Z,JAI384,"28.437878,77.15844",4600,299,196
1537550181,2018-09-21T17:16:21Z,JAI384,"28.429777,77.155693",4725,304,196
1537550193,2018-09-21T17:16:33Z,JAI384,"28.413208,77.149956",4900,316,196
1537550212,2018-09-21T17:16:52Z,JAI384,"28.387461,77.141098",5375,326,197
1537550223,2018-09-21T17:17:03Z,JAI384,"28.370424,77.132858",5700,339,209
1537550232,2018-09-21T17:17:12Z,JAI384,"28.357994,77.12429",6025,341,211
1537550241,2018-09-21T17:17:21Z,JAI384,"28.345871,77.11573",6350,342,212
1537550247,2018-09-21T17:17:27Z,JAI384,"28.337418,77.109749",6600,342,212
1537550258,2018-09-21T17:17:38Z,JAI384,"28.321823,77.098709",7075,341,212
1537550273,2018-09-21T17:17:53Z,JAI384,"28.301193,77.084885",7675,339,207
1537550287,2018-09-21T17:18:07Z,JAI384,"28.283844,77.075745",8150,338,204
1537550297,2018-09-21T17:18:17Z,JAI384,"28.267124,77.067314",8550,341,204
1537550312,2018-09-21T17:18:32Z,JAI384,"28.249008,77.058372",8950,345,203
1537550321,2018-09-21T17:18:41Z,JAI384,"28.231651,77.049973",9300,348,203
1537550334,2018-09-21T17:18:54Z,JAI384,"28.214081,77.041679",9500,351,202
1537550347,2018-09-21T17:19:07Z,JAI384,"28.195992,77.033173",9700,353,202
1537550358,2018-09-21T17:19:18Z,JAI384,"28.177048,77.024353",9900,352,202
1537550370,2018-09-21T17:19:30Z,JAI384,"28.158875,77.015953",10100,353,202
1537550381,2018-09-21T17:19:41Z,JAI384,"28.140549,77.007538",10300,356,202
1537550395,2018-09-21T17:19:55Z,JAI384,"28.121933,76.999001",10700,359,202
1537550405,2018-09-21T17:20:05Z,JAI384,"28.104191,76.99073",11125,361,202
1537550414,2018-09-21T17:20:14Z,JAI384,"28.089947,76.981956",11450,367,213
1537550421,2018-09-21T17:20:21Z,JAI384,"28.081741,76.974388",11675,371,222
