Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537807332,2018-09-24T16:42:12Z,JAI384,"28.539827,77.030693",2525,215,214
1537807340,2018-09-24T16:42:20Z,JAI384,"28.53438,77.027946",2650,224,200
1537807346,2018-09-24T16:42:26Z,JAI384,"28.527445,77.026115",2750,236,189
1537807354,2018-09-24T16:42:34Z,JAI384,"28.518133,77.024933",2925,247,184
1537807363,2018-09-24T16:42:43Z,JAI384,"28.510174,77.024178",3025,258,185
1537807375,2018-09-24T16:42:55Z,JAI384,"28.491943,77.021606",3375,272,188
1537807381,2018-09-24T16:43:01Z,JAI384,"28.484291,77.020142",3600,275,190
1537807389,2018-09-24T16:43:09Z,JAI384,"28.476749,77.018471",3850,276,191
1537807399,2018-09-24T16:43:19Z,JAI384,"28.46134,77.014587",4350,280,192
1537807405,2018-09-24T16:43:25Z,JAI384,"28.454132,77.012627",4575,281,193
1537807411,2018-09-24T16:43:31Z,JAI384,"28.446579,77.010513",4850,281,193
1537807423,2018-09-24T16:43:43Z,JAI384,"28.435043,77.007187",5275,281,194
1537807432,2018-09-24T16:43:52Z,JAI384,"28.420029,77.002808",5725,284,194
1537807447,2018-09-24T16:44:07Z,JAI384,"28.404099,76.998207",6275,284,193
1537807457,2018-09-24T16:44:17Z,JAI384,"28.388901,76.99398",6600,287,193
1537807469,2018-09-24T16:44:29Z,JAI384,"28.37303,76.989548",6800,290,193
1537807483,2018-09-24T16:44:43Z,JAI384,"28.357296,76.985237",6975,291,193
1537807493,2018-09-24T16:44:53Z,JAI384,"28.341934,76.980988",7150,291,193
1537807505,2018-09-24T16:45:05Z,JAI384,"28.325827,76.976463",7350,290,195
1537807517,2018-09-24T16:45:17Z,JAI384,"28.310698,76.969566",7550,288,205
1537807528,2018-09-24T16:45:28Z,JAI384,"28.300552,76.962822",7675,288,213
1537807534,2018-09-24T16:45:34Z,JAI384,"28.290541,76.954277",7825,288,218
1537807540,2018-09-24T16:45:40Z,JAI384,"28.287468,76.95153",7875,290,218
1537807547,2018-09-24T16:45:47Z,JAI384,"28.277784,76.942909",8100,293,218
1537807564,2018-09-24T16:46:04Z,JAI384,"28.262009,76.928963",8750,289,218
1537807574,2018-09-24T16:46:14Z,JAI384,"28.249969,76.91835",9350,284,217
1537807587,2018-09-24T16:46:27Z,JAI384,"28.237471,76.90731",9875,282,218
1537807600,2018-09-24T16:46:40Z,JAI384,"28.224482,76.895897",10275,286,217
1537807610,2018-09-24T16:46:50Z,JAI384,"28.211912,76.884804",10475,296,218
1537807622,2018-09-24T16:47:02Z,JAI384,"28.198088,76.87252",10725,306,218
1537807634,2018-09-24T16:47:14Z,JAI384,"28.185379,76.861252",10900,314,218
1537807645,2018-09-24T16:47:25Z,JAI384,"28.171783,76.849258",11100,324,218
1537807658,2018-09-24T16:47:38Z,JAI384,"28.156036,76.835266",11300,334,218
1537807670,2018-09-24T16:47:50Z,JAI384,"28.141388,76.822266",11500,343,218
1537807683,2018-09-24T16:48:03Z,JAI384,"28.125549,76.80822",11725,353,218
1537807695,2018-09-24T16:48:15Z,JAI384,"28.110168,76.794701",12025,358,217
1537807727,2018-09-24T16:48:47Z,JAI384,"28.066315,76.756142",13200,364,218
1537807760,2018-09-24T16:49:20Z,JAI384,"28.022232,76.717369",14225,370,217
1537807795,2018-09-24T16:49:55Z,JAI384,"27.976778,76.67746",15300,379,218
1537807826,2018-09-24T16:50:26Z,JAI384,"27.930132,76.636398",16450,383,218
1537807862,2018-09-24T16:51:02Z,JAI384,"27.884186,76.595993",17550,387,217
1537807893,2018-09-24T16:51:33Z,JAI384,"27.836884,76.554604",18500,396,217
1537807955,2018-09-24T16:52:35Z,JAI384,"27.741642,76.478363",20250,407,213
1537808020,2018-09-24T16:53:40Z,JAI384,"27.640274,76.401985",21900,417,213
1537808083,2018-09-24T16:54:43Z,JAI384,"27.537092,76.324554",23425,425,213
1537808094,2018-09-24T16:54:54Z,JAI384,"27.519449,76.311508",23675,426,212
1537808182,2018-09-24T16:56:22Z,JAI384,"27.369186,76.208786",25825,429,211
1537808246,2018-09-24T16:57:26Z,JAI384,"27.260712,76.134514",26850,440,211
1537808312,2018-09-24T16:58:32Z,JAI384,"27.144981,76.055603",27800,452,211
1537808374,2018-09-24T16:59:34Z,JAI384,"27.029892,75.977249",28650,462,211
1537808437,2018-09-24T17:00:37Z,JAI384,"26.917948,75.901268",29500,467,211
1537808496,2018-09-24T17:01:36Z,JAI384,"26.803665,75.829453",30775,461,204
1537808562,2018-09-24T17:02:42Z,JAI384,"26.673615,75.773842",32250,451,200
1537808622,2018-09-24T17:03:42Z,JAI384,"26.556107,75.724045",33450,444,200
1537808685,2018-09-24T17:04:45Z,JAI384,"26.434525,75.672379",34000,444,200
1537808745,2018-09-24T17:05:45Z,JAI384,"26.317888,75.623283",33975,445,200
1537808810,2018-09-24T17:06:50Z,JAI384,"26.194618,75.571571",34000,446,200
1537808872,2018-09-24T17:07:52Z,JAI384,"26.072792,75.520233",34000,446,200
1537808936,2018-09-24T17:08:56Z,JAI384,"25.949287,75.468994",34000,446,200
1537808997,2018-09-24T17:09:57Z,JAI384,"25.831696,75.419586",34000,446,200
1537809061,2018-09-24T17:11:01Z,JAI384,"25.708649,75.368958",34000,446,200
