Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537893447,2018-09-25T16:37:27Z,JAI384,"28.540924,77.014954",2600,237,219
1537893453,2018-09-25T16:37:33Z,JAI384,"28.535591,77.010925",2700,244,210
1537893460,2018-09-25T16:37:40Z,JAI384,"28.529297,77.00724",2825,252,206
1537893466,2018-09-25T16:37:46Z,JAI384,"28.522476,77.003174",2925,264,208
1537893476,2018-09-25T16:37:56Z,JAI384,"28.510965,76.995361",3100,278,211
1537893482,2018-09-25T16:38:02Z,JAI384,"28.50482,76.991005",3200,285,212
1537893489,2018-09-25T16:38:09Z,JAI384,"28.496067,76.984703",3325,297,212
1537893495,2018-09-25T16:38:15Z,JAI384,"28.489132,76.979797",3425,306,212
1537893501,2018-09-25T16:38:21Z,JAI384,"28.48114,76.974121",3525,315,211
1537893514,2018-09-25T16:38:34Z,JAI384,"28.465622,76.963318",3725,331,211
1537893520,2018-09-25T16:38:40Z,JAI384,"28.457748,76.957962",3825,338,211
1537893526,2018-09-25T16:38:46Z,JAI384,"28.449423,76.952278",3925,345,210
1537893537,2018-09-25T16:38:57Z,JAI384,"28.433258,76.941429",4125,357,210
1537893544,2018-09-25T16:39:04Z,JAI384,"28.424057,76.935303",4350,360,210
1537893550,2018-09-25T16:39:10Z,JAI384,"28.415533,76.929665",4625,360,210
1537893557,2018-09-25T16:39:17Z,JAI384,"28.406433,76.923683",4900,360,210
1537893564,2018-09-25T16:39:24Z,JAI384,"28.39769,76.917923",5150,365,210
1537893574,2018-09-25T16:39:34Z,JAI384,"28.381735,76.907471",5625,369,210
1537893584,2018-09-25T16:39:44Z,JAI384,"28.364464,76.896057",6125,372,210
1537893601,2018-09-25T16:40:01Z,JAI384,"28.339325,76.879364",6850,379,210
1537893612,2018-09-25T16:40:12Z,JAI384,"28.321014,76.867218",7400,381,210
1537893625,2018-09-25T16:40:25Z,JAI384,"28.302063,76.855278",8075,381,207
1537893637,2018-09-25T16:40:37Z,JAI384,"28.282928,76.844879",8700,381,205
1537893649,2018-09-25T16:40:49Z,JAI384,"28.263657,76.834473",9225,384,205
1537893662,2018-09-25T16:41:02Z,JAI384,"28.243881,76.823853",9725,388,205
1537893672,2018-09-25T16:41:12Z,JAI384,"28.224623,76.813446",10125,394,205
1537893686,2018-09-25T16:41:26Z,JAI384,"28.204092,76.802353",10625,398,205
1537893697,2018-09-25T16:41:37Z,JAI384,"28.183823,76.79142",11125,401,205
1537893709,2018-09-25T16:41:49Z,JAI384,"28.163956,76.780701",11625,403,205
1537893721,2018-09-25T16:42:01Z,JAI384,"28.143311,76.769554",12150,406,205
1537893755,2018-09-25T16:42:35Z,JAI384,"28.085907,76.738548",13300,415,205
1537893787,2018-09-25T16:43:07Z,JAI384,"28.028046,76.707443",14575,420,205
1537893821,2018-09-25T16:43:41Z,JAI384,"27.970213,76.676277",15775,424,205
1537893854,2018-09-25T16:44:14Z,JAI384,"27.910999,76.644424",16975,426,205
1537893888,2018-09-25T16:44:48Z,JAI384,"27.851645,76.612419",18100,430,205
1537893951,2018-09-25T16:45:51Z,JAI384,"27.736084,76.550453",20100,437,205
1537894013,2018-09-25T16:46:53Z,JAI384,"27.62056,76.488716",21750,447,205
1537894077,2018-09-25T16:47:57Z,JAI384,"27.499012,76.423698",23225,457,205
1537894141,2018-09-25T16:49:01Z,JAI384,"27.379187,76.359894",24675,461,205
1537894203,2018-09-25T16:50:03Z,JAI384,"27.255219,76.294189",25850,471,205
1537894263,2018-09-25T16:51:03Z,JAI384,"27.133804,76.229881",27000,476,205
1537894327,2018-09-25T16:52:07Z,JAI384,"27.007187,76.162933",28375,476,205
1537894391,2018-09-25T16:53:11Z,JAI384,"26.881439,76.096542",29900,471,205
1537894451,2018-09-25T16:54:11Z,JAI384,"26.764883,76.035423",31375,463,205
1537894514,2018-09-25T16:55:14Z,JAI384,"26.642591,75.971199",32925,454,205
1537894567,2018-09-25T16:56:07Z,JAI384,"26.542223,75.918327",34075,448,205
1537894659,2018-09-25T16:57:39Z,JAI384,"26.370306,75.82827",35500,444,205
1537894718,2018-09-25T16:58:38Z,JAI384,"26.259201,75.770325",36000,443,205
1537894782,2018-09-25T16:59:42Z,JAI384,"26.140152,75.708527",35975,442,205
1537894842,2018-09-25T17:00:42Z,JAI384,"26.028893,75.650848",36000,441,205
1537894874,2018-09-25T17:01:14Z,JAI384,"25.973448,75.622116",36000,441,205
1537894957,2018-09-25T17:02:37Z,JAI384,"25.818663,75.542145",36000,440,205
1537895048,2018-09-25T17:04:08Z,JAI384,"25.650467,75.455475",36000,440,204
1537895105,2018-09-25T17:05:05Z,JAI384,"25.542572,75.399834",36000,441,205
1537895250,2018-09-25T17:07:30Z,JAI384,"25.272263,75.261436",36000,446,205
1537895311,2018-09-25T17:08:31Z,JAI384,"25.157959,75.203148",36000,448,204
1537895374,2018-09-25T17:09:34Z,JAI384,"25.038029,75.142082",36000,449,205
1537895435,2018-09-25T17:10:35Z,JAI384,"24.922623,75.083466",36000,450,204
1537895496,2018-09-25T17:11:36Z,JAI384,"24.807678,75.025124",36000,450,204
1537895556,2018-09-25T17:12:36Z,JAI384,"24.692751,74.966713",35975,450,204
1537895620,2018-09-25T17:13:40Z,JAI384,"24.572086,74.906235",36000,450,202
1537895681,2018-09-25T17:14:41Z,JAI384,"24.452591,74.857994",36000,450,200
1537895741,2018-09-25T17:15:41Z,JAI384,"24.334763,74.810677",36000,451,200
1537895806,2018-09-25T17:16:46Z,JAI384,"24.209072,74.760254",36000,451,200
1537895867,2018-09-25T17:17:47Z,JAI384,"24.088549,74.712158",36000,451,200
1537895927,2018-09-25T17:18:47Z,JAI384,"23.968817,74.664276",36000,452,200
1537895989,2018-09-25T17:19:49Z,JAI384,"23.848526,74.616035",36000,451,200
1537896050,2018-09-25T17:20:50Z,JAI384,"23.729095,74.568275",36000,452,200
1537896110,2018-09-25T17:21:50Z,JAI384,"23.610123,74.520775",35975,452,200
1537896173,2018-09-25T17:22:53Z,JAI384,"23.486938,74.471725",36000,452,200
1537896235,2018-09-25T17:23:55Z,JAI384,"23.365082,74.423332",36000,453,200
1537896295,2018-09-25T17:24:55Z,JAI384,"23.24437,74.375496",36000,453,200
1537896359,2018-09-25T17:25:59Z,JAI384,"23.119217,74.325905",36000,454,200
1537896422,2018-09-25T17:27:02Z,JAI384,"22.996353,74.277618",36000,453,200
1537896483,2018-09-25T17:28:03Z,JAI384,"22.875687,74.229828",36000,453,200
1537896545,2018-09-25T17:29:05Z,JAI384,"22.749985,74.180397",36000,454,199
1537896606,2018-09-25T17:30:06Z,JAI384,"22.629648,74.133202",35975,455,199
1537896667,2018-09-25T17:31:07Z,JAI384,"22.508612,74.085747",36000,456,200
1537896728,2018-09-25T17:32:08Z,JAI384,"22.38707,74.038116",36000,457,200
1537896788,2018-09-25T17:33:08Z,JAI384,"22.26668,73.991295",36000,458,199
1537896839,2018-09-25T17:33:59Z,JAI384,"22.164871,73.951515",36000,459,200
1537896949,2018-09-25T17:35:49Z,JAI384,"21.943468,73.865257",36000,458,200
