Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537980379,2018-09-26T16:46:19Z,JAI384,"28.551498,77.043953",1825,207,282
1537980564,2018-09-26T16:49:24Z,JAI384,"28.367397,76.982712",5700,324,189
1537980577,2018-09-26T16:49:37Z,JAI384,"28.348637,76.97921",5925,335,189
1537980590,2018-09-26T16:49:50Z,JAI384,"28.329437,76.974915",6075,346,193
1537980596,2018-09-26T16:49:56Z,JAI384,"28.320705,76.971672",6225,348,200
1537980603,2018-09-26T16:50:03Z,JAI384,"28.307739,76.965248",6550,347,203
1537980609,2018-09-26T16:50:09Z,JAI384,"28.299957,76.960442",6750,347,209
1537980633,2018-09-26T16:50:33Z,JAI384,"28.268753,76.934456",7475,353,218
1537980645,2018-09-26T16:50:45Z,JAI384,"28.252739,76.919968",7950,354,219
1537980658,2018-09-26T16:50:58Z,JAI384,"28.238214,76.90683",8350,355,218
1537980669,2018-09-26T16:51:09Z,JAI384,"28.221542,76.892044",8800,358,217
1537980682,2018-09-26T16:51:22Z,JAI384,"28.204697,76.877258",9050,359,217
1537980694,2018-09-26T16:51:34Z,JAI384,"28.188917,76.863419",9375,359,217
1537980706,2018-09-26T16:51:46Z,JAI384,"28.173157,76.849632",9750,362,217
1537980719,2018-09-26T16:51:59Z,JAI384,"28.156889,76.835312",10225,362,218
1537980731,2018-09-26T16:52:11Z,JAI384,"28.140747,76.821159",10650,365,217
1537980742,2018-09-26T16:52:22Z,JAI384,"28.124861,76.807518",11000,369,217
1537980754,2018-09-26T16:52:34Z,JAI384,"28.10894,76.793732",11475,369,217
1537980766,2018-09-26T16:52:46Z,JAI384,"28.092319,76.77903",11950,370,218
1537980780,2018-09-26T16:53:00Z,JAI384,"28.075378,76.764008",12425,372,218
1537980807,2018-09-26T16:53:27Z,JAI384,"28.035015,76.728302",13250,383,218
1537980845,2018-09-26T16:54:05Z,JAI384,"27.982132,76.682091",14475,392,217
1537980879,2018-09-26T16:54:39Z,JAI384,"27.933996,76.639938",15700,397,217
1537980911,2018-09-26T16:55:11Z,JAI384,"27.886459,76.598236",16900,399,217
1537980944,2018-09-26T16:55:44Z,JAI384,"27.837307,76.555214",17925,406,218
1537980978,2018-09-26T16:56:18Z,JAI384,"27.7861,76.512062",18900,414,213
1537981038,2018-09-26T16:57:18Z,JAI384,"27.689667,76.439346",20975,416,213
1537981103,2018-09-26T16:58:23Z,JAI384,"27.588253,76.36306",23000,414,213
1537981164,2018-09-26T16:59:24Z,JAI384,"27.485792,76.288376",24400,424,211
1537981226,2018-09-26T17:00:26Z,JAI384,"27.378433,76.215057",25800,430,211
1537981287,2018-09-26T17:01:27Z,JAI384,"27.275162,76.144424",26950,439,211
1537981349,2018-09-26T17:02:29Z,JAI384,"27.168732,76.071564",27950,449,211
1537981410,2018-09-26T17:03:30Z,JAI384,"27.055044,75.994072",28975,457,211
1537981696,2018-09-26T17:08:16Z,JAI384,"26.523743,75.7099",34000,437,200
1537981738,2018-09-26T17:08:58Z,JAI384,"26.444778,75.676628",33975,438,200
1537981808,2018-09-26T17:10:08Z,JAI384,"26.308868,75.619415",34000,439,200
1537981896,2018-09-26T17:11:36Z,JAI384,"26.141874,75.549225",34000,440,200
1537981928,2018-09-26T17:12:08Z,JAI384,"26.082184,75.523903",34000,441,201
1537982011,2018-09-26T17:13:31Z,JAI384,"25.927551,75.458557",34000,441,200
1537982111,2018-09-26T17:15:11Z,JAI384,"25.733002,75.379028",34000,442,200
1537982173,2018-09-26T17:16:13Z,JAI384,"25.612427,75.32959",34000,442,200
1537982194,2018-09-26T17:16:34Z,JAI384,"25.572123,75.312988",34000,442,200
1537982318,2018-09-26T17:18:38Z,JAI384,"25.332413,75.214745",34000,441,200
1537982378,2018-09-26T17:19:38Z,JAI384,"25.217834,75.167999",34000,442,200
1537982422,2018-09-26T17:20:22Z,JAI384,"25.133926,75.133766",34000,443,200
1537982599,2018-09-26T17:23:19Z,JAI384,"24.790882,74.994385",34000,445,200
1537982661,2018-09-26T17:24:21Z,JAI384,"24.672867,74.9468",34000,447,200
1537982724,2018-09-26T17:25:24Z,JAI384,"24.549591,74.89695",34000,447,200
1537982783,2018-09-26T17:26:23Z,JAI384,"24.432083,74.849754",33975,448,200
1537982844,2018-09-26T17:27:24Z,JAI384,"24.314072,74.802345",34000,448,200
1537982908,2018-09-26T17:28:28Z,JAI384,"24.189009,74.75222",34000,448,200
1537982971,2018-09-26T17:29:31Z,JAI384,"24.065094,74.702705",34000,448,200
1537983035,2018-09-26T17:30:35Z,JAI384,"23.941177,74.653168",34000,447,200
1537983096,2018-09-26T17:31:36Z,JAI384,"23.82399,74.606117",34000,447,200
1537983159,2018-09-26T17:32:39Z,JAI384,"23.700302,74.556694",34000,447,200
1537983219,2018-09-26T17:33:39Z,JAI384,"23.582062,74.509583",33975,447,200
1537983280,2018-09-26T17:34:40Z,JAI384,"23.464279,74.462837",34000,447,200
1537983344,2018-09-26T17:35:44Z,JAI384,"23.339384,74.413094",34000,446,200
