Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538066882,2018-09-27T16:48:02Z,JAI384,"28.54985,77.052032",1725,198,282
1538066891,2018-09-27T16:48:11Z,JAI384,"28.551279,77.040222",2025,203,274
1538066911,2018-09-27T16:48:31Z,JAI384,"28.543076,77.023613",2575,210,215
1538066917,2018-09-27T16:48:37Z,JAI384,"28.537766,77.020866",2750,211,200
1538066941,2018-09-27T16:49:01Z,JAI384,"28.513824,77.02034",3600,210,185
1538066948,2018-09-27T16:49:08Z,JAI384,"28.507782,77.019287",3850,208,189
1538066960,2018-09-27T16:49:20Z,JAI384,"28.496521,77.016541",4200,212,193
1538066971,2018-09-27T16:49:31Z,JAI384,"28.484299,77.013054",4425,225,194
1538066984,2018-09-27T16:49:44Z,JAI384,"28.471893,77.009567",4600,238,193
1538066991,2018-09-27T16:49:51Z,JAI384,"28.461945,77.006996",4800,247,192
1538066997,2018-09-27T16:49:57Z,JAI384,"28.45491,77.005287",4900,255,192
1538067003,2018-09-27T16:50:03Z,JAI384,"28.447586,77.00354",5000,262,191
1538067015,2018-09-27T16:50:15Z,JAI384,"28.432896,77.00016",5200,276,191
1538067027,2018-09-27T16:50:27Z,JAI384,"28.417419,76.99678",5550,284,190
1538067040,2018-09-27T16:50:40Z,JAI384,"28.402266,76.993423",5925,288,191
1538067052,2018-09-27T16:50:52Z,JAI384,"28.385971,76.989761",6375,292,191
1538067064,2018-09-27T16:51:04Z,JAI384,"28.369446,76.986099",6900,292,191
1538067075,2018-09-27T16:51:15Z,JAI384,"28.354036,76.982658",7400,291,191
1538067088,2018-09-27T16:51:28Z,JAI384,"28.339142,76.979248",7875,293,191
1538067100,2018-09-27T16:51:40Z,JAI384,"28.321198,76.974068",8100,305,198
1538067106,2018-09-27T16:51:46Z,JAI384,"28.314285,76.970955",8200,308,201
1538067116,2018-09-27T16:51:56Z,JAI384,"28.302177,76.963913",8375,315,209
1538067122,2018-09-27T16:52:02Z,JAI384,"28.290939,76.955215",8525,322,217
1538067128,2018-09-27T16:52:08Z,JAI384,"28.283844,76.948822",8625,327,218
1538067135,2018-09-27T16:52:15Z,JAI384,"28.277344,76.943016",8725,333,218
1538067143,2018-09-27T16:52:23Z,JAI384,"28.269287,76.935776",8825,338,218
1538067153,2018-09-27T16:52:33Z,JAI384,"28.25395,76.922012",9150,345,218
1538067165,2018-09-27T16:52:45Z,JAI384,"28.238773,76.908554",9575,347,217
1538067178,2018-09-27T16:52:58Z,JAI384,"28.22369,76.895142",9950,352,218
1538067190,2018-09-27T16:53:10Z,JAI384,"28.207764,76.881111",10375,355,218
1538067203,2018-09-27T16:53:23Z,JAI384,"28.192453,76.867569",10750,359,218
1538067214,2018-09-27T16:53:34Z,JAI384,"28.176086,76.853119",11225,361,218
1538067225,2018-09-27T16:53:45Z,JAI384,"28.160473,76.839348",11700,363,218
1538067238,2018-09-27T16:53:58Z,JAI384,"28.144913,76.8256",12150,366,218
1538067273,2018-09-27T16:54:33Z,JAI384,"28.099274,76.7854",13200,379,217
1538067304,2018-09-27T16:55:04Z,JAI384,"28.052752,76.744453",14450,385,218
1538067337,2018-09-27T16:55:37Z,JAI384,"28.006668,76.703903",15875,385,217
1538067371,2018-09-27T16:56:11Z,JAI384,"27.958855,76.661949",17100,390,217
1538067403,2018-09-27T16:56:43Z,JAI384,"27.91127,76.620308",18150,397,217
1538067434,2018-09-27T16:57:14Z,JAI384,"27.865099,76.586906",19150,400,207
1538067440,2018-09-27T16:57:20Z,JAI384,"27.854019,76.580887",19325,403,205
1538067447,2018-09-27T16:57:27Z,JAI384,"27.84536,76.576347",19500,403,204
1538067512,2018-09-27T16:58:32Z,JAI384,"27.7321,76.516609",21675,406,205
1538067581,2018-09-27T16:59:41Z,JAI384,"27.613403,76.454582",23700,410,205
1538067645,2018-09-27T17:00:45Z,JAI384,"27.501247,76.396019",25225,420,205
1538067706,2018-09-27T17:01:46Z,JAI384,"27.394318,76.34021",26525,429,205
1538067768,2018-09-27T17:02:48Z,JAI384,"27.279146,76.280243",27800,437,204
1538067829,2018-09-27T17:03:49Z,JAI384,"27.165186,76.220978",28850,446,204
