Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538326031,2018-09-30T16:47:11Z,JAI384,"28.549137,77.053902",1700,198,280
1538326042,2018-09-30T16:47:22Z,JAI384,"28.550907,77.042",2100,200,275
1538326062,2018-09-30T16:47:42Z,JAI384,"28.544855,77.023262",2425,226,229
1538326068,2018-09-30T16:47:48Z,JAI384,"28.53978,77.018631",2550,235,214
1538326076,2018-09-30T16:47:56Z,JAI384,"28.53047,77.014587",2725,248,193
1538326082,2018-09-30T16:48:02Z,JAI384,"28.5233,77.013893",2875,257,180
1538326102,2018-09-30T16:48:22Z,JAI384,"28.497803,77.01458",3625,262,182
1538326112,2018-09-30T16:48:32Z,JAI384,"28.486664,77.012383",3950,261,196
1538326118,2018-09-30T16:48:38Z,JAI384,"28.479681,77.009636",4150,262,201
1538326125,2018-09-30T16:48:45Z,JAI384,"28.472946,77.00634",4300,265,204
1538326133,2018-09-30T16:48:53Z,JAI384,"28.463104,77.000793",4525,271,207
1538326142,2018-09-30T16:49:02Z,JAI384,"28.453054,76.995041",4775,277,206
1538326149,2018-09-30T16:49:09Z,JAI384,"28.445526,76.990707",5000,279,206
1538326160,2018-09-30T16:49:20Z,JAI384,"28.43161,76.982841",5475,283,206
1538326172,2018-09-30T16:49:32Z,JAI384,"28.416962,76.974602",5750,294,206
1538326184,2018-09-30T16:49:44Z,JAI384,"28.402496,76.966621",5950,305,206
1538326197,2018-09-30T16:49:57Z,JAI384,"28.386932,76.958015",6150,317,205
1538326209,2018-09-30T16:50:09Z,JAI384,"28.369675,76.948563",6375,331,205
1538326221,2018-09-30T16:50:21Z,JAI384,"28.353199,76.939629",6650,339,205
1538326234,2018-09-30T16:50:34Z,JAI384,"28.335571,76.930023",6975,345,205
1538326244,2018-09-30T16:50:44Z,JAI384,"28.318909,76.92083",7350,349,206
1538326257,2018-09-30T16:50:57Z,JAI384,"28.300552,76.910583",7700,355,206
1538326269,2018-09-30T16:51:09Z,JAI384,"28.283371,76.900902",8100,357,206
1538326281,2018-09-30T16:51:21Z,JAI384,"28.26475,76.890404",8550,360,206
1538326293,2018-09-30T16:51:33Z,JAI384,"28.246719,76.880318",9000,362,206
1538326307,2018-09-30T16:51:47Z,JAI384,"28.228579,76.870155",9450,364,206
1538326317,2018-09-30T16:51:57Z,JAI384,"28.210516,76.860031",9900,365,206
1538326328,2018-09-30T16:52:08Z,JAI384,"28.193153,76.850334",10350,366,206
1538326341,2018-09-30T16:52:21Z,JAI384,"28.173248,76.839279",10850,368,206
1538326353,2018-09-30T16:52:33Z,JAI384,"28.155399,76.82933",11300,371,206
1538326365,2018-09-30T16:52:45Z,JAI384,"28.136353,76.818787",11775,372,206
1538326376,2018-09-30T16:52:56Z,JAI384,"28.118317,76.8088",12250,374,206
1538326410,2018-09-30T16:53:30Z,JAI384,"28.066343,76.779999",13425,385,206
1538326442,2018-09-30T16:54:02Z,JAI384,"28.013214,76.750595",14825,387,206
