Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538412114,2018-10-01T16:41:54Z,JAI384,"28.319262,76.972153",7150,341,199
1538412125,2018-10-01T16:42:05Z,JAI384,"28.301805,76.962891",7600,341,209
1538412131,2018-10-01T16:42:11Z,JAI384,"28.293427,76.957024",7700,346,213
1538412138,2018-10-01T16:42:18Z,JAI384,"28.28677,76.951477",7800,349,217
1538412144,2018-10-01T16:42:24Z,JAI384,"28.277573,76.943169",7950,354,218
1538412150,2018-10-01T16:42:30Z,JAI384,"28.269638,76.936073",8050,359,218
1538412161,2018-10-01T16:42:41Z,JAI384,"28.253391,76.921532",8375,364,218
1538412174,2018-10-01T16:42:54Z,JAI384,"28.237843,76.907692",8875,365,218
1538412187,2018-10-01T16:43:07Z,JAI384,"28.220032,76.891937",9350,368,218
1538412222,2018-10-01T16:43:42Z,JAI384,"28.171692,76.849365",10675,373,217
1538412235,2018-10-01T16:43:55Z,JAI384,"28.15484,76.834663",11050,378,217
1538412247,2018-10-01T16:44:07Z,JAI384,"28.138733,76.820473",11450,380,217
1538412261,2018-10-01T16:44:21Z,JAI384,"28.120438,76.806496",11875,387,211
1538412271,2018-10-01T16:44:31Z,JAI384,"28.101196,76.794594",12250,393,206
1538412279,2018-10-01T16:44:39Z,JAI384,"28.091309,76.789207",12475,396,205
1538412313,2018-10-01T16:45:13Z,JAI384,"28.030033,76.755493",13825,402,205
1538412345,2018-10-01T16:45:45Z,JAI384,"27.979153,76.727386",15250,402,206
1538412376,2018-10-01T16:46:16Z,JAI384,"27.924088,76.696953",16550,406,206
1538412407,2018-10-01T16:46:47Z,JAI384,"27.871353,76.667885",17600,413,206
1538412441,2018-10-01T16:47:21Z,JAI384,"27.812775,76.635551",18650,421,206
1538412504,2018-10-01T16:48:24Z,JAI384,"27.705704,76.576607",20625,427,205
1538412568,2018-10-01T16:49:28Z,JAI384,"27.588114,76.512115",22700,429,205
1538412633,2018-10-01T16:50:33Z,JAI384,"27.475342,76.450539",24425,430,205
1538412694,2018-10-01T16:51:34Z,JAI384,"27.362045,76.388771",25650,438,205
1538412754,2018-10-01T16:52:34Z,JAI384,"27.249119,76.327301",26550,450,206
1538412823,2018-10-01T16:53:43Z,JAI384,"27.123459,76.258904",27725,455,205
1538412886,2018-10-01T16:54:46Z,JAI384,"27.002975,76.193245",28975,456,205
1538412947,2018-10-01T16:55:47Z,JAI384,"26.88401,76.12886",30600,445,205
1538413007,2018-10-01T16:56:47Z,JAI384,"26.774963,76.070061",31775,443,205
1538413071,2018-10-01T16:57:51Z,JAI384,"26.655533,76.005699",32925,443,205
1538413137,2018-10-01T16:58:57Z,JAI384,"26.533905,75.940247",34300,434,205
1538413176,2018-10-01T16:59:36Z,JAI384,"26.463455,75.902313",35150,427,205
1538413271,2018-10-01T17:01:11Z,JAI384,"26.295031,75.812057",36000,426,205
1538413334,2018-10-01T17:02:14Z,JAI384,"26.182142,75.751945",36000,431,205
1538413399,2018-10-01T17:03:19Z,JAI384,"26.068136,75.69136",36000,435,205
1538413534,2018-10-01T17:05:34Z,JAI384,"25.814659,75.556602",36000,440,205
1538413598,2018-10-01T17:06:38Z,JAI384,"25.700094,75.495667",36000,439,205
1538413640,2018-10-01T17:07:20Z,JAI384,"25.624865,75.45607",35975,440,205
1538413731,2018-10-01T17:08:51Z,JAI384,"25.455927,75.366989",36000,439,205
1538413792,2018-10-01T17:09:52Z,JAI384,"25.345001,75.308937",36000,438,205
1538413855,2018-10-01T17:10:55Z,JAI384,"25.22838,75.247955",35975,437,205
1538413919,2018-10-01T17:11:59Z,JAI384,"25.112278,75.186958",36000,438,205
1538413981,2018-10-01T17:13:01Z,JAI384,"24.995956,75.126244",36000,440,205
1538414045,2018-10-01T17:14:05Z,JAI384,"24.878586,75.065071",35975,441,205
1538414108,2018-10-01T17:15:08Z,JAI384,"24.760715,75.003609",36000,444,205
1538414169,2018-10-01T17:16:09Z,JAI384,"24.64682,74.944557",36000,445,205
1538414233,2018-10-01T17:17:13Z,JAI384,"24.526466,74.887939",36000,448,200
1538414292,2018-10-01T17:18:12Z,JAI384,"24.408037,74.84037",35975,450,200
1538414356,2018-10-01T17:19:16Z,JAI384,"24.282394,74.789886",36000,452,200
1538414420,2018-10-01T17:20:20Z,JAI384,"24.156876,74.739632",36000,454,200
1538414482,2018-10-01T17:21:22Z,JAI384,"24.037294,74.691742",36000,454,200
1538414547,2018-10-01T17:22:27Z,JAI384,"23.904573,74.638626",36000,454,200
1538414607,2018-10-01T17:23:27Z,JAI384,"23.786133,74.591118",36000,452,200
1538414670,2018-10-01T17:24:30Z,JAI384,"23.662125,74.541573",36000,454,200
1538414734,2018-10-01T17:25:34Z,JAI384,"23.536486,74.491577",35975,453,200
1538414797,2018-10-01T17:26:37Z,JAI384,"23.413866,74.442902",36000,454,200
1538414858,2018-10-01T17:27:38Z,JAI384,"23.293259,74.394966",36000,455,200
1538414919,2018-10-01T17:28:39Z,JAI384,"23.171144,74.346519",36000,456,200
1538414980,2018-10-01T17:29:40Z,JAI384,"23.050003,74.298691",36000,457,200
1538415039,2018-10-01T17:30:39Z,JAI384,"22.929932,74.251297",36000,457,200
1538415101,2018-10-01T17:31:41Z,JAI384,"22.808395,74.203407",36000,455,200
1538415165,2018-10-01T17:32:45Z,JAI384,"22.680855,74.15329",36000,455,199
1538415225,2018-10-01T17:33:45Z,JAI384,"22.560518,74.106087",35975,455,199
1538415289,2018-10-01T17:34:49Z,JAI384,"22.433304,74.056244",36000,455,199
1538415350,2018-10-01T17:35:50Z,JAI384,"22.313093,74.009346",35975,454,199
1538415411,2018-10-01T17:36:51Z,JAI384,"22.191696,73.962006",35975,454,199
1538415436,2018-10-01T17:37:16Z,JAI384,"22.145924,73.944145",36000,455,199
1538415526,2018-10-01T17:38:46Z,JAI384,"21.965652,73.873871",36000,455,200
1538415587,2018-10-01T17:39:47Z,JAI384,"21.840727,73.825432",36000,456,199
1538415653,2018-10-01T17:40:53Z,JAI384,"21.715302,73.776886",36000,457,199
1538415716,2018-10-01T17:41:56Z,JAI384,"21.588089,73.727821",36000,458,199
1538415778,2018-10-01T17:42:58Z,JAI384,"21.463886,73.67981",36000,457,199
1538415841,2018-10-01T17:44:01Z,JAI384,"21.33596,73.630577",36000,457,199
1538415904,2018-10-01T17:45:04Z,JAI384,"21.210663,73.582283",35625,455,199
1538415967,2018-10-01T17:46:07Z,JAI384,"21.083462,73.537292",34600,457,197
1538416032,2018-10-01T17:47:12Z,JAI384,"20.954699,73.494087",32925,462,197
1538416095,2018-10-01T17:48:15Z,JAI384,"20.820923,73.449051",29150,483,197
1538416157,2018-10-01T17:49:17Z,JAI384,"20.687622,73.40461",28025,471,197
1538416217,2018-10-01T17:50:17Z,JAI384,"20.562424,73.362968",27000,465,197
1538416281,2018-10-01T17:51:21Z,JAI384,"20.433426,73.319809",26000,469,197
1538416344,2018-10-01T17:52:24Z,JAI384,"20.299942,73.275276",25000,478,197
1538416407,2018-10-01T17:53:27Z,JAI384,"20.168106,73.232414",23950,464,196
1538416471,2018-10-01T17:54:31Z,JAI384,"20.044464,73.19577",22725,413,190
1538416480,2018-10-01T17:54:40Z,JAI384,"20.027527,73.193123",22575,406,186
1538416489,2018-10-01T17:54:49Z,JAI384,"20.010406,73.191559",22450,399,184
1538416550,2018-10-01T17:55:50Z,JAI384,"19.904663,73.182579",21425,366,184
1538416612,2018-10-01T17:56:52Z,JAI384,"19.800621,73.173691",20050,345,184
1538416677,2018-10-01T17:57:57Z,JAI384,"19.697113,73.16497",18325,340,184
1538416736,2018-10-01T17:58:56Z,JAI384,"19.606842,73.157318",16775,330,184
