Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538675647,2018-10-04T17:54:07Z,JAI384,"28.536758,77.112984",1500,183,104
1538675657,2018-10-04T17:54:17Z,JAI384,"28.53447,77.122543",1900,180,105
1538675667,2018-10-04T17:54:27Z,JAI384,"28.530703,77.130859",2100,180,123
1538675676,2018-10-04T17:54:36Z,JAI384,"28.523666,77.135963",2225,184,156
1538675682,2018-10-04T17:54:42Z,JAI384,"28.519112,77.136734",2325,188,175
1538675703,2018-10-04T17:55:03Z,JAI384,"28.501793,77.131721",3075,185,196
1538675710,2018-10-04T17:55:10Z,JAI384,"28.494644,77.12973",3425,181,193
1538675717,2018-10-04T17:55:17Z,JAI384,"28.489334,77.128563",3650,181,191
1538675723,2018-10-04T17:55:23Z,JAI384,"28.484615,77.127579",3850,181,190
1538675736,2018-10-04T17:55:36Z,JAI384,"28.474142,77.125587",4125,190,189
1538675748,2018-10-04T17:55:48Z,JAI384,"28.463062,77.123482",4275,206,189
1538675758,2018-10-04T17:55:58Z,JAI384,"28.451065,77.12101",4375,226,190
1538675765,2018-10-04T17:56:05Z,JAI384,"28.444349,77.119606",4425,235,190
1538675771,2018-10-04T17:56:11Z,JAI384,"28.437878,77.118317",4475,244,189
1538675778,2018-10-04T17:56:18Z,JAI384,"28.430832,77.116943",4575,253,189
1538675789,2018-10-04T17:56:29Z,JAI384,"28.416138,77.114044",4825,266,189
1538675795,2018-10-04T17:56:35Z,JAI384,"28.408905,77.112617",4950,274,190
1538675801,2018-10-04T17:56:41Z,JAI384,"28.401381,77.111046",5075,280,190
1538675814,2018-10-04T17:56:54Z,JAI384,"28.384714,77.107597",5350,294,190
1538675826,2018-10-04T17:57:06Z,JAI384,"28.368347,77.104111",5575,304,190
1538675840,2018-10-04T17:57:20Z,JAI384,"28.351227,77.100517",5800,309,190
1538675850,2018-10-04T17:57:30Z,JAI384,"28.334251,77.096931",6050,316,190
1538675863,2018-10-04T17:57:43Z,JAI384,"28.31749,77.091064",6250,328,203
1538675871,2018-10-04T17:57:51Z,JAI384,"28.305204,77.082336",6475,333,215
1538675879,2018-10-04T17:57:59Z,JAI384,"28.295427,77.072105",6750,335,224
1538675888,2018-10-04T17:58:08Z,JAI384,"28.288696,77.064499",7000,335,224
1538675894,2018-10-04T17:58:14Z,JAI384,"28.281601,77.056519",7250,337,224
1538675911,2018-10-04T17:58:31Z,JAI384,"28.261724,77.034355",7950,340,224
1538675922,2018-10-04T17:58:42Z,JAI384,"28.248093,77.01918",8475,341,224
1538675935,2018-10-04T17:58:55Z,JAI384,"28.234543,77.004021",8975,342,224
1538675946,2018-10-04T17:59:06Z,JAI384,"28.220444,76.988335",9475,345,224
1538675958,2018-10-04T17:59:18Z,JAI384,"28.207071,76.973335",9925,347,224
1538675971,2018-10-04T17:59:31Z,JAI384,"28.193344,76.958015",10375,351,224
1538675984,2018-10-04T17:59:44Z,JAI384,"28.179001,76.942047",10850,354,224
1538675996,2018-10-04T17:59:56Z,JAI384,"28.16478,76.926163",11350,357,224
1538676007,2018-10-04T18:00:07Z,JAI384,"28.150698,76.910492",11875,358,224
1538676018,2018-10-04T18:00:18Z,JAI384,"28.136581,76.894791",12425,359,224
1538676053,2018-10-04T18:00:53Z,JAI384,"28.096416,76.850067",13875,367,224
1538676085,2018-10-04T18:01:25Z,JAI384,"28.055328,76.804947",15225,377,222
1538676103,2018-10-04T18:01:43Z,JAI384,"28.029987,76.783394",15950,384,213
1538676109,2018-10-04T18:01:49Z,JAI384,"28.020035,76.776527",16225,386,211
