Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538843711,2018-10-06T16:35:11Z,JAI384,"28.530191,77.019333",2925,224,187
1538843717,2018-10-06T16:35:17Z,JAI384,"28.524902,77.0186",3000,232,186
1538843723,2018-10-06T16:35:23Z,JAI384,"28.518227,77.017822",3100,241,185
1538843730,2018-10-06T16:35:30Z,JAI384,"28.510174,77.01696",3250,249,185
1538843740,2018-10-06T16:35:40Z,JAI384,"28.496292,77.0149",3450,263,188
1538843748,2018-10-06T16:35:48Z,JAI384,"28.48876,77.013512",3600,271,189
1538843760,2018-10-06T16:36:00Z,JAI384,"28.473862,77.010361",4025,276,191
1538843767,2018-10-06T16:36:07Z,JAI384,"28.465851,77.00856",4325,276,191
1538843777,2018-10-06T16:36:17Z,JAI384,"28.45068,77.004738",4875,277,192
1538843788,2018-10-06T16:36:28Z,JAI384,"28.439228,77.001938",5300,277,192
1538843800,2018-10-06T16:36:40Z,JAI384,"28.424006,76.998383",5600,280,191
1538843811,2018-10-06T16:36:51Z,JAI384,"28.408503,76.994881",5775,283,191
1538843824,2018-10-06T16:37:04Z,JAI384,"28.393066,76.991447",6000,291,191
1538843835,2018-10-06T16:37:15Z,JAI384,"28.376724,76.987747",6400,297,191
1538843846,2018-10-06T16:37:26Z,JAI384,"28.360554,76.984161",6975,297,191
1538843859,2018-10-06T16:37:39Z,JAI384,"28.343981,76.980392",7250,309,191
1538843871,2018-10-06T16:37:51Z,JAI384,"28.326553,76.975655",7475,320,196
1538843880,2018-10-06T16:38:00Z,JAI384,"28.314148,76.970375",7625,328,203
1538843887,2018-10-06T16:38:07Z,JAI384,"28.305862,76.965775",7725,332,207
1538843896,2018-10-06T16:38:16Z,JAI384,"28.29364,76.957169",7875,340,215
1538843902,2018-10-06T16:38:22Z,JAI384,"28.286087,76.950668",8025,343,218
1538843908,2018-10-06T16:38:28Z,JAI384,"28.278156,76.943611",8225,346,218
1538843916,2018-10-06T16:38:36Z,JAI384,"28.267273,76.933929",8575,347,218
1538843928,2018-10-06T16:38:48Z,JAI384,"28.25148,76.919876",9050,351,218
1538843941,2018-10-06T16:39:01Z,JAI384,"28.235981,76.906128",9550,351,218
1538843952,2018-10-06T16:39:12Z,JAI384,"28.220901,76.892838",10075,352,217
1538843964,2018-10-06T16:39:24Z,JAI384,"28.205658,76.879364",10575,354,218
1538843977,2018-10-06T16:39:37Z,JAI384,"28.189819,76.865372",11100,356,217
1538843989,2018-10-06T16:39:49Z,JAI384,"28.173615,76.851059",11625,359,218
