Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539103197,2018-10-09T16:39:57Z,JAI384,"28.535614,77.11985",1875,182,103
1539103296,2018-10-09T16:41:36Z,JAI384,"28.454031,77.121765",4450,220,190
1539103302,2018-10-09T16:41:42Z,JAI384,"28.449371,77.120804",4525,228,190
1539103311,2018-10-09T16:41:51Z,JAI384,"28.441183,77.119072",4675,236,190
1539103321,2018-10-09T16:42:01Z,JAI384,"28.428131,77.11631",4875,251,190
1539103330,2018-10-09T16:42:10Z,JAI384,"28.417721,77.114166",5050,259,190
1539103343,2018-10-09T16:42:23Z,JAI384,"28.403412,77.111244",5250,273,190
1539103354,2018-10-09T16:42:34Z,JAI384,"28.387161,77.107864",5625,280,190
1539103366,2018-10-09T16:42:46Z,JAI384,"28.372192,77.104797",6050,284,190
1539103379,2018-10-09T16:42:59Z,JAI384,"28.356079,77.101418",6475,288,190
1539103390,2018-10-09T16:43:10Z,JAI384,"28.339966,77.097984",7000,289,190
1539103402,2018-10-09T16:43:22Z,JAI384,"28.324709,77.094025",7475,288,196
1539103411,2018-10-09T16:43:31Z,JAI384,"28.31369,77.088478",7850,285,207
1539103418,2018-10-09T16:43:38Z,JAI384,"28.306461,77.083252",8025,288,214
1539103427,2018-10-09T16:43:47Z,JAI384,"28.297394,77.074165",8225,292,224
1539103433,2018-10-09T16:43:53Z,JAI384,"28.291855,77.067932",8400,296,225
1539103440,2018-10-09T16:44:00Z,JAI384,"28.283604,77.058594",8625,301,225
1539103447,2018-10-09T16:44:07Z,JAI384,"28.277115,77.051239",8775,306,225
1539103459,2018-10-09T16:44:19Z,JAI384,"28.26503,77.037613",9050,316,224
1539103472,2018-10-09T16:44:32Z,JAI384,"28.251808,77.022774",9325,325,224
1539103483,2018-10-09T16:44:43Z,JAI384,"28.238821,77.008293",9600,334,224
1539103497,2018-10-09T16:44:57Z,JAI384,"28.224947,76.992783",9900,342,224
1539103507,2018-10-09T16:45:07Z,JAI384,"28.211563,76.977875",10200,349,224
1539103520,2018-10-09T16:45:20Z,JAI384,"28.197052,76.961761",10525,356,224
1539103532,2018-10-09T16:45:32Z,JAI384,"28.183044,76.946129",10850,362,224
1539103543,2018-10-09T16:45:43Z,JAI384,"28.168619,76.930145",11175,369,224
1539103555,2018-10-09T16:45:55Z,JAI384,"28.153976,76.913803",11475,375,224
