Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539190496,2018-10-10T16:54:56Z,JAI384,"28.535591,77.120361",1825,180,102
1539190602,2018-10-10T16:56:42Z,JAI384,"28.453054,77.122406",4575,229,190
1539190613,2018-10-10T16:56:53Z,JAI384,"28.440624,77.119713",4850,241,190
1539190619,2018-10-10T16:56:59Z,JAI384,"28.433315,77.118103",4950,250,191
1539190629,2018-10-10T16:57:09Z,JAI384,"28.423725,77.115944",5075,260,191
1539190639,2018-10-10T16:57:19Z,JAI384,"28.408356,77.112404",5375,271,191
1539190652,2018-10-10T16:57:32Z,JAI384,"28.39356,77.109215",5800,276,190
1539190665,2018-10-10T16:57:45Z,JAI384,"28.377825,77.10582",6350,278,192
1539190676,2018-10-10T16:57:56Z,JAI384,"28.362883,77.100922",6575,277,200
1539190684,2018-10-10T16:58:04Z,JAI384,"28.356133,77.09742",6675,277,207
1539190690,2018-10-10T16:58:10Z,JAI384,"28.346542,77.090363",6800,277,216
1539190697,2018-10-10T16:58:17Z,JAI384,"28.340561,77.084671",6875,276,221
1539190704,2018-10-10T16:58:24Z,JAI384,"28.334976,77.078438",6975,277,225
1539190712,2018-10-10T16:58:32Z,JAI384,"28.326897,77.069519",7025,276,224
1539190718,2018-10-10T16:58:38Z,JAI384,"28.321198,77.063278",7075,276,224
1539190731,2018-10-10T16:58:51Z,JAI384,"28.309767,77.051048",7250,278,222
1539190742,2018-10-10T16:59:02Z,JAI384,"28.29892,77.039581",7600,280,223
1539190754,2018-10-10T16:59:14Z,JAI384,"28.287188,77.027298",8250,276,222
1539190766,2018-10-10T16:59:26Z,JAI384,"28.275642,77.015396",8850,274,222
1539190780,2018-10-10T16:59:40Z,JAI384,"28.264435,77.003914",9450,272,222
1539190790,2018-10-10T16:59:50Z,JAI384,"28.253204,76.992294",10025,270,223
1539190802,2018-10-10T17:00:02Z,JAI384,"28.241985,76.980286",10450,277,223
1539190814,2018-10-10T17:00:14Z,JAI384,"28.23044,76.96801",10650,291,223
1539190826,2018-10-10T17:00:26Z,JAI384,"28.218475,76.955475",10850,303,222
1539190839,2018-10-10T17:00:39Z,JAI384,"28.205397,76.94194",11050,316,222
1539190850,2018-10-10T17:00:50Z,JAI384,"28.192337,76.928436",11250,327,222
1539190862,2018-10-10T17:01:02Z,JAI384,"28.178629,76.914314",11575,336,222
1539190875,2018-10-10T17:01:15Z,JAI384,"28.164383,76.899612",12025,339,222
1539190904,2018-10-10T17:01:44Z,JAI384,"28.128677,76.862724",12950,354,222
1539190934,2018-10-10T17:02:14Z,JAI384,"28.091812,76.824432",13800,370,222
1539190968,2018-10-10T17:02:48Z,JAI384,"28.049011,76.780067",14975,381,222
1539191002,2018-10-10T17:03:22Z,JAI384,"28.005779,76.735138",16475,383,222
1539191035,2018-10-10T17:03:55Z,JAI384,"27.962173,76.689903",17900,386,222
1539191069,2018-10-10T17:04:29Z,JAI384,"27.918261,76.644478",19300,387,222
1539191131,2018-10-10T17:05:31Z,JAI384,"27.833862,76.557449",21800,389,222
1539191191,2018-10-10T17:06:31Z,JAI384,"27.747849,76.483192",24000,392,213
1539191255,2018-10-10T17:07:35Z,JAI384,"27.651627,76.410744",25900,397,213
1539191318,2018-10-10T17:08:38Z,JAI384,"27.552965,76.336548",27250,410,213
1539191380,2018-10-10T17:09:40Z,JAI384,"27.450806,76.26445",28575,418,211
1539191441,2018-10-10T17:10:41Z,JAI384,"27.349998,76.195412",29750,424,211
1539191503,2018-10-10T17:11:43Z,JAI384,"27.245224,76.124008",31375,413,211
1539191572,2018-10-10T17:12:52Z,JAI384,"27.137375,76.050316",32850,406,211
