Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539967735,2018-10-19T16:48:55Z,JAI384,"28.549164,77.051559",1800,183,280
1539967760,2018-10-19T16:49:20Z,JAI384,"28.543671,77.029846",2700,191,227
1539967767,2018-10-19T16:49:27Z,JAI384,"28.537537,77.02478",3000,192,211
1539967773,2018-10-19T16:49:33Z,JAI384,"28.532822,77.021606",3225,194,210
1539967780,2018-10-19T16:49:40Z,JAI384,"28.527695,77.018173",3475,195,210
1539967786,2018-10-19T16:49:46Z,JAI384,"28.523067,77.015129",3700,195,210
1539967796,2018-10-19T16:49:56Z,JAI384,"28.516085,77.010445",4025,197,210
1539967803,2018-10-19T16:50:03Z,JAI384,"28.510849,77.006927",4150,206,210
1539967813,2018-10-19T16:50:13Z,JAI384,"28.500862,77",4375,220,211
1539967819,2018-10-19T16:50:19Z,JAI384,"28.495277,76.996117",4500,230,211
1539967825,2018-10-19T16:50:25Z,JAI384,"28.489563,76.992081",4600,241,211
1539967831,2018-10-19T16:50:31Z,JAI384,"28.48443,76.988472",4675,247,211
1539967837,2018-10-19T16:50:37Z,JAI384,"28.477587,76.983681",4825,258,211
1539967843,2018-10-19T16:50:43Z,JAI384,"28.471436,76.979355",4950,265,211
1539967851,2018-10-19T16:50:51Z,JAI384,"28.465027,76.974808",5175,267,212
1539967865,2018-10-19T16:51:05Z,JAI384,"28.449326,76.963295",5750,273,213
1539967875,2018-10-19T16:51:15Z,JAI384,"28.436481,76.954002",6275,277,211
1539967889,2018-10-19T16:51:29Z,JAI384,"28.423141,76.944969",6900,275,210
1539967902,2018-10-19T16:51:42Z,JAI384,"28.409575,76.93634",7375,276,208
1539967911,2018-10-19T16:51:51Z,JAI384,"28.396585,76.928589",7750,273,208
1539967924,2018-10-19T16:52:04Z,JAI384,"28.382992,76.919434",8250,277,211
1539967936,2018-10-19T16:52:16Z,JAI384,"28.369167,76.909843",8650,289,210
1539967949,2018-10-19T16:52:29Z,JAI384,"28.355341,76.900635",9175,293,210
1539967960,2018-10-19T16:52:40Z,JAI384,"28.340816,76.890884",9625,303,210
1539967972,2018-10-19T16:52:52Z,JAI384,"28.326233,76.880844",10150,308,211
1539967984,2018-10-19T16:53:04Z,JAI384,"28.311447,76.870651",10525,318,211
1539967997,2018-10-19T16:53:17Z,JAI384,"28.295517,76.859718",11000,326,211
1539968008,2018-10-19T16:53:28Z,JAI384,"28.279739,76.849045",11525,333,210
1539968020,2018-10-19T16:53:40Z,JAI384,"28.264471,76.838921",11975,339,210
1539968033,2018-10-19T16:53:53Z,JAI384,"28.246948,76.827339",12500,347,210
1539968062,2018-10-19T16:54:22Z,JAI384,"28.204422,76.797501",13775,362,211
1539968095,2018-10-19T16:54:55Z,JAI384,"28.157633,76.76503",15600,368,211
1539968129,2018-10-19T16:55:29Z,JAI384,"28.108614,76.732231",17400,373,210
1539968161,2018-10-19T16:56:01Z,JAI384,"28.059036,76.699539",19000,379,210
1539968226,2018-10-19T16:57:06Z,JAI384,"27.961121,76.631538",21725,394,211
1539968285,2018-10-19T16:58:05Z,JAI384,"27.866684,76.567505",23975,407,210
1539968349,2018-10-19T16:59:09Z,JAI384,"27.761993,76.495522",26200,418,209
1539968364,2018-10-19T16:59:24Z,JAI384,"27.735031,76.48069",26775,422,204
1539968427,2018-10-19T17:00:27Z,JAI384,"27.623154,76.423538",28925,420,204
1539968489,2018-10-19T17:01:29Z,JAI384,"27.513536,76.367287",31050,413,204
1539968551,2018-10-19T17:02:31Z,JAI384,"27.406233,76.312355",32825,410,204
1539968614,2018-10-19T17:03:34Z,JAI384,"27.29907,76.257317",34825,397,204
1539968674,2018-10-19T17:04:34Z,JAI384,"27.199585,76.207077",35825,393,204
1539968737,2018-10-19T17:05:37Z,JAI384,"27.093887,76.153809",35975,392,204
1539968800,2018-10-19T17:06:40Z,JAI384,"26.993036,76.102821",36000,393,204
1539968862,2018-10-19T17:07:42Z,JAI384,"26.886292,76.048264",35975,396,204
1539968927,2018-10-19T17:08:47Z,JAI384,"26.777756,75.993675",36000,400,204
1539968987,2018-10-19T17:09:47Z,JAI384,"26.676666,75.942886",36000,400,204
1539969052,2018-10-19T17:10:52Z,JAI384,"26.56741,75.888115",35975,401,204
1539969114,2018-10-19T17:11:54Z,JAI384,"26.46085,75.834824",36000,402,204
1539969174,2018-10-19T17:12:54Z,JAI384,"26.359085,75.783745",35975,404,204
