Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540400578,2018-10-24T17:02:58Z,JAI384,"28.530716,77.131683",2025,188,122
1540400584,2018-10-24T17:03:04Z,JAI384,"28.526047,77.13649",2150,195,144
1540400596,2018-10-24T17:03:16Z,JAI384,"28.51474,77.138916",2375,206,184
1540400602,2018-10-24T17:03:22Z,JAI384,"28.509567,77.137489",2475,211,198
1540400609,2018-10-24T17:03:29Z,JAI384,"28.502911,77.134689",2575,218,201
1540400615,2018-10-24T17:03:35Z,JAI384,"28.497116,77.13253",2675,226,197
1540400629,2018-10-24T17:03:49Z,JAI384,"28.481218,77.128059",2925,243,192
1540400636,2018-10-24T17:03:56Z,JAI384,"28.474365,77.126503",3050,249,190
1540400642,2018-10-24T17:04:02Z,JAI384,"28.467392,77.125046",3250,252,190
1540400652,2018-10-24T17:04:12Z,JAI384,"28.453262,77.122231",3625,259,189
1540400661,2018-10-24T17:04:21Z,JAI384,"28.445885,77.120789",3725,268,189
1540400672,2018-10-24T17:04:32Z,JAI384,"28.431128,77.117935",4100,276,190
1540400679,2018-10-24T17:04:39Z,JAI384,"28.423691,77.116417",4325,276,190
1540400688,2018-10-24T17:04:48Z,JAI384,"28.412088,77.114059",4775,275,190
1540400695,2018-10-24T17:04:55Z,JAI384,"28.404127,77.112389",5050,276,190
1540400704,2018-10-24T17:05:04Z,JAI384,"28.389044,77.109161",5600,275,190
1540400716,2018-10-24T17:05:16Z,JAI384,"28.374102,77.105873",6150,276,191
1540400728,2018-10-24T17:05:28Z,JAI384,"28.358599,77.102371",6650,278,191
1540400741,2018-10-24T17:05:41Z,JAI384,"28.343491,77.099037",6875,279,191
1540400754,2018-10-24T17:05:54Z,JAI384,"28.327921,77.095322",7050,277,193
1540400763,2018-10-24T17:06:03Z,JAI384,"28.317123,77.090698",7200,276,205
1540400769,2018-10-24T17:06:09Z,JAI384,"28.310371,77.086327",7300,276,212
1540400775,2018-10-24T17:06:15Z,JAI384,"28.304489,77.081451",7400,275,219
1540400782,2018-10-24T17:06:22Z,JAI384,"28.298813,77.075592",7500,277,224
1540400789,2018-10-24T17:06:29Z,JAI384,"28.290253,77.065926",7750,277,224
1540400800,2018-10-24T17:06:40Z,JAI384,"28.282579,77.057297",8125,276,224
1540400811,2018-10-24T17:06:51Z,JAI384,"28.271072,77.044479",8700,276,224
1540400823,2018-10-24T17:07:03Z,JAI384,"28.260086,77.032227",9225,278,224
1540400835,2018-10-24T17:07:15Z,JAI384,"28.248875,77.019653",9725,280,224
1540400846,2018-10-24T17:07:26Z,JAI384,"28.237749,77.00721",10200,282,224
1540400859,2018-10-24T17:07:39Z,JAI384,"28.226578,76.994774",10450,294,224
1540400871,2018-10-24T17:07:51Z,JAI384,"28.214584,76.981308",10675,306,224
1540400883,2018-10-24T17:08:03Z,JAI384,"28.20195,76.967148",10875,319,224
1540400896,2018-10-24T17:08:16Z,JAI384,"28.188591,76.952225",11075,333,224
1540400907,2018-10-24T17:08:27Z,JAI384,"28.176067,76.938225",11300,342,224
1540400919,2018-10-24T17:08:39Z,JAI384,"28.161896,76.92247",11700,347,224
1540400933,2018-10-24T17:08:53Z,JAI384,"28.14743,76.906464",12225,350,224
1540400965,2018-10-24T17:09:25Z,JAI384,"28.108242,76.863045",13375,364,224
1540400998,2018-10-24T17:09:58Z,JAI384,"28.067833,76.818237",14600,375,224
1540401028,2018-10-24T17:10:28Z,JAI384,"28.027908,76.779488",15925,382,214
1540401038,2018-10-24T17:10:38Z,JAI384,"28.014532,76.769821",16325,385,210
1540401046,2018-10-24T17:10:46Z,JAI384,"27.999868,76.76088",16700,388,206
1540401052,2018-10-24T17:10:52Z,JAI384,"27.990372,76.755615",16950,388,205
1540401084,2018-10-24T17:11:24Z,JAI384,"27.940468,76.727814",18100,395,206
1540401146,2018-10-24T17:12:26Z,JAI384,"27.835213,76.668991",20275,410,206
1540401208,2018-10-24T17:13:28Z,JAI384,"27.730591,76.610672",22375,419,206
1540401269,2018-10-24T17:14:29Z,JAI384,"27.620001,76.549248",24325,427,206
1540401334,2018-10-24T17:15:34Z,JAI384,"27.506058,76.487022",25900,438,206
1540401395,2018-10-24T17:16:35Z,JAI384,"27.388504,76.421417",27275,450,206
1540401456,2018-10-24T17:17:36Z,JAI384,"27.275757,76.358917",28550,456,206
1540401519,2018-10-24T17:18:39Z,JAI384,"27.155922,76.293022",30025,455,206
1540401580,2018-10-24T17:19:40Z,JAI384,"27.040333,76.229378",31775,444,206
1540401642,2018-10-24T17:20:42Z,JAI384,"26.924465,76.16552",33125,441,206
1540401706,2018-10-24T17:21:46Z,JAI384,"26.808746,76.102188",34000,443,206
1540401769,2018-10-24T17:22:49Z,JAI384,"26.692774,76.03891",34000,440,206
1540401834,2018-10-24T17:23:54Z,JAI384,"26.575182,75.974899",33975,438,206
1540401896,2018-10-24T17:24:56Z,JAI384,"26.461029,75.912834",34000,436,205
1540401960,2018-10-24T17:26:00Z,JAI384,"26.346039,75.850594",34000,436,206
1540402023,2018-10-24T17:27:03Z,JAI384,"26.229721,75.787735",34000,436,205
1540402086,2018-10-24T17:28:06Z,JAI384,"26.115713,75.726067",34000,436,205
1540402149,2018-10-24T17:29:09Z,JAI384,"26.000473,75.664032",34000,436,205
1540402209,2018-10-24T17:30:09Z,JAI384,"25.890656,75.60511",34000,434,205
1540402273,2018-10-24T17:31:13Z,JAI384,"25.775974,75.543602",33975,430,205
1540402334,2018-10-24T17:32:14Z,JAI384,"25.667908,75.485687",34000,430,205
1540402398,2018-10-24T17:33:18Z,JAI384,"25.553329,75.424553",33975,431,205
1540402458,2018-10-24T17:34:18Z,JAI384,"25.444242,75.366417",33975,433,205
1540402521,2018-10-24T17:35:21Z,JAI384,"25.328796,75.30497",34000,435,205
1540402582,2018-10-24T17:36:22Z,JAI384,"25.218605,75.246605",33975,435,205
1540402645,2018-10-24T17:37:25Z,JAI384,"25.103622,75.185646",34000,433,205
1540402706,2018-10-24T17:38:26Z,JAI384,"24.994268,75.127411",34000,432,205
1540402771,2018-10-24T17:39:31Z,JAI384,"24.880217,75.067406",34000,429,205
1540402832,2018-10-24T17:40:32Z,JAI384,"24.770725,75.010033",34000,428,205
1540402894,2018-10-24T17:41:34Z,JAI384,"24.657137,74.950386",34000,427,205
1540402954,2018-10-24T17:42:34Z,JAI384,"24.54788,74.896339",33975,435,200
1540403016,2018-10-24T17:43:36Z,JAI384,"24.432756,74.84996",34000,434,200
1540403075,2018-10-24T17:44:35Z,JAI384,"24.318748,74.804253",34000,433,200
1540403137,2018-10-24T17:45:37Z,JAI384,"24.204464,74.758492",33975,434,200
1540403201,2018-10-24T17:46:41Z,JAI384,"24.084274,74.710487",33975,432,200
1540403264,2018-10-24T17:47:44Z,JAI384,"23.965279,74.662827",34000,429,200
1540403325,2018-10-24T17:48:45Z,JAI384,"23.851776,74.61731",34000,429,200
1540403384,2018-10-24T17:49:44Z,JAI384,"23.738987,74.572037",34000,428,200
1540403449,2018-10-24T17:50:49Z,JAI384,"23.621397,74.525238",34000,430,200
1540403509,2018-10-24T17:51:49Z,JAI384,"23.507065,74.479774",34000,430,200
1540403572,2018-10-24T17:52:52Z,JAI384,"23.387878,74.432426",34000,432,200
1540403635,2018-10-24T17:53:55Z,JAI384,"23.268219,74.384979",34000,433,200
1540403696,2018-10-24T17:54:56Z,JAI384,"23.157349,74.341087",34000,434,200
1540403760,2018-10-24T17:56:00Z,JAI384,"23.034,74.292244",34000,434,200
1540403820,2018-10-24T17:57:00Z,JAI384,"22.919762,74.247231",34000,434,200
1540403880,2018-10-24T17:58:00Z,JAI384,"22.807152,74.202827",34000,433,199
1540403944,2018-10-24T17:59:04Z,JAI384,"22.686081,74.155266",34000,433,200
1540404003,2018-10-24T18:00:03Z,JAI384,"22.572901,74.11097",34000,434,199
1540404067,2018-10-24T18:01:07Z,JAI384,"22.452238,74.063667",34000,434,199
1540404127,2018-10-24T18:02:07Z,JAI384,"22.338139,74.018959",34000,433,199
1540404188,2018-10-24T18:03:08Z,JAI384,"22.223433,73.974403",33975,431,199
1540404253,2018-10-24T18:04:13Z,JAI384,"22.104586,73.927971",34000,431,199
1540404313,2018-10-24T18:05:13Z,JAI384,"21.99272,73.884331",34000,431,199
1540404372,2018-10-24T18:06:12Z,JAI384,"21.877876,73.839928",34000,432,200
1540404435,2018-10-24T18:07:15Z,JAI384,"21.759064,73.793869",34000,430,199
1540404497,2018-10-24T18:08:17Z,JAI384,"21.64476,73.749573",34000,432,199
1540404559,2018-10-24T18:09:19Z,JAI384,"21.522949,73.706474",34000,445,190
1540404566,2018-10-24T18:09:26Z,JAI384,"21.510452,73.704277",34000,449,188
1540404576,2018-10-24T18:09:36Z,JAI384,"21.491865,73.702187",34000,454,184
1540404582,2018-10-24T18:09:42Z,JAI384,"21.472174,73.701378",34000,459,180
1540404605,2018-10-24T18:10:05Z,JAI384,"21.42725,73.70504",34000,470,171
1540404614,2018-10-24T18:10:14Z,JAI384,"21.407419,73.709007",34000,474,167
1540404629,2018-10-24T18:10:29Z,JAI384,"21.377533,73.717957",34000,481,161
1540404637,2018-10-24T18:10:37Z,JAI384,"21.362543,73.723755",34000,485,158
1540404646,2018-10-24T18:10:46Z,JAI384,"21.343456,73.732552",34000,488,155
1540404653,2018-10-24T18:10:53Z,JAI384,"21.324921,73.742432",34000,491,152
1540404717,2018-10-24T18:11:57Z,JAI384,"21.198259,73.812866",33975,485,153
1540404742,2018-10-24T18:12:22Z,JAI384,"21.147995,73.833717",33975,474,163
1540404749,2018-10-24T18:12:29Z,JAI384,"21.130234,73.838814",33975,470,166
1540404755,2018-10-24T18:12:35Z,JAI384,"21.115816,73.842163",33975,467,168
1540404762,2018-10-24T18:12:42Z,JAI384,"21.103226,73.844505",34000,464,170
1540404828,2018-10-24T18:13:48Z,JAI384,"20.966812,73.852402",33975,421,181
1540404889,2018-10-24T18:14:49Z,JAI384,"20.849716,73.849899",34000,416,181
1540404953,2018-10-24T18:15:53Z,JAI384,"20.727402,73.846565",34000,416,181
1540404978,2018-10-24T18:16:18Z,JAI384,"20.681534,73.840584",34000,405,191
1540404985,2018-10-24T18:16:25Z,JAI384,"20.664688,73.835976",34000,402,196
1540404991,2018-10-24T18:16:31Z,JAI384,"20.654068,73.832344",33975,399,198
1540404997,2018-10-24T18:16:37Z,JAI384,"20.644043,73.828423",33925,396,201
1540405004,2018-10-24T18:16:44Z,JAI384,"20.633102,73.823463",33825,392,204
1540405013,2018-10-24T18:16:53Z,JAI384,"20.619244,73.81604",33700,387,208
1540405019,2018-10-24T18:16:59Z,JAI384,"20.609373,73.809944",33600,383,211
1540405027,2018-10-24T18:17:07Z,JAI384,"20.600372,73.803604",33525,381,214
1540405035,2018-10-24T18:17:15Z,JAI384,"20.587738,73.793495",33400,377,218
1540405042,2018-10-24T18:17:22Z,JAI384,"20.579544,73.785995",33300,376,221
1540405049,2018-10-24T18:17:29Z,JAI384,"20.569107,73.775139",33175,372,226
1540405055,2018-10-24T18:17:35Z,JAI384,"20.561646,73.766716",33100,372,226
1540405118,2018-10-24T18:18:38Z,JAI384,"20.48629,73.682808",32225,368,226
1540405179,2018-10-24T18:19:39Z,JAI384,"20.415298,73.603203",31400,369,226
1540405247,2018-10-24T18:20:47Z,JAI384,"20.336975,73.515556",30500,363,226
1540405306,2018-10-24T18:21:46Z,JAI384,"20.26675,73.438408",29675,362,225
1540405369,2018-10-24T18:22:49Z,JAI384,"20.19342,73.356789",28700,357,226
1540405433,2018-10-24T18:23:53Z,JAI384,"20.121414,73.277008",27625,352,226
1540405495,2018-10-24T18:24:55Z,JAI384,"20.049042,73.19989",26300,356,214
1540405504,2018-10-24T18:25:04Z,JAI384,"20.039795,73.194305",26150,360,207
1540405511,2018-10-24T18:25:11Z,JAI384,"20.025888,73.188873",25975,366,196
1540405520,2018-10-24T18:25:20Z,JAI384,"20.011322,73.186356",25775,373,184
1540405544,2018-10-24T18:25:44Z,JAI384,"19.968521,73.1968",25250,390,152
1540405553,2018-10-24T18:25:53Z,JAI384,"19.955338,73.206856",25050,395,141
1540405559,2018-10-24T18:25:59Z,JAI384,"19.947647,73.215195",24925,397,130
1540405565,2018-10-24T18:26:05Z,JAI384,"19.94121,73.224525",24800,399,122
1540405571,2018-10-24T18:26:11Z,JAI384,"19.936182,73.234566",24675,400,115
1540405578,2018-10-24T18:26:18Z,JAI384,"19.932358,73.245804",24550,400,106
1540405588,2018-10-24T18:26:28Z,JAI384,"19.929474,73.264145",24325,398,94
1540405595,2018-10-24T18:26:35Z,JAI384,"19.929758,73.276009",24200,395,85
1540405601,2018-10-24T18:26:41Z,JAI384,"19.932999,73.292839",24025,386,73
1540405609,2018-10-24T18:26:49Z,JAI384,"19.936752,73.30294",23925,381,67
1540405617,2018-10-24T18:26:57Z,JAI384,"19.944933,73.317459",23750,371,54
1540405624,2018-10-24T18:27:04Z,JAI384,"19.951401,73.325546",23650,363,47
