Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540487124,2018-10-25T17:05:24Z,JAI384,"28.535797,77.116997",1450,191,104
1540487194,2018-10-25T17:06:34Z,JAI384,"28.485548,77.13533",3675,208,202
1540487206,2018-10-25T17:06:46Z,JAI384,"28.474049,77.130753",3975,218,197
1540487215,2018-10-25T17:06:55Z,JAI384,"28.465902,77.128334",4050,222,196
1540487303,2018-10-25T17:08:23Z,JAI384,"28.352547,77.101295",5600,331,191
1540487314,2018-10-25T17:08:34Z,JAI384,"28.334198,77.096718",5975,336,193
1540487323,2018-10-25T17:08:43Z,JAI384,"28.320986,77.091225",6325,337,203
1540487329,2018-10-25T17:08:49Z,JAI384,"28.312698,77.086327",6575,336,209
1540487336,2018-10-25T17:08:56Z,JAI384,"28.304365,77.080078",6850,337,215
1540487343,2018-10-25T17:09:03Z,JAI384,"28.295837,77.071838",7150,335,221
1540487351,2018-10-25T17:09:11Z,JAI384,"28.287231,77.062172",7525,335,225
1540487359,2018-10-25T17:09:19Z,JAI384,"28.277506,77.051323",7900,336,224
1540487371,2018-10-25T17:09:31Z,JAI384,"28.264145,77.036453",8425,336,224
1540487383,2018-10-25T17:09:43Z,JAI384,"28.250551,77.021324",8950,338,224
1540487396,2018-10-25T17:09:56Z,JAI384,"28.236694,77.006973",9400,343,219
1540487407,2018-10-25T17:10:07Z,JAI384,"28.221085,76.994019",9850,347,214
1540487414,2018-10-25T17:10:14Z,JAI384,"28.21257,76.987961",10075,350,211
1540487423,2018-10-25T17:10:23Z,JAI384,"28.199856,76.980072",10425,353,207
1540487442,2018-10-25T17:10:42Z,JAI384,"28.173414,76.964455",11125,356,207
1540487453,2018-10-25T17:10:53Z,JAI384,"28.155445,76.953789",11600,360,207
1540487466,2018-10-25T17:11:06Z,JAI384,"28.137941,76.943398",12050,362,207
1540487495,2018-10-25T17:11:35Z,JAI384,"28.092228,76.916359",13325,366,207
1540487529,2018-10-25T17:12:09Z,JAI384,"28.041485,76.886414",14550,379,207
1540487559,2018-10-25T17:12:39Z,JAI384,"27.993805,76.858345",15600,390,207
1540487591,2018-10-25T17:13:11Z,JAI384,"27.940613,76.827072",17075,390,207
1540487624,2018-10-25T17:13:44Z,JAI384,"27.888235,76.796127",18450,392,207
1540487687,2018-10-25T17:14:47Z,JAI384,"27.784983,76.735275",20550,407,207
1540487751,2018-10-25T17:15:51Z,JAI384,"27.674469,76.670685",22350,424,207
1540487812,2018-10-25T17:16:52Z,JAI384,"27.568979,76.608879",23975,429,207
1540487875,2018-10-25T17:17:55Z,JAI384,"27.457069,76.543388",25025,430,207
1540487938,2018-10-25T17:18:58Z,JAI384,"27.345716,76.478523",26675,435,207
1540488001,2018-10-25T17:20:01Z,JAI384,"27.230255,76.411469",28100,441,207
1540488062,2018-10-25T17:21:02Z,JAI384,"27.120438,76.347725",29300,445,207
1540488123,2018-10-25T17:22:03Z,JAI384,"27.010391,76.284088",30925,435,207
1540488185,2018-10-25T17:23:05Z,JAI384,"26.899887,76.219933",32750,419,207
1540488245,2018-10-25T17:24:05Z,JAI384,"26.797377,76.160553",33975,412,207
1540488309,2018-10-25T17:25:09Z,JAI384,"26.687002,76.097221",33975,418,207
1540488353,2018-10-25T17:25:53Z,JAI384,"26.611084,76.053482",33975,417,207
1540488443,2018-10-25T17:27:23Z,JAI384,"26.457138,75.965073",33975,416,207
1540488506,2018-10-25T17:28:26Z,JAI384,"26.351028,75.904488",33975,417,207
1540488568,2018-10-25T17:29:28Z,JAI384,"26.243637,75.843285",33975,417,207
1540488632,2018-10-25T17:30:32Z,JAI384,"26.133087,75.780167",33975,418,207
1540488645,2018-10-25T17:30:45Z,JAI384,"26.10997,75.767059",33975,419,207
1540488868,2018-10-25T17:34:28Z,JAI384,"25.723276,75.548416",33975,419,206
1540488932,2018-10-25T17:35:32Z,JAI384,"25.612902,75.486023",33975,419,207
1540488998,2018-10-25T17:36:38Z,JAI384,"25.502518,75.42379",33975,418,207
1540489058,2018-10-25T17:37:38Z,JAI384,"25.399338,75.366005",33975,416,206
1540489122,2018-10-25T17:38:42Z,JAI384,"25.289566,75.304466",33975,415,206
1540489183,2018-10-25T17:39:43Z,JAI384,"25.181269,75.243858",33975,413,206
1540489245,2018-10-25T17:40:45Z,JAI384,"25.077738,75.18618",33975,412,206
1540489307,2018-10-25T17:41:47Z,JAI384,"24.970276,75.126396",33975,412,206
1540489371,2018-10-25T17:42:51Z,JAI384,"24.862061,75.066322",33975,411,206
1540489435,2018-10-25T17:43:55Z,JAI384,"24.754711,75.006668",33975,410,206
1540489495,2018-10-25T17:44:55Z,JAI384,"24.652575,74.950081",33975,409,206
1540489557,2018-10-25T17:45:57Z,JAI384,"24.542433,74.894264",33975,417,200
1540489618,2018-10-25T17:46:58Z,JAI384,"24.431965,74.849701",33975,418,200
1540489683,2018-10-25T17:48:03Z,JAI384,"24.316544,74.803413",33975,419,200
1540489746,2018-10-25T17:49:06Z,JAI384,"24.199814,74.756721",33975,420,200
1540489807,2018-10-25T17:50:07Z,JAI384,"24.088852,74.712318",33975,420,200
1540489869,2018-10-25T17:51:09Z,JAI384,"23.973038,74.665932",33975,418,200
