Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540572532,2018-10-26T16:48:52Z,JAI384,"28.551373,77.0448",1575,181,282
1540572633,2018-10-26T16:50:33Z,JAI384,"28.457474,77.003967",4075,275,190
1540572644,2018-10-26T16:50:44Z,JAI384,"28.441975,77.000534",4600,277,191
1540572650,2018-10-26T16:50:50Z,JAI384,"28.435783,76.999084",4825,277,191
1540572657,2018-10-26T16:50:57Z,JAI384,"28.426804,76.997047",5150,278,191
1540572669,2018-10-26T16:51:09Z,JAI384,"28.411514,76.993668",5650,281,191
1540572681,2018-10-26T16:51:21Z,JAI384,"28.396492,76.990356",6175,282,190
1540572692,2018-10-26T16:51:32Z,JAI384,"28.380569,76.987015",6575,284,190
1540572704,2018-10-26T16:51:44Z,JAI384,"28.364685,76.983734",6775,295,190
1540572717,2018-10-26T16:51:57Z,JAI384,"28.347427,76.980232",6950,311,190
1540572729,2018-10-26T16:52:09Z,JAI384,"28.330109,76.976677",7000,326,190
1540572741,2018-10-26T16:52:21Z,JAI384,"28.312042,76.970482",7000,333,202
1540572750,2018-10-26T16:52:30Z,JAI384,"28.300049,76.962929",7000,334,212
1540572756,2018-10-26T16:52:36Z,JAI384,"28.29245,76.956375",7050,332,218
1540572762,2018-10-26T16:52:42Z,JAI384,"28.285326,76.949966",7200,332,218
1540572768,2018-10-26T16:52:48Z,JAI384,"28.277971,76.943398",7325,337,218
1540572774,2018-10-26T16:52:54Z,JAI384,"28.270432,76.936676",7550,338,218
1540572786,2018-10-26T16:53:06Z,JAI384,"28.256184,76.924011",8025,341,218
1540572799,2018-10-26T16:53:19Z,JAI384,"28.240356,76.909897",8450,347,218
1540572810,2018-10-26T16:53:30Z,JAI384,"28.225088,76.896271",8900,351,218
1540572822,2018-10-26T16:53:42Z,JAI384,"28.209866,76.882866",9350,354,218
1540572838,2018-10-26T16:53:58Z,JAI384,"28.190323,76.865738",9950,356,217
1540572850,2018-10-26T16:54:10Z,JAI384,"28.174206,76.851624",10450,357,217
1540572858,2018-10-26T16:54:18Z,JAI384,"28.161438,76.842606",10800,365,207
1540572865,2018-10-26T16:54:25Z,JAI384,"28.152094,76.837677",11075,366,203
1540572871,2018-10-26T16:54:31Z,JAI384,"28.142578,76.832993",11325,367,203
1540572882,2018-10-26T16:54:42Z,JAI384,"28.124254,76.823029",11775,368,206
1540572894,2018-10-26T16:54:54Z,JAI384,"28.106369,76.812607",12200,372,207
1540572928,2018-10-26T16:55:28Z,JAI384,"28.054985,76.782852",13625,376,206
1540572961,2018-10-26T16:56:01Z,JAI384,"28.002136,76.754082",15050,381,205
1540572995,2018-10-26T16:56:35Z,JAI384,"27.948257,76.724289",16450,387,206
1540573027,2018-10-26T16:57:07Z,JAI384,"27.894882,76.694466",17775,393,206
1540573060,2018-10-26T16:57:40Z,JAI384,"27.8405,76.664047",19025,398,206
1540573120,2018-10-26T16:58:40Z,JAI384,"27.738943,76.607613",21000,412,206
1540573184,2018-10-26T16:59:44Z,JAI384,"27.627548,76.545998",22875,426,206
