Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540745374,2018-10-28T16:49:34Z,JAI384,"28.549759,77.052666",1875,179,277
1540745385,2018-10-28T16:49:45Z,JAI384,"28.548811,77.04319",2250,180,251
1540745395,2018-10-28T16:49:55Z,JAI384,"28.543737,77.035431",2475,192,221
1540745404,2018-10-28T16:50:04Z,JAI384,"28.535452,77.03096",2575,209,195
1540745415,2018-10-28T16:50:15Z,JAI384,"28.525164,77.029404",2550,230,185
1540745425,2018-10-28T16:50:25Z,JAI384,"28.514236,77.027573",2525,242,189
1540745439,2018-10-28T16:50:39Z,JAI384,"28.497278,77.023743",2550,255,192
1540745449,2018-10-28T16:50:49Z,JAI384,"28.485489,77.020813",2600,262,192
1540745460,2018-10-28T16:51:00Z,JAI384,"28.473587,77.01754",2775,270,193
1540745470,2018-10-28T16:51:10Z,JAI384,"28.460815,77.014",3100,276,194
1540745479,2018-10-28T16:51:19Z,JAI384,"28.448593,77.010567",3525,278,193
1540745491,2018-10-28T16:51:31Z,JAI384,"28.435501,77.007027",3900,282,193
1540745500,2018-10-28T16:51:40Z,JAI384,"28.422701,77.003716",4450,278,192
1540745510,2018-10-28T16:51:50Z,JAI384,"28.410366,77.000481",4925,278,193
1540745520,2018-10-28T16:52:00Z,JAI384,"28.397369,76.996887",5300,282,193
1540745535,2018-10-28T16:52:15Z,JAI384,"28.378197,76.991539",5575,291,193
1540745545,2018-10-28T16:52:25Z,JAI384,"28.364594,76.987801",5775,299,193
1540745560,2018-10-28T16:52:40Z,JAI384,"28.344448,76.98217",6075,307,193
1540745576,2018-10-28T16:52:56Z,JAI384,"28.323074,76.975761",6375,313,197
1540745596,2018-10-28T16:53:16Z,JAI384,"28.297243,76.960091",6875,317,215
1540745605,2018-10-28T16:53:25Z,JAI384,"28.285746,76.94986",7100,319,218
1540745625,2018-10-28T16:53:45Z,JAI384,"28.262054,76.92907",7400,324,217
1540745641,2018-10-28T16:54:01Z,JAI384,"28.243895,76.913132",7625,324,217
1540745655,2018-10-28T16:54:15Z,JAI384,"28.226532,76.89785",7825,325,218
1540745671,2018-10-28T16:54:31Z,JAI384,"28.208038,76.881477",8025,328,218
1540745685,2018-10-28T16:54:45Z,JAI384,"28.190081,76.865524",8025,327,218
1540745700,2018-10-28T16:55:00Z,JAI384,"28.172562,76.849998",8000,326,218
1540745715,2018-10-28T16:55:15Z,JAI384,"28.154234,76.833801",8025,325,218
1540745731,2018-10-28T16:55:31Z,JAI384,"28.136398,76.817993",8250,326,218
1540745745,2018-10-28T16:55:45Z,JAI384,"28.119003,76.802727",8700,329,218
1540745761,2018-10-28T16:56:01Z,JAI384,"28.100002,76.785873",9225,334,218
1540745770,2018-10-28T16:56:10Z,JAI384,"28.08847,76.775681",9525,337,218
1540745786,2018-10-28T16:56:26Z,JAI384,"28.069244,76.758728",10075,340,218
1540745801,2018-10-28T16:56:41Z,JAI384,"28.050797,76.742516",10675,340,217
1540745815,2018-10-28T16:56:55Z,JAI384,"28.032394,76.726349",11225,342,218
1540745830,2018-10-28T16:57:10Z,JAI384,"28.013351,76.709656",11775,346,217
1540745845,2018-10-28T16:57:25Z,JAI384,"27.993759,76.69239",12300,350,218
1540745880,2018-10-28T16:58:00Z,JAI384,"27.948753,76.65274",13450,361,218
1540745916,2018-10-28T16:58:36Z,JAI384,"27.901291,76.611038",14725,371,217
1540745950,2018-10-28T16:59:10Z,JAI384,"27.853271,76.569061",15975,380,217
1540745987,2018-10-28T16:59:47Z,JAI384,"27.803371,76.525536",17200,388,217
1540746021,2018-10-28T17:00:21Z,JAI384,"27.751093,76.485497",18350,394,214
1540746087,2018-10-28T17:01:27Z,JAI384,"27.650208,76.409447",20250,411,213
1540746152,2018-10-28T17:02:32Z,JAI384,"27.54496,76.330421",22350,420,213
1540746217,2018-10-28T17:03:37Z,JAI384,"27.435837,76.254189",24500,427,211
1540746278,2018-10-28T17:04:38Z,JAI384,"27.332449,76.183319",26150,438,211
1540746343,2018-10-28T17:05:43Z,JAI384,"27.219223,76.106079",27925,445,211
1540746408,2018-10-28T17:06:48Z,JAI384,"27.101503,76.025711",29225,458,211
1540746468,2018-10-28T17:07:48Z,JAI384,"26.992197,75.951286",30375,468,211
1540746533,2018-10-28T17:08:53Z,JAI384,"26.871954,75.869682",31725,471,211
1540746572,2018-10-28T17:09:32Z,JAI384,"26.794189,75.825256",32500,478,201
1540746637,2018-10-28T17:10:37Z,JAI384,"26.66011,75.767883",33625,483,200
1540746701,2018-10-28T17:11:41Z,JAI384,"26.524109,75.710052",34825,481,200
1540746763,2018-10-28T17:12:43Z,JAI384,"26.406244,75.659828",37375,439,201
1540746822,2018-10-28T17:13:42Z,JAI384,"26.295589,75.612556",38000,436,200
1540746917,2018-10-28T17:15:17Z,JAI384,"26.108871,75.535049",38000,448,200
1540746977,2018-10-28T17:16:17Z,JAI384,"25.991184,75.486107",38000,449,200
1540747041,2018-10-28T17:17:21Z,JAI384,"25.867449,75.434662",38000,450,200
1540747101,2018-10-28T17:18:21Z,JAI384,"25.748154,75.38559",38000,451,200
1540747165,2018-10-28T17:19:25Z,JAI384,"25.624969,75.334877",38000,451,200
1540747226,2018-10-28T17:20:26Z,JAI384,"25.505127,75.285797",38000,452,200
1540747291,2018-10-28T17:21:31Z,JAI384,"25.374802,75.232445",38000,452,200
1540747353,2018-10-28T17:22:33Z,JAI384,"25.256218,75.184158",38000,453,200
1540747415,2018-10-28T17:23:35Z,JAI384,"25.131737,75.133377",38000,453,200
1540747479,2018-10-28T17:24:39Z,JAI384,"25.006372,75.082436",38000,453,200
1540747540,2018-10-28T17:25:40Z,JAI384,"24.887432,75.034187",38000,451,200
1540747603,2018-10-28T17:26:43Z,JAI384,"24.762543,74.983574",38000,449,200
1540747666,2018-10-28T17:27:46Z,JAI384,"24.638855,74.933525",38000,446,200
1540747728,2018-10-28T17:28:48Z,JAI384,"24.52153,74.886337",38000,444,200
1540747791,2018-10-28T17:29:51Z,JAI384,"24.399628,74.837242",38000,442,200
1540747851,2018-10-28T17:30:51Z,JAI384,"24.283951,74.790901",38000,441,200
1540747911,2018-10-28T17:31:51Z,JAI384,"24.166992,74.743904",38000,440,200
1540747975,2018-10-28T17:32:55Z,JAI384,"24.04541,74.695381",38000,440,200
1540748038,2018-10-28T17:33:58Z,JAI384,"23.924358,74.646919",38000,441,200
1540748098,2018-10-28T17:34:58Z,JAI384,"23.808491,74.60054",38000,443,200
1540748164,2018-10-28T17:36:04Z,JAI384,"23.68071,74.549461",38000,443,200
1540748227,2018-10-28T17:37:07Z,JAI384,"23.558533,74.500732",38000,441,200
1540748289,2018-10-28T17:38:09Z,JAI384,"23.440979,74.453995",38000,441,200
1540748346,2018-10-28T17:39:06Z,JAI384,"23.332672,74.410896",38000,439,200
1540748437,2018-10-28T17:40:37Z,JAI384,"23.158493,74.341888",38000,433,200
1540748499,2018-10-28T17:41:39Z,JAI384,"23.046021,74.297394",38000,430,200
1540748564,2018-10-28T17:42:44Z,JAI384,"22.921417,74.2481",38000,427,200
1540748628,2018-10-28T17:43:48Z,JAI384,"22.805616,74.202522",38000,424,199
1540748688,2018-10-28T17:44:48Z,JAI384,"22.690613,74.157318",38000,423,200
1540748751,2018-10-28T17:45:51Z,JAI384,"22.577911,74.113121",38000,428,200
1540748812,2018-10-28T17:46:52Z,JAI384,"22.459213,74.066681",38000,429,199
1540748876,2018-10-28T17:47:56Z,JAI384,"22.345047,74.021881",38000,428,199
1540748934,2018-10-28T17:48:54Z,JAI384,"22.233395,73.978325",38000,426,199
1540748988,2018-10-28T17:49:48Z,JAI384,"22.136398,73.940483",38000,424,200
1540749076,2018-10-28T17:51:16Z,JAI384,"21.971354,73.876343",38000,423,199
1540749137,2018-10-28T17:52:17Z,JAI384,"21.859488,73.833008",38000,426,199
1540749200,2018-10-28T17:53:20Z,JAI384,"21.740341,73.786575",38000,428,199
1540749262,2018-10-28T17:54:22Z,JAI384,"21.62384,73.74176",38000,428,199
1540749326,2018-10-28T17:55:26Z,JAI384,"21.504181,73.695587",38000,429,199
1540749387,2018-10-28T17:56:27Z,JAI384,"21.391127,73.652039",38000,430,199
1540749449,2018-10-28T17:57:29Z,JAI384,"21.273069,73.606514",38000,430,199
1540749513,2018-10-28T17:58:33Z,JAI384,"21.153755,73.561348",37525,432,197
1540749576,2018-10-28T17:59:36Z,JAI384,"21.032721,73.520607",36525,433,197
1540749639,2018-10-28T18:00:39Z,JAI384,"20.911148,73.479607",34325,437,197
1540749703,2018-10-28T18:01:43Z,JAI384,"20.787296,73.438057",31975,444,197
1540749762,2018-10-28T18:02:42Z,JAI384,"20.669907,73.398773",29650,435,197
1540749825,2018-10-28T18:03:45Z,JAI384,"20.550339,73.358849",27350,422,197
1540749888,2018-10-28T18:04:48Z,JAI384,"20.433966,73.320061",25100,413,197
1540749952,2018-10-28T18:05:52Z,JAI384,"20.315815,73.280754",22800,432,197
1540750015,2018-10-28T18:06:55Z,JAI384,"20.193476,73.240654",20250,430,196
1540750075,2018-10-28T18:07:55Z,JAI384,"20.080074,73.205101",17950,422,196
1540750099,2018-10-28T18:08:19Z,JAI384,"20.03389,73.19381",17075,417,186
1540750105,2018-10-28T18:08:25Z,JAI384,"20.022118,73.192764",16850,416,184
1540750111,2018-10-28T18:08:31Z,JAI384,"20.010805,73.191864",16625,415,184
1540750119,2018-10-28T18:08:39Z,JAI384,"19.998516,73.19072",16400,413,184
1540750151,2018-10-28T18:09:11Z,JAI384,"19.935717,73.185272",15225,404,184
1540750184,2018-10-28T18:09:44Z,JAI384,"19.875338,73.179932",14475,394,184
1540750223,2018-10-28T18:10:23Z,JAI384,"19.803602,73.173637",13775,390,184
1540750234,2018-10-28T18:10:34Z,JAI384,"19.785818,73.172241",13600,387,184
1540750295,2018-10-28T18:11:35Z,JAI384,"19.68013,73.163498",12425,357,184
1540750329,2018-10-28T18:12:09Z,JAI384,"19.625492,73.158707",11925,334,184
1540750340,2018-10-28T18:12:20Z,JAI384,"19.607477,73.157211",11775,326,184
1540750353,2018-10-28T18:12:33Z,JAI384,"19.589401,73.1558",11625,319,184
1540750365,2018-10-28T18:12:45Z,JAI384,"19.571491,73.154411",11475,315,184
1540750392,2018-10-28T18:13:12Z,JAI384,"19.532547,73.161346",10950,305,161
1540750399,2018-10-28T18:13:19Z,JAI384,"19.524765,73.16404",10825,304,161
1540750411,2018-10-28T18:13:31Z,JAI384,"19.508698,73.169632",10550,302,161
1540750422,2018-10-28T18:13:42Z,JAI384,"19.492447,73.175171",10275,300,162
1540750435,2018-10-28T18:13:55Z,JAI384,"19.476479,73.180428",10050,296,162
1540750446,2018-10-28T18:14:06Z,JAI384,"19.461628,73.185226",9750,297,162
1540750474,2018-10-28T18:14:34Z,JAI384,"19.423641,73.197609",9000,295,162
1540750486,2018-10-28T18:14:46Z,JAI384,"19.408127,73.20269",8725,293,163
1540750499,2018-10-28T18:14:59Z,JAI384,"19.392685,73.207596",8475,289,162
1540750511,2018-10-28T18:15:11Z,JAI384,"19.376587,73.212692",8200,286,163
1540750525,2018-10-28T18:15:25Z,JAI384,"19.361343,73.217598",7875,285,163
1540750532,2018-10-28T18:15:32Z,JAI384,"19.352463,73.220444",7725,285,162
1540750573,2018-10-28T18:16:13Z,JAI384,"19.301193,73.236725",7275,261,163
1540750584,2018-10-28T18:16:24Z,JAI384,"19.287895,73.240852",7150,257,163
1540750597,2018-10-28T18:16:37Z,JAI384,"19.273727,73.245209",7000,252,163
1540750604,2018-10-28T18:16:44Z,JAI384,"19.264893,73.247864",6975,247,164
1540750695,2018-10-28T18:18:15Z,JAI384,"19.172333,73.258507",6175,212,184
1540750710,2018-10-28T18:18:30Z,JAI384,"19.157593,73.257324",5900,210,184
1540750721,2018-10-28T18:18:41Z,JAI384,"19.147659,73.255264",5700,215,199
1540750730,2018-10-28T18:18:50Z,JAI384,"19.139008,73.249672",5475,219,220
1540750741,2018-10-28T18:19:01Z,JAI384,"19.132553,73.240997",5250,220,237
1540750752,2018-10-28T18:19:12Z,JAI384,"19.127151,73.231476",5050,220,239
1540750761,2018-10-28T18:19:21Z,JAI384,"19.12175,73.221832",4875,220,239
1540750771,2018-10-28T18:19:31Z,JAI384,"19.116583,73.212639",4700,220,239
1540750781,2018-10-28T18:19:41Z,JAI384,"19.111322,73.203056",4550,220,239
1540750791,2018-10-28T18:19:51Z,JAI384,"19.106249,73.193962",4375,220,239
1540750801,2018-10-28T18:20:01Z,JAI384,"19.101128,73.184776",4225,220,239
1540750813,2018-10-28T18:20:13Z,JAI384,"19.096426,73.174438",4025,218,249
1540750822,2018-10-28T18:20:22Z,JAI384,"19.094006,73.163948",3900,216,259
1540750828,2018-10-28T18:20:28Z,JAI384,"19.093185,73.158501",3825,217,262
1540750837,2018-10-28T18:20:37Z,JAI384,"19.092237,73.14782",3825,214,266
1540750843,2018-10-28T18:20:43Z,JAI384,"19.092003,73.142632",3825,213,267
1540750852,2018-10-28T18:20:52Z,JAI384,"19.091818,73.13224",3825,215,269
1540750863,2018-10-28T18:21:03Z,JAI384,"19.091911,73.121452",3750,215,270
1540750873,2018-10-28T18:21:13Z,JAI384,"19.092051,73.110619",3625,215,270
1540750894,2018-10-28T18:21:34Z,JAI384,"19.091812,73.089493",3375,216,269
1540750903,2018-10-28T18:21:43Z,JAI384,"19.091679,73.078957",3250,216,268
1540750913,2018-10-28T18:21:53Z,JAI384,"19.091492,73.068169",3125,212,269
1540750919,2018-10-28T18:21:59Z,JAI384,"19.091398,73.063026",3075,211,268
1540750928,2018-10-28T18:22:08Z,JAI384,"19.091259,73.052742",2975,207,269
1540750939,2018-10-28T18:22:19Z,JAI384,"19.09108,73.042557",2925,203,268
1540750949,2018-10-28T18:22:29Z,JAI384,"19.090933,73.032562",2850,203,269
1540750959,2018-10-28T18:22:39Z,JAI384,"19.090805,73.022491",2650,200,269
1540750969,2018-10-28T18:22:49Z,JAI384,"19.090668,73.012291",2425,197,269
1540750984,2018-10-28T18:23:04Z,JAI384,"19.090513,72.998558",2175,184,269
1540750994,2018-10-28T18:23:14Z,JAI384,"19.090374,72.989616",2050,179,269
1540751004,2018-10-28T18:23:24Z,JAI384,"19.090256,72.980759",1875,177,269
1540751015,2018-10-28T18:23:35Z,JAI384,"19.090164,72.972267",1750,175,269
1540751025,2018-10-28T18:23:45Z,JAI384,"19.090048,72.963203",1600,175,269
1540751035,2018-10-28T18:23:55Z,JAI384,"19.08989,72.954514",1450,174,269
1540751045,2018-10-28T18:24:05Z,JAI384,"19.089815,72.946075",1275,173,269
1540751056,2018-10-28T18:24:16Z,JAI384,"19.089661,72.937347",1125,170,269
1540751066,2018-10-28T18:24:26Z,JAI384,"19.089569,72.928963",975,166,269
1540751078,2018-10-28T18:24:38Z,JAI384,"19.089386,72.919739",825,164,268
1540751091,2018-10-28T18:24:51Z,JAI384,"19.089304,72.908669",650,162,268
1540751102,2018-10-28T18:25:02Z,JAI384,"19.089165,72.901131",500,162,269
1540751112,2018-10-28T18:25:12Z,JAI384,"19.089066,72.892616",375,161,268
1540751122,2018-10-28T18:25:22Z,JAI384,"19.088974,72.884918",250,160,269
1540751131,2018-10-28T18:25:31Z,JAI384,"19.088884,72.877106",100,159,269
1540751142,2018-10-28T18:25:42Z,JAI384,"19.088745,72.869217",0,148,269
1540751157,2018-10-28T18:25:57Z,JAI384,"19.088652,72.861176",25,83,269
1540751164,2018-10-28T18:26:04Z,JAI384,"19.088608,72.858925",0,52,270
1540751172,2018-10-28T18:26:12Z,JAI384,"19.088711,72.857101",0,42,281
1540751191,2018-10-28T18:26:31Z,JAI384,"19.089525,72.854958",0,31,306
1540751199,2018-10-28T18:26:39Z,JAI384,"19.090002,72.854889",0,30,16
1540751241,2018-10-28T18:27:21Z,JAI384,"19.090279,72.85743",0,29,87
1540751253,2018-10-28T18:27:33Z,JAI384,"19.090294,72.858147",0,31,87
1540751263,2018-10-28T18:27:43Z,JAI384,"19.090302,72.858849",0,34,87
1540751281,2018-10-28T18:28:01Z,JAI384,"19.090324,72.860237",0,17,87
1540751298,2018-10-28T18:28:18Z,JAI384,"19.090351,72.861717",0,18,87
1540751311,2018-10-28T18:28:31Z,JAI384,"19.090359,72.862518",0,22,87
1540751325,2018-10-28T18:28:45Z,JAI384,"19.090405,72.863068",0,20,75
1540751385,2018-10-28T18:29:45Z,JAI384,"19.091421,72.864334",0,29,47
1540751395,2018-10-28T18:29:55Z,JAI384,"19.091801,72.864799",0,31,47
1540751407,2018-10-28T18:30:07Z,JAI384,"19.092283,72.865372",0,15,47
1540751441,2018-10-28T18:30:41Z,JAI384,"19.09383,72.867218",0,28,47
1540751455,2018-10-28T18:30:55Z,JAI384,"19.094238,72.86776",0,22,59
1540751461,2018-10-28T18:31:01Z,JAI384,"19.094261,72.868034",0,23,92
1540751475,2018-10-28T18:31:15Z,JAI384,"19.094122,72.868492",0,16,101
1540751670,2018-10-28T18:34:30Z,JAI384,"19.096043,72.87233",0,10,132
