Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540831133,2018-10-29T16:38:53Z,JAI384,"28.545692,77.073181",1575,166,284
1540831140,2018-10-29T16:39:00Z,JAI384,"28.546829,77.068085",1825,167,282
1540831165,2018-10-29T16:39:25Z,JAI384,"28.536661,77.044319",2400,222,211
1540831171,2018-10-29T16:39:31Z,JAI384,"28.530899,77.041466",2550,233,200
1540831178,2018-10-29T16:39:38Z,JAI384,"28.524536,77.039619",2700,244,191
1540831187,2018-10-29T16:39:47Z,JAI384,"28.51387,77.037773",2900,259,187
1540831195,2018-10-29T16:39:55Z,JAI384,"28.506403,77.036507",3050,268,189
1540831202,2018-10-29T16:40:02Z,JAI384,"28.49523,77.034248",3425,274,190
1540831208,2018-10-29T16:40:08Z,JAI384,"28.487411,77.032379",3700,278,192
1540831214,2018-10-29T16:40:14Z,JAI384,"28.479813,77.030373",4000,280,193
1540831225,2018-10-29T16:40:25Z,JAI384,"28.46851,77.027138",4400,284,194
1540831236,2018-10-29T16:40:36Z,JAI384,"28.4531,77.022186",4975,288,196
1540831253,2018-10-29T16:40:53Z,JAI384,"28.429825,77.01416",6000,287,197
1540831265,2018-10-29T16:41:05Z,JAI384,"28.414927,77.008881",6650,287,197
1540831277,2018-10-29T16:41:17Z,JAI384,"28.399193,77.003227",7350,286,197
1540831289,2018-10-29T16:41:29Z,JAI384,"28.384003,76.997787",7900,289,197
1540831302,2018-10-29T16:41:42Z,JAI384,"28.3694,76.992607",8425,293,197
1540831314,2018-10-29T16:41:54Z,JAI384,"28.352779,76.986855",8975,296,196
1540831324,2018-10-29T16:42:04Z,JAI384,"28.336533,76.981361",9575,297,196
1540831337,2018-10-29T16:42:17Z,JAI384,"28.320892,76.974739",10150,297,203
1540831343,2018-10-29T16:42:23Z,JAI384,"28.31391,76.971024",10400,298,206
1540831351,2018-10-29T16:42:31Z,JAI384,"28.30632,76.966415",10550,305,209
1540831358,2018-10-29T16:42:38Z,JAI384,"28.295149,76.95826",10700,316,215
1540831364,2018-10-29T16:42:44Z,JAI384,"28.288284,76.952362",10800,323,218
1540831370,2018-10-29T16:42:50Z,JAI384,"28.281136,76.945984",10900,330,218
1540831377,2018-10-29T16:42:57Z,JAI384,"28.273727,76.939369",11050,335,218
1540831389,2018-10-29T16:43:09Z,JAI384,"28.259033,76.926323",11475,339,218
1540831401,2018-10-29T16:43:21Z,JAI384,"28.244267,76.913239",12000,341,218
1540831431,2018-10-29T16:43:51Z,JAI384,"28.206161,76.879524",13300,349,218
1540831463,2018-10-29T16:44:23Z,JAI384,"28.163685,76.842094",14900,350,218
1540831497,2018-10-29T16:44:57Z,JAI384,"28.121109,76.804466",16225,363,218
1540831530,2018-10-29T16:45:30Z,JAI384,"28.075516,76.764748",17525,375,217
1540831562,2018-10-29T16:46:02Z,JAI384,"28.029335,76.724205",18800,385,218
1540831627,2018-10-29T16:47:07Z,JAI384,"27.940247,76.645378",21550,389,218
1540831689,2018-10-29T16:48:09Z,JAI384,"27.848852,76.565094",23850,406,217
1540831751,2018-10-29T16:49:11Z,JAI384,"27.755096,76.488556",25975,421,213
1540831811,2018-10-29T16:50:11Z,JAI384,"27.656404,76.414085",27975,431,213
1540831873,2018-10-29T16:51:13Z,JAI384,"27.550777,76.334702",29875,441,213
1540831937,2018-10-29T16:52:17Z,JAI384,"27.438812,76.25605",31650,450,211
1540831998,2018-10-29T16:53:18Z,JAI384,"27.325516,76.178574",33175,458,211
1540832061,2018-10-29T16:54:21Z,JAI384,"27.21698,76.104416",34950,454,211
1540832122,2018-10-29T16:55:22Z,JAI384,"27.104855,76.02803",36550,451,211
1540832186,2018-10-29T16:56:26Z,JAI384,"26.991165,75.950714",37925,447,211
1540832250,2018-10-29T16:57:30Z,JAI384,"26.881683,75.876389",39175,442,211
1540832309,2018-10-29T16:58:29Z,JAI384,"26.769167,75.814644",40000,454,201
1540832375,2018-10-29T16:59:35Z,JAI384,"26.64267,75.760887",40000,457,200
1540832435,2018-10-29T17:00:35Z,JAI384,"26.517504,75.707794",40000,460,200
1540832499,2018-10-29T17:01:39Z,JAI384,"26.392185,75.654816",40000,459,200
1540832563,2018-10-29T17:02:43Z,JAI384,"26.26593,75.601486",40000,459,200
1540832625,2018-10-29T17:03:45Z,JAI384,"26.140549,75.548157",40000,457,201
1540832686,2018-10-29T17:04:46Z,JAI384,"26.024097,75.499207",40000,457,200
1540832745,2018-10-29T17:05:45Z,JAI384,"25.904022,75.449234",40000,455,200
1540832808,2018-10-29T17:06:48Z,JAI384,"25.778908,75.397667",40000,453,200
1540832847,2018-10-29T17:07:27Z,JAI384,"25.703167,75.366577",40000,452,200
1540832936,2018-10-29T17:08:56Z,JAI384,"25.528921,75.295212",40000,451,200
1540832955,2018-10-29T17:09:15Z,JAI384,"25.490517,75.279411",40000,452,200
1540833045,2018-10-29T17:10:45Z,JAI384,"25.315666,75.207947",40000,453,200
1540833108,2018-10-29T17:11:48Z,JAI384,"25.191422,75.157265",40000,454,200
1540833171,2018-10-29T17:12:51Z,JAI384,"25.065445,75.106049",40000,453,200
1540833232,2018-10-29T17:13:52Z,JAI384,"24.946381,75.057579",40000,453,200
1540833296,2018-10-29T17:14:56Z,JAI384,"24.820312,75.006615",40000,452,200
1540833356,2018-10-29T17:15:56Z,JAI384,"24.702209,74.958702",40000,452,200
1540833420,2018-10-29T17:17:00Z,JAI384,"24.577162,74.908157",40000,452,200
