Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540917183,2018-10-30T16:33:03Z,JAI384,"28.536755,77.112984",1725,165,106
1540917192,2018-10-30T16:33:12Z,JAI384,"28.533403,77.121437",2000,175,124
1540917198,2018-10-30T16:33:18Z,JAI384,"28.530396,77.124763",2100,182,140
1540917204,2018-10-30T16:33:24Z,JAI384,"28.526413,77.127136",2200,189,157
1540917228,2018-10-30T16:33:48Z,JAI384,"28.502817,77.12365",2625,226,194
1540917234,2018-10-30T16:33:54Z,JAI384,"28.497557,77.122406",2725,233,191
1540917248,2018-10-30T16:34:08Z,JAI384,"28.480408,77.11927",3025,255,188
1540917257,2018-10-30T16:34:17Z,JAI384,"28.468643,77.117424",3275,266,187
1540917268,2018-10-30T16:34:28Z,JAI384,"28.45594,77.115517",3700,270,187
1540917279,2018-10-30T16:34:39Z,JAI384,"28.443277,77.113632",4150,273,187
1540917288,2018-10-30T16:34:48Z,JAI384,"28.430649,77.111717",4350,286,187
1540917298,2018-10-30T16:34:58Z,JAI384,"28.417116,77.109589",4550,298,188
1540917309,2018-10-30T16:35:09Z,JAI384,"28.402908,77.107277",4900,305,188
1540917318,2018-10-30T16:35:18Z,JAI384,"28.389084,77.105011",5150,315,188
1540917333,2018-10-30T16:35:33Z,JAI384,"28.366047,77.101189",5400,332,188
1540917349,2018-10-30T16:35:49Z,JAI384,"28.342352,77.097206",5675,347,188
1540917363,2018-10-30T16:36:03Z,JAI384,"28.319635,77.090309",6375,343,202
1540917369,2018-10-30T16:36:09Z,JAI384,"28.312225,77.086044",6625,338,208
1540917379,2018-10-30T16:36:19Z,JAI384,"28.300316,77.076202",7050,333,220
1540917388,2018-10-30T16:36:28Z,JAI384,"28.288816,77.063332",7650,327,225
1540917399,2018-10-30T16:36:39Z,JAI384,"28.277971,77.051376",8300,320,224
1540917418,2018-10-30T16:36:58Z,JAI384,"28.256836,77.02832",9150,320,223
1540917434,2018-10-30T16:37:14Z,JAI384,"28.240631,77.010941",9725,322,221
1540917448,2018-10-30T16:37:28Z,JAI384,"28.222574,76.995743",10250,325,213
