Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541003415,2018-10-31T16:30:15Z,JAI384,"28.549301,77.052933",1725,190,281
1541003425,2018-10-31T16:30:25Z,JAI384,"28.55072,77.042542",2150,189,273
1541003449,2018-10-31T16:30:49Z,JAI384,"28.539921,77.021591",2750,212,208
1541003459,2018-10-31T16:30:59Z,JAI384,"28.530748,77.018578",2900,223,186
1541003479,2018-10-31T16:31:19Z,JAI384,"28.507938,77.020142",3300,252,178
1541003500,2018-10-31T16:31:40Z,JAI384,"28.483034,77.017662",3725,274,189
1541003509,2018-10-31T16:31:49Z,JAI384,"28.470882,77.015076",4175,274,191
1541003520,2018-10-31T16:32:00Z,JAI384,"28.458069,77.011734",4750,271,193
1541003529,2018-10-31T16:32:09Z,JAI384,"28.446442,77.008301",5200,273,194
1541003544,2018-10-31T16:32:24Z,JAI384,"28.427263,77.002686",5875,274,194
1541003559,2018-10-31T16:32:39Z,JAI384,"28.408644,76.99752",6450,279,193
1541003575,2018-10-31T16:32:55Z,JAI384,"28.389183,76.992455",6925,287,192
1541003589,2018-10-31T16:33:09Z,JAI384,"28.369949,76.987648",7500,289,192
1541003605,2018-10-31T16:33:25Z,JAI384,"28.350357,76.982735",8125,290,192
1541003620,2018-10-31T16:33:40Z,JAI384,"28.330389,76.977592",8750,292,193
1541003634,2018-10-31T16:33:54Z,JAI384,"28.311768,76.969841",9375,291,205
1541003645,2018-10-31T16:34:05Z,JAI384,"28.299728,76.961815",9825,289,213
1541003651,2018-10-31T16:34:11Z,JAI384,"28.293915,76.956955",10050,288,217
1541003660,2018-10-31T16:34:20Z,JAI384,"28.283661,76.947975",10450,288,217
1541003679,2018-10-31T16:34:39Z,JAI384,"28.264114,76.930916",11175,290,217
1541003691,2018-10-31T16:34:51Z,JAI384,"28.250832,76.919212",11350,302,218
1541003703,2018-10-31T16:35:03Z,JAI384,"28.237198,76.90715",11550,314,218
1541003716,2018-10-31T16:35:16Z,JAI384,"28.223318,76.894768",11750,324,218
1541003727,2018-10-31T16:35:27Z,JAI384,"28.208515,76.881622",11975,334,218
1541003739,2018-10-31T16:35:39Z,JAI384,"28.193758,76.868484",12300,339,218
1541003769,2018-10-31T16:36:09Z,JAI384,"28.156282,76.835419",13300,346,218
1541003804,2018-10-31T16:36:44Z,JAI384,"28.113464,76.797653",14375,355,218
1541003836,2018-10-31T16:37:16Z,JAI384,"28.070162,76.759537",15625,359,217
1541003868,2018-10-31T16:37:48Z,JAI384,"28.02713,76.721703",16800,364,217
1541003903,2018-10-31T16:38:23Z,JAI384,"27.981583,76.68161",17875,372,217
1541003934,2018-10-31T16:38:54Z,JAI384,"27.936604,76.642052",19125,371,217
1541003996,2018-10-31T16:39:56Z,JAI384,"27.854141,76.569626",20925,383,217
1541004058,2018-10-31T16:40:58Z,JAI384,"27.760986,76.492882",22750,397,213
1541004121,2018-10-31T16:42:01Z,JAI384,"27.664366,76.420052",24725,404,213
1541004181,2018-10-31T16:43:01Z,JAI384,"27.568422,76.348007",26425,413,213
1541004246,2018-10-31T16:44:06Z,JAI384,"27.463943,76.273254",28150,422,211
1541004310,2018-10-31T16:45:10Z,JAI384,"27.359215,76.201538",29725,427,211
