Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541090325,2018-11-01T16:38:45Z,JAI384,"28.537546,77.111259",1600,171,103
1541090334,2018-11-01T16:38:54Z,JAI384,"28.535358,77.120522",1900,178,109
1541090345,2018-11-01T16:39:05Z,JAI384,"28.530331,77.127899",2275,177,140
1541090355,2018-11-01T16:39:15Z,JAI384,"28.522568,77.13121",2525,183,171
1541090376,2018-11-01T16:39:36Z,JAI384,"28.505053,77.126122",2925,206,198
1541090390,2018-11-01T16:39:50Z,JAI384,"28.490435,77.122299",3175,225,192
1541090399,2018-11-01T16:39:59Z,JAI384,"28.480473,77.117828",3325,238,208
1541090405,2018-11-01T16:40:05Z,JAI384,"28.476059,77.11441",3450,240,217
1541090411,2018-11-01T16:40:11Z,JAI384,"28.471664,77.110077",3675,241,221
1541090419,2018-11-01T16:40:19Z,JAI384,"28.46315,77.101685",3975,251,220
1541090434,2018-11-01T16:40:34Z,JAI384,"28.449188,77.088898",4400,264,218
1541090445,2018-11-01T16:40:45Z,JAI384,"28.439255,77.080132",4750,271,217
1541090454,2018-11-01T16:40:54Z,JAI384,"28.429138,77.071365",4950,283,217
1541090465,2018-11-01T16:41:05Z,JAI384,"28.418093,77.061821",5125,296,217
1541090481,2018-11-01T16:41:21Z,JAI384,"28.401031,77.047119",5525,307,217
1541090495,2018-11-01T16:41:35Z,JAI384,"28.384048,77.032486",6175,309,217
1541090510,2018-11-01T16:41:50Z,JAI384,"28.367025,77.017662",6800,312,217
1541090526,2018-11-01T16:42:06Z,JAI384,"28.349487,77.002327",7400,316,217
1541090540,2018-11-01T16:42:20Z,JAI384,"28.332064,76.987183",8000,319,217
1541090555,2018-11-01T16:42:35Z,JAI384,"28.314188,76.971779",8625,322,217
1541090570,2018-11-01T16:42:50Z,JAI384,"28.296499,76.956375",9250,323,217
1541090586,2018-11-01T16:43:06Z,JAI384,"28.2789,76.940849",9950,322,218
1541090595,2018-11-01T16:43:15Z,JAI384,"28.266815,76.930122",10450,321,218
1541090610,2018-11-01T16:43:30Z,JAI384,"28.248825,76.914276",10900,328,218
1541090620,2018-11-01T16:43:40Z,JAI384,"28.23654,76.903435",11225,334,218
1541090636,2018-11-01T16:43:56Z,JAI384,"28.218477,76.887497",11700,338,218
1541090650,2018-11-01T16:44:10Z,JAI384,"28.199669,76.871071",12325,338,217
1541090685,2018-11-01T16:44:45Z,JAI384,"28.15605,76.832726",13900,334,217
1541090716,2018-11-01T16:45:16Z,JAI384,"28.119232,76.8004",15225,334,217
1541090750,2018-11-01T16:45:50Z,JAI384,"28.07626,76.762878",16475,343,217
1541090784,2018-11-01T16:46:24Z,JAI384,"28.032454,76.724693",17525,356,217
1541090793,2018-11-01T16:46:33Z,JAI384,"28.020905,76.714622",17800,357,217
1541090850,2018-11-01T16:47:30Z,JAI384,"27.944962,76.648285",20000,359,217
1541090913,2018-11-01T16:48:33Z,JAI384,"27.862381,76.576416",22275,364,217
1541090976,2018-11-01T16:49:36Z,JAI384,"27.77474,76.503296",24050,384,213
1541091016,2018-11-01T16:50:16Z,JAI384,"27.715061,76.458244",25425,388,213
1541091103,2018-11-01T16:51:43Z,JAI384,"27.582853,76.358833",27850,402,213
1541091148,2018-11-01T16:52:28Z,JAI384,"27.506508,76.307709",29025,418,203
1541091154,2018-11-01T16:52:34Z,JAI384,"27.50116,76.30513",29100,419,203
1541091213,2018-11-01T16:53:33Z,JAI384,"27.395508,76.25341",30475,427,203
1541091276,2018-11-01T16:54:36Z,JAI384,"27.276865,76.195312",31900,434,203
1541091338,2018-11-01T16:55:38Z,JAI384,"27.161509,76.139107",33500,429,203
1541091403,2018-11-01T16:56:43Z,JAI384,"27.045872,76.082649",34850,431,203
1541091466,2018-11-01T16:57:46Z,JAI384,"26.92955,76.026115",35950,433,203
1541091528,2018-11-01T16:58:48Z,JAI384,"26.813873,75.969994",36000,433,203
1541091591,2018-11-01T16:59:51Z,JAI384,"26.698919,75.914314",36000,433,203
1541091654,2018-11-01T17:00:54Z,JAI384,"26.583252,75.858421",36000,434,203
1541091717,2018-11-01T17:01:57Z,JAI384,"26.468811,75.803238",36000,437,203
1541091778,2018-11-01T17:02:58Z,JAI384,"26.350615,75.746399",36000,440,203
1541091843,2018-11-01T17:04:03Z,JAI384,"26.232744,75.689888",36000,442,203
1541091904,2018-11-01T17:05:04Z,JAI384,"26.11236,75.632156",36000,442,203
1541091965,2018-11-01T17:06:05Z,JAI384,"25.998596,75.577698",36000,443,203
1541092027,2018-11-01T17:07:07Z,JAI384,"25.882765,75.522659",36000,441,203
1541092045,2018-11-01T17:07:25Z,JAI384,"25.849228,75.506805",36000,441,203
1541092134,2018-11-01T17:08:54Z,JAI384,"25.681091,75.426788",36000,441,203
1541092156,2018-11-01T17:09:16Z,JAI384,"25.64102,75.407822",36000,441,203
1541092244,2018-11-01T17:10:44Z,JAI384,"25.474457,75.329132",36000,440,203
1541092304,2018-11-01T17:11:44Z,JAI384,"25.36116,75.27552",36000,439,203
1541092368,2018-11-01T17:12:48Z,JAI384,"25.241648,75.219139",36000,439,203
1541092429,2018-11-01T17:13:49Z,JAI384,"25.12825,75.165863",36000,440,203
1541092491,2018-11-01T17:14:51Z,JAI384,"25.011168,75.110886",36000,440,203
1541092555,2018-11-01T17:15:55Z,JAI384,"24.891436,75.054756",36000,440,203
1541092618,2018-11-01T17:16:58Z,JAI384,"24.772018,74.999138",36000,439,203
1541092680,2018-11-01T17:18:00Z,JAI384,"24.658264,74.946037",36000,438,203
1541092743,2018-11-01T17:19:03Z,JAI384,"24.539612,74.893188",36000,439,200
1541092803,2018-11-01T17:20:03Z,JAI384,"24.424301,74.846748",36000,437,200
1541092866,2018-11-01T17:21:06Z,JAI384,"24.303406,74.79818",36000,437,200
1541092930,2018-11-01T17:22:10Z,JAI384,"24.18187,74.749451",36000,437,200
1541092991,2018-11-01T17:23:11Z,JAI384,"24.06625,74.703247",36000,436,200
1541093054,2018-11-01T17:24:14Z,JAI384,"23.945526,74.654945",36000,435,200
1541093115,2018-11-01T17:25:15Z,JAI384,"23.831581,74.608414",36000,431,203
1541093179,2018-11-01T17:26:19Z,JAI384,"23.717102,74.549004",36000,430,205
1541093243,2018-11-01T17:27:23Z,JAI384,"23.598959,74.496994",36000,434,200
1541093306,2018-11-01T17:28:26Z,JAI384,"23.477318,74.448341",36000,436,200
