Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541180907,2018-11-02T17:48:27Z,JAI384,"28.536942,77.116203",1725,171,101
1541180918,2018-11-02T17:48:38Z,JAI384,"28.534607,77.125183",2000,173,114
1541180928,2018-11-02T17:48:48Z,JAI384,"28.529114,77.132156",2325,171,146
1541180938,2018-11-02T17:48:58Z,JAI384,"28.522064,77.134644",2600,169,176
1541180958,2018-11-02T17:49:18Z,JAI384,"28.506317,77.130623",3250,173,196
1541180967,2018-11-02T17:49:27Z,JAI384,"28.498764,77.128563",3575,173,191
1541180978,2018-11-02T17:49:38Z,JAI384,"28.490435,77.126663",3925,174,190
1541180988,2018-11-02T17:49:48Z,JAI384,"28.482428,77.124992",4125,183,190
1541180998,2018-11-02T17:49:58Z,JAI384,"28.474003,77.123215",4275,193,190
1541181013,2018-11-02T17:50:13Z,JAI384,"28.460037,77.120468",4525,210,189
1541181023,2018-11-02T17:50:23Z,JAI384,"28.449829,77.118477",4700,223,189
1541181033,2018-11-02T17:50:33Z,JAI384,"28.439413,77.116486",4975,230,189
1541181044,2018-11-02T17:50:44Z,JAI384,"28.428427,77.11438",5175,242,189
1541181059,2018-11-02T17:50:59Z,JAI384,"28.411297,77.111206",5525,257,189
1541181073,2018-11-02T17:51:13Z,JAI384,"28.393328,77.107758",5950,266,189
1541181089,2018-11-02T17:51:29Z,JAI384,"28.374573,77.104057",6500,272,189
1541181103,2018-11-02T17:51:43Z,JAI384,"28.355438,77.100311",6950,281,189
1541181119,2018-11-02T17:51:59Z,JAI384,"28.336161,77.096504",7525,284,189
1541181129,2018-11-02T17:52:09Z,JAI384,"28.323029,77.092758",7850,288,199
1541181138,2018-11-02T17:52:18Z,JAI384,"28.311447,77.086044",8250,288,212
1541181148,2018-11-02T17:52:28Z,JAI384,"28.301102,77.076859",8700,287,221
1541181159,2018-11-02T17:52:39Z,JAI384,"28.291098,77.065971",9125,288,223
1541181179,2018-11-02T17:52:59Z,JAI384,"28.27153,77.044846",9950,290,223
1541181194,2018-11-02T17:53:14Z,JAI384,"28.25679,77.029076",10375,299,223
1541181209,2018-11-02T17:53:29Z,JAI384,"28.240961,77.011841",10650,314,224
1541181224,2018-11-02T17:53:44Z,JAI384,"28.225367,76.994339",10900,328,225
1541181240,2018-11-02T17:54:00Z,JAI384,"28.208725,76.975441",11325,335,224
1541181254,2018-11-02T17:54:14Z,JAI384,"28.191971,76.956589",11850,339,225
1541181268,2018-11-02T17:54:28Z,JAI384,"28.175308,76.938156",12450,340,224
1541181304,2018-11-02T17:55:04Z,JAI384,"28.135475,76.893852",13950,341,225
1541181329,2018-11-02T17:55:29Z,JAI384,"28.106552,76.865738",14975,343,215
1541181339,2018-11-02T17:55:39Z,JAI384,"28.091948,76.855453",15525,343,210
1541181350,2018-11-02T17:55:50Z,JAI384,"28.077393,76.846779",15925,346,206
1541181389,2018-11-02T17:56:29Z,JAI384,"28.020304,76.813873",17325,352,207
1541181420,2018-11-02T17:57:00Z,JAI384,"27.975521,76.788132",18225,362,206
1541181484,2018-11-02T17:58:04Z,JAI384,"27.877155,76.731895",19700,368,206
1541181546,2018-11-02T17:59:06Z,JAI384,"27.782934,76.678337",21575,377,206
1541181605,2018-11-02T18:00:05Z,JAI384,"27.6882,76.624306",23350,386,206
1541181668,2018-11-02T18:01:08Z,JAI384,"27.586391,76.566414",25200,394,206
1541181732,2018-11-02T18:02:12Z,JAI384,"27.483307,76.508118",26925,401,206
1541181796,2018-11-02T18:03:16Z,JAI384,"27.376282,76.447533",28525,407,206
1541181859,2018-11-02T18:04:19Z,JAI384,"27.268951,76.386932",29875,416,206
1541181919,2018-11-02T18:05:19Z,JAI384,"27.163879,76.327827",31175,420,206
1541181981,2018-11-02T18:06:21Z,JAI384,"27.058731,76.2687",32325,425,206
1541182042,2018-11-02T18:07:22Z,JAI384,"26.949417,76.207596",33600,424,206
1541182104,2018-11-02T18:08:24Z,JAI384,"26.83699,76.14463",35050,416,206
1541182167,2018-11-02T18:09:27Z,JAI384,"26.730621,76.085022",36000,415,206
1541182230,2018-11-02T18:10:30Z,JAI384,"26.624155,76.025604",36000,415,206
1541182295,2018-11-02T18:11:35Z,JAI384,"26.513874,75.964493",36000,415,206
1541182356,2018-11-02T18:12:36Z,JAI384,"26.405777,75.904594",36000,417,206
1541182419,2018-11-02T18:13:39Z,JAI384,"26.294724,75.842819",36000,418,206
1541182482,2018-11-02T18:14:42Z,JAI384,"26.184998,75.782082",36000,419,206
1541182542,2018-11-02T18:15:42Z,JAI384,"26.079634,75.723953",36000,421,206
1541182604,2018-11-02T18:16:44Z,JAI384,"25.971634,75.664375",36000,423,206
1541182666,2018-11-02T18:17:46Z,JAI384,"25.864609,75.605995",36000,424,206
1541182727,2018-11-02T18:18:47Z,JAI384,"25.756887,75.547173",36000,425,206
1541182789,2018-11-02T18:19:49Z,JAI384,"25.644058,75.485382",36000,427,206
1541182856,2018-11-02T18:20:56Z,JAI384,"25.525635,75.420837",36000,428,206
1541182917,2018-11-02T18:21:57Z,JAI384,"25.41687,75.361732",36000,428,206
1541182979,2018-11-02T18:22:59Z,JAI384,"25.309158,75.303093",36000,427,206
1541183039,2018-11-02T18:23:59Z,JAI384,"25.201101,75.244736",36000,428,204
1541183099,2018-11-02T18:24:59Z,JAI384,"25.088287,75.196075",36000,431,201
1541183163,2018-11-02T18:26:03Z,JAI384,"24.968431,75.144722",36000,432,201
1541183227,2018-11-02T18:27:07Z,JAI384,"24.848236,75.093231",36000,436,201
1541183289,2018-11-02T18:28:09Z,JAI384,"24.733158,75.04393",36000,437,201
1541183353,2018-11-02T18:29:13Z,JAI384,"24.6129,74.992577",36000,436,201
1541183419,2018-11-02T18:30:19Z,JAI384,"24.487362,74.939301",36000,435,201
1541183483,2018-11-02T18:31:23Z,JAI384,"24.367117,74.888306",36000,435,201
1541183544,2018-11-02T18:32:24Z,JAI384,"24.253189,74.840141",36000,434,201
1541183610,2018-11-02T18:33:30Z,JAI384,"24.127716,74.786934",36000,433,201
1541183671,2018-11-02T18:34:31Z,JAI384,"24.014099,74.738976",36000,433,201
1541183734,2018-11-02T18:35:34Z,JAI384,"23.895077,74.688843",36000,430,201
1541183795,2018-11-02T18:36:35Z,JAI384,"23.782467,74.641525",36000,428,201
1541183860,2018-11-02T18:37:40Z,JAI384,"23.664131,74.591827",36000,428,201
1541183921,2018-11-02T18:38:41Z,JAI384,"23.551476,74.544777",36000,428,201
1541183973,2018-11-02T18:39:33Z,JAI384,"23.452744,74.503487",36000,429,201
1541184064,2018-11-02T18:41:04Z,JAI384,"23.286407,74.434105",36000,430,201
1541184126,2018-11-02T18:42:06Z,JAI384,"23.167557,74.384529",36000,433,201
1541184190,2018-11-02T18:43:10Z,JAI384,"23.048386,74.334923",36000,435,201
1541184253,2018-11-02T18:44:13Z,JAI384,"22.928373,74.285278",36000,439,201
1541184314,2018-11-02T18:45:14Z,JAI384,"22.813293,74.237663",36000,440,201
1541184378,2018-11-02T18:46:18Z,JAI384,"22.691986,74.187675",36000,442,200
1541184441,2018-11-02T18:47:21Z,JAI384,"22.569967,74.137367",36000,443,200
1541184505,2018-11-02T18:48:25Z,JAI384,"22.44841,74.08725",36000,442,200
1541184567,2018-11-02T18:49:27Z,JAI384,"22.327618,74.037628",36000,439,200
1541184631,2018-11-02T18:50:31Z,JAI384,"22.207699,73.988342",36000,437,200
1541184694,2018-11-02T18:51:34Z,JAI384,"22.087082,73.939056",36000,437,200
1541184758,2018-11-02T18:52:38Z,JAI384,"21.966064,73.889702",36000,439,200
1541184820,2018-11-02T18:53:40Z,JAI384,"21.850342,73.842606",36000,441,200
1541184882,2018-11-02T18:54:42Z,JAI384,"21.729904,73.793716",36000,443,200
1541184943,2018-11-02T18:55:43Z,JAI384,"21.612389,73.745674",36000,444,200
1541185007,2018-11-02T18:56:47Z,JAI384,"21.489258,73.695686",36000,446,200
1541185071,2018-11-02T18:57:51Z,JAI384,"21.366028,73.645905",36000,448,200
1541185130,2018-11-02T18:58:50Z,JAI384,"21.248383,73.598457",36000,448,200
1541185193,2018-11-02T18:59:53Z,JAI384,"21.124521,73.551582",36000,448,197
1541185257,2018-11-02T19:00:57Z,JAI384,"20.998627,73.50898",35925,446,197
1541185321,2018-11-02T19:02:01Z,JAI384,"20.873697,73.467026",34550,441,197
1541185381,2018-11-02T19:03:01Z,JAI384,"20.754868,73.427223",31450,450,197
1541185441,2018-11-02T19:04:01Z,JAI384,"20.634325,73.386871",28675,448,197
1541185505,2018-11-02T19:05:05Z,JAI384,"20.509892,73.345375",26200,436,197
1541185566,2018-11-02T19:06:06Z,JAI384,"20.394608,73.307159",23875,426,197
1541185596,2018-11-02T19:06:36Z,JAI384,"20.33951,73.288795",22725,420,197
1541185683,2018-11-02T19:08:03Z,JAI384,"20.181015,73.236923",19550,398,196
1541185744,2018-11-02T19:09:04Z,JAI384,"20.071928,73.202553",17450,398,196
1541185765,2018-11-02T19:09:25Z,JAI384,"20.033569,73.193764",16750,398,186
1541185772,2018-11-02T19:09:32Z,JAI384,"20.02342,73.192863",16575,398,184
1541185778,2018-11-02T19:09:38Z,JAI384,"20.011969,73.191917",16400,398,184
1541185813,2018-11-02T19:10:13Z,JAI384,"19.944283,73.185921",15700,394,184
1541185847,2018-11-02T19:10:47Z,JAI384,"19.883625,73.180679",14975,387,184
1541185882,2018-11-02T19:11:22Z,JAI384,"19.825653,73.175812",14275,382,184
1541185915,2018-11-02T19:11:55Z,JAI384,"19.766373,73.171051",13550,376,184
