Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541267000,2018-11-03T17:43:20Z,JAI384,"28.536713,77.111717",1875,166,105
1541267009,2018-11-03T17:43:29Z,JAI384,"28.533543,77.119125",2275,166,127
1541267015,2018-11-03T17:43:35Z,JAI384,"28.530191,77.122246",2475,166,145
1541267021,2018-11-03T17:43:41Z,JAI384,"28.526653,77.124023",2600,172,159
1541267030,2018-11-03T17:43:50Z,JAI384,"28.518036,77.125031",2725,191,181
1541267039,2018-11-03T17:43:59Z,JAI384,"28.509247,77.122971",2850,208,194
1541267045,2018-11-03T17:44:05Z,JAI384,"28.50412,77.121597",2975,215,192
1541267055,2018-11-03T17:44:15Z,JAI384,"28.494205,77.119659",3225,225,188
1541267066,2018-11-03T17:44:26Z,JAI384,"28.483173,77.117989",3500,236,187
1541267075,2018-11-03T17:44:35Z,JAI384,"28.472031,77.11647",3850,243,186
1541267085,2018-11-03T17:44:45Z,JAI384,"28.460455,77.114975",4175,251,186
1541267095,2018-11-03T17:44:55Z,JAI384,"28.448822,77.113304",4450,262,187
1541267106,2018-11-03T17:45:06Z,JAI384,"28.436249,77.111313",4600,275,188
1541267115,2018-11-03T17:45:15Z,JAI384,"28.422888,77.109215",4775,290,187
1541267125,2018-11-03T17:45:25Z,JAI384,"28.409342,77.107056",4950,301,187
1541267135,2018-11-03T17:45:35Z,JAI384,"28.394989,77.104797",5125,315,188
1541267150,2018-11-03T17:45:50Z,JAI384,"28.372879,77.101364",5600,324,187
1541267165,2018-11-03T17:46:05Z,JAI384,"28.350266,77.097824",6125,331,187
1541267181,2018-11-03T17:46:21Z,JAI384,"28.327194,77.092964",6675,334,196
1541267191,2018-11-03T17:46:31Z,JAI384,"28.313257,77.085892",7125,331,208
1541267201,2018-11-03T17:46:41Z,JAI384,"28.300461,77.076805",7650,328,212
1541267220,2018-11-03T17:47:00Z,JAI384,"28.274385,77.058594",8625,327,211
1541267236,2018-11-03T17:47:16Z,JAI384,"28.254501,77.045006",9225,330,211
1541267251,2018-11-03T17:47:31Z,JAI384,"28.234863,77.03154",9825,333,211
1541267265,2018-11-03T17:47:45Z,JAI384,"28.214676,77.01754",10375,337,211
1541267280,2018-11-03T17:48:00Z,JAI384,"28.194626,77.0037",10950,341,211
1541267296,2018-11-03T17:48:16Z,JAI384,"28.174252,76.989548",11575,343,211
1541267311,2018-11-03T17:48:31Z,JAI384,"28.153427,76.975128",12200,343,211
1541267346,2018-11-03T17:49:06Z,JAI384,"28.10568,76.942047",13650,348,211
1541267382,2018-11-03T17:49:42Z,JAI384,"28.056103,76.907799",14875,362,211
1541267415,2018-11-03T17:50:15Z,JAI384,"28.006805,76.873764",16525,359,211
1541267451,2018-11-03T17:50:51Z,JAI384,"27.956015,76.838646",17975,363,211
1541267486,2018-11-03T17:51:26Z,JAI384,"27.904808,76.80336",19175,371,211
1541267547,2018-11-03T17:52:27Z,JAI384,"27.81514,76.741837",21075,382,211
1541267612,2018-11-03T17:53:32Z,JAI384,"27.71434,76.672752",22900,399,211
1541267676,2018-11-03T17:54:36Z,JAI384,"27.610504,76.602013",25075,403,211
1541267712,2018-11-03T17:55:12Z,JAI384,"27.554829,76.563721",26200,404,211
1541267789,2018-11-03T17:56:29Z,JAI384,"27.429565,76.477951",28400,409,211
1541267880,2018-11-03T17:58:00Z,JAI384,"27.281708,76.377579",30625,416,211
1541267942,2018-11-03T17:59:02Z,JAI384,"27.177336,76.306862",32500,411,211
1541268002,2018-11-03T18:00:02Z,JAI384,"27.081482,76.241959",34100,407,211
1541268067,2018-11-03T18:01:07Z,JAI384,"26.978605,76.17244",35800,398,211
1541268128,2018-11-03T18:02:08Z,JAI384,"26.88089,76.106491",37450,384,211
1541268192,2018-11-03T18:03:12Z,JAI384,"26.78476,76.041718",38450,383,211
1541268253,2018-11-03T18:04:13Z,JAI384,"26.693705,75.980652",39175,383,211
1541268315,2018-11-03T18:05:15Z,JAI384,"26.596344,75.915375",39800,384,211
1541268380,2018-11-03T18:06:20Z,JAI384,"26.499344,75.850487",40000,389,211
1541268442,2018-11-03T18:07:22Z,JAI384,"26.400518,75.784538",40000,396,210
1541268502,2018-11-03T18:08:22Z,JAI384,"26.305506,75.721207",40000,396,210
1541268566,2018-11-03T18:09:26Z,JAI384,"26.20578,75.655067",40000,397,210
1541268628,2018-11-03T18:10:28Z,JAI384,"26.105942,75.588577",40000,398,210
1541268689,2018-11-03T18:11:29Z,JAI384,"26.009857,75.524994",40000,400,210
1541268752,2018-11-03T18:12:32Z,JAI384,"25.910696,75.459488",40000,402,210
1541268767,2018-11-03T18:12:47Z,JAI384,"25.88681,75.444725",40000,406,207
1541268839,2018-11-03T18:13:59Z,JAI384,"25.754047,75.390671",40000,429,188
1541268846,2018-11-03T18:14:06Z,JAI384,"25.740921,75.389709",40000,439,182
1541268855,2018-11-03T18:14:15Z,JAI384,"25.722702,75.389503",39975,441,181
1541268861,2018-11-03T18:14:21Z,JAI384,"25.710382,75.388496",40000,434,185
1541268876,2018-11-03T18:14:36Z,JAI384,"25.681503,75.381721",40000,419,196
1541268885,2018-11-03T18:14:45Z,JAI384,"25.664978,75.374855",40000,411,203
1541268891,2018-11-03T18:14:51Z,JAI384,"25.654587,75.369667",40000,408,204
1541268898,2018-11-03T18:14:58Z,JAI384,"25.644371,75.364243",40000,408,206
1541268904,2018-11-03T18:15:04Z,JAI384,"25.633575,75.358276",40000,407,206
1541268967,2018-11-03T18:16:07Z,JAI384,"25.52692,75.298378",40000,411,205
1541269031,2018-11-03T18:17:11Z,JAI384,"25.41268,75.248367",40000,419,200
1541269094,2018-11-03T18:18:14Z,JAI384,"25.297464,75.200897",40000,419,200
1541269155,2018-11-03T18:19:15Z,JAI384,"25.187181,75.155502",40000,419,200
1541269218,2018-11-03T18:20:18Z,JAI384,"25.071173,75.108345",40000,417,200
1541269279,2018-11-03T18:21:19Z,JAI384,"24.961403,75.063774",40000,416,200
1541269342,2018-11-03T18:22:22Z,JAI384,"24.847046,75.017342",40000,415,200
1541269402,2018-11-03T18:23:22Z,JAI384,"24.738739,74.97345",40000,414,200
1541269466,2018-11-03T18:24:26Z,JAI384,"24.622696,74.926552",40000,415,200
1541269527,2018-11-03T18:25:27Z,JAI384,"24.51329,74.881935",40000,417,200
1541269590,2018-11-03T18:26:30Z,JAI384,"24.397655,74.835449",40000,421,200
1541269655,2018-11-03T18:27:35Z,JAI384,"24.280344,74.788963",40000,422,199
