Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541436710,2018-11-05T16:51:50Z,JAI384,"28.54653,77.067635",1750,162,281
1541436735,2018-11-05T16:52:15Z,JAI384,"28.539734,77.045746",2425,205,222
1541436745,2018-11-05T16:52:25Z,JAI384,"28.53047,77.040283",2675,229,202
1541436756,2018-11-05T16:52:36Z,JAI384,"28.519547,77.036499",2925,249,194
1541436766,2018-11-05T16:52:46Z,JAI384,"28.507566,77.03376",3250,265,190
1541436781,2018-11-05T16:53:01Z,JAI384,"28.488945,77.029236",3925,277,192
1541436790,2018-11-05T16:53:10Z,JAI384,"28.47633,77.025688",4475,280,194
1541436800,2018-11-05T16:53:20Z,JAI384,"28.463791,77.021873",5000,284,195
1541436815,2018-11-05T16:53:35Z,JAI384,"28.444906,77.015396",5850,285,199
1541436826,2018-11-05T16:53:46Z,JAI384,"28.432434,77.009087",6450,284,206
1541436836,2018-11-05T16:53:56Z,JAI384,"28.420395,77.002274",7075,284,206
1541436856,2018-11-05T16:54:16Z,JAI384,"28.396866,76.988594",8125,289,207
1541436871,2018-11-05T16:54:31Z,JAI384,"28.378616,76.978134",8550,307,206
1541436887,2018-11-05T16:54:47Z,JAI384,"28.358276,76.966568",8850,327,206
1541436902,2018-11-05T16:55:02Z,JAI384,"28.336899,76.954529",9350,342,206
1541436917,2018-11-05T16:55:17Z,JAI384,"28.315445,76.942482",9975,349,206
1541436931,2018-11-05T16:55:31Z,JAI384,"28.293333,76.929932",10600,357,206
1541436944,2018-11-05T16:55:44Z,JAI384,"28.273874,76.919106",11300,358,206
1541436961,2018-11-05T16:56:01Z,JAI384,"28.249853,76.905807",12275,356,206
1541436995,2018-11-05T16:56:35Z,JAI384,"28.196737,76.876022",14250,360,206
1541437025,2018-11-05T16:57:05Z,JAI384,"28.15123,76.850578",15750,367,206
1541437061,2018-11-05T16:57:41Z,JAI384,"28.096161,76.819473",17175,384,206
1541437097,2018-11-05T16:58:17Z,JAI384,"28.039764,76.78746",18925,388,206
1541437156,2018-11-05T16:59:16Z,JAI384,"27.941025,76.732018",21475,403,206
1541437221,2018-11-05T17:00:21Z,JAI384,"27.829056,76.670166",23975,418,206
1541437252,2018-11-05T17:00:52Z,JAI384,"27.776091,76.641098",25125,419,206
1541437342,2018-11-05T17:02:22Z,JAI384,"27.618027,76.553513",28250,427,205
1541437364,2018-11-05T17:02:44Z,JAI384,"27.579641,76.531921",28950,426,206
1541437452,2018-11-05T17:04:12Z,JAI384,"27.427973,76.446198",31925,417,206
1541437516,2018-11-05T17:05:16Z,JAI384,"27.318237,76.3853",33775,412,206
1541437575,2018-11-05T17:06:15Z,JAI384,"27.214508,76.328033",35550,404,206
1541437638,2018-11-05T17:07:18Z,JAI384,"27.112701,76.271912",37775,377,206
1541437702,2018-11-05T17:08:22Z,JAI384,"27.013287,76.217018",38575,381,206
1541437765,2018-11-05T17:09:25Z,JAI384,"26.912247,76.161682",39325,385,206
1541437825,2018-11-05T17:10:25Z,JAI384,"26.816648,76.109215",40000,382,206
1541437888,2018-11-05T17:11:28Z,JAI384,"26.716795,76.054756",40000,375,206
1541437919,2018-11-05T17:11:59Z,JAI384,"26.667984,76.02803",40000,374,206
1541437987,2018-11-05T17:13:07Z,JAI384,"26.565674,75.972168",40000,371,206
