Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541522614,2018-11-06T16:43:34Z,JAI384,"28.546234,77.067398",2000,153,280
1541522625,2018-11-06T16:43:45Z,JAI384,"28.54546,77.058861",2375,163,252
1541522636,2018-11-06T16:43:56Z,JAI384,"28.540329,77.051399",2550,187,222
1541522645,2018-11-06T16:44:05Z,JAI384,"28.531906,77.046799",2600,216,198
1541522655,2018-11-06T16:44:15Z,JAI384,"28.521345,77.044106",2550,233,192
1541522661,2018-11-06T16:44:21Z,JAI384,"28.516113,77.042679",2550,238,193
1541522670,2018-11-06T16:44:30Z,JAI384,"28.505173,77.039299",2550,243,195
1541522680,2018-11-06T16:44:40Z,JAI384,"28.493879,77.035484",2575,252,196
1541522690,2018-11-06T16:44:50Z,JAI384,"28.482468,77.03154",2575,259,197
1541522700,2018-11-06T16:45:00Z,JAI384,"28.470976,77.027191",2750,262,200
1541522710,2018-11-06T16:45:10Z,JAI384,"28.4599,77.021187",2975,266,208
1541522720,2018-11-06T16:45:20Z,JAI384,"28.449417,77.013687",3400,267,214
1541522731,2018-11-06T16:45:31Z,JAI384,"28.43918,77.005653",3925,270,214
1541522746,2018-11-06T16:45:46Z,JAI384,"28.423553,76.993668",4650,275,214
1541522756,2018-11-06T16:45:56Z,JAI384,"28.412645,76.985352",5200,276,213
1541522770,2018-11-06T16:46:10Z,JAI384,"28.396408,76.973175",5775,284,213
1541522785,2018-11-06T16:46:25Z,JAI384,"28.380432,76.96106",6025,286,213
1541522800,2018-11-06T16:46:40Z,JAI384,"28.363449,76.948242",6275,286,213
1541522815,2018-11-06T16:46:55Z,JAI384,"28.347382,76.936096",6500,288,213
1541522831,2018-11-06T16:47:11Z,JAI384,"28.330202,76.923035",6750,285,213
1541522845,2018-11-06T16:47:25Z,JAI384,"28.314236,76.910866",7000,284,213
1541522861,2018-11-06T16:47:41Z,JAI384,"28.297485,76.898224",7000,285,213
1541522875,2018-11-06T16:47:55Z,JAI384,"28.281462,76.886093",7000,284,213
1541522890,2018-11-06T16:48:10Z,JAI384,"28.264704,76.873276",7125,285,214
1541522906,2018-11-06T16:48:26Z,JAI384,"28.247572,76.860245",7475,288,213
1541522921,2018-11-06T16:48:41Z,JAI384,"28.230814,76.847481",8125,289,214
1541522937,2018-11-06T16:48:57Z,JAI384,"28.213915,76.83461",8825,291,213
1541522951,2018-11-06T16:49:11Z,JAI384,"28.197006,76.821846",9500,293,213
1541522965,2018-11-06T16:49:25Z,JAI384,"28.180389,76.809219",10100,297,213
1541522982,2018-11-06T16:49:42Z,JAI384,"28.162811,76.795914",10525,309,213
1541522996,2018-11-06T16:49:56Z,JAI384,"28.144272,76.781754",10775,325,213
1541523010,2018-11-06T16:50:10Z,JAI384,"28.126373,76.768181",11175,335,213
1541523026,2018-11-06T16:50:26Z,JAI384,"28.105133,76.752129",11800,339,213
1541523041,2018-11-06T16:50:41Z,JAI384,"28.085541,76.737282",12425,343,213
1541523076,2018-11-06T16:51:16Z,JAI384,"28.039158,76.70369",13875,349,207
1541523111,2018-11-06T16:51:51Z,JAI384,"27.985855,76.675041",15300,361,205
