Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541954907,2018-11-11T16:48:27Z,JAI384,"28.536383,77.116699",1550,184,103
1541954918,2018-11-11T16:48:38Z,JAI384,"28.533554,77.12603",1775,191,115
1541954928,2018-11-11T16:48:48Z,JAI384,"28.527191,77.133636",1950,201,143
1541954943,2018-11-11T16:49:03Z,JAI384,"28.513596,77.136909",2150,216,179
1541954963,2018-11-11T16:49:23Z,JAI384,"28.49263,77.131844",2600,236,192
1541954973,2018-11-11T16:49:33Z,JAI384,"28.481497,77.12941",2825,247,190
1541954988,2018-11-11T16:49:48Z,JAI384,"28.463715,77.125587",3050,268,190
1541954998,2018-11-11T16:49:58Z,JAI384,"28.450836,77.122864",3375,275,190
1541955007,2018-11-11T16:50:07Z,JAI384,"28.438705,77.120323",3750,278,190
1541955018,2018-11-11T16:50:18Z,JAI384,"28.425774,77.117561",3900,291,190
1541955028,2018-11-11T16:50:28Z,JAI384,"28.411926,77.114624",3975,307,190
1541955038,2018-11-11T16:50:38Z,JAI384,"28.397005,77.111473",4050,321,190
1541955048,2018-11-11T16:50:48Z,JAI384,"28.382217,77.108231",4225,332,191
1541955058,2018-11-11T16:50:58Z,JAI384,"28.366699,77.104637",4600,334,191
1541955068,2018-11-11T16:51:08Z,JAI384,"28.35157,77.101189",4975,336,191
1541955078,2018-11-11T16:51:18Z,JAI384,"28.335976,77.09726",5250,337,193
1541955087,2018-11-11T16:51:27Z,JAI384,"28.322243,77.091553",5475,333,201
1541955094,2018-11-11T16:51:34Z,JAI384,"28.314926,77.087265",5650,333,207
1541955104,2018-11-11T16:51:44Z,JAI384,"28.301788,77.077332",6100,332,216
1541955113,2018-11-11T16:51:53Z,JAI384,"28.290121,77.06575",6575,330,222
1541955119,2018-11-11T16:51:59Z,JAI384,"28.284534,77.059776",6800,330,223
1541955128,2018-11-11T16:52:08Z,JAI384,"28.273735,77.047874",7150,334,224
1541955138,2018-11-11T16:52:18Z,JAI384,"28.262375,77.035286",7475,341,224
1541955153,2018-11-11T16:52:33Z,JAI384,"28.245291,77.016479",8200,345,224
1541955168,2018-11-11T16:52:48Z,JAI384,"28.22788,76.997414",8800,351,224
1541955179,2018-11-11T16:52:59Z,JAI384,"28.215637,76.983734",9275,354,224
1541955194,2018-11-11T16:53:14Z,JAI384,"28.19832,76.964401",9950,358,224
1541955202,2018-11-11T16:53:22Z,JAI384,"28.18766,76.952446",10375,360,224
1541955218,2018-11-11T16:53:38Z,JAI384,"28.16922,76.931656",11075,364,224
1541955233,2018-11-11T16:53:53Z,JAI384,"28.150223,76.910316",11800,366,224
1541955248,2018-11-11T16:54:08Z,JAI384,"28.133333,76.891212",12325,371,225
1541955278,2018-11-11T16:54:38Z,JAI384,"28.095533,76.848877",13725,375,224
