Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542128402,2018-11-13T17:00:02Z,JAI384,"28.547834,77.053741",1800,181,276
1542128413,2018-11-13T17:00:13Z,JAI384,"28.547012,77.043846",2125,185,254
1542128422,2018-11-13T17:00:22Z,JAI384,"28.542755,77.035606",2400,190,229
1542128431,2018-11-13T17:00:31Z,JAI384,"28.535126,77.030045",2700,194,203
1542128437,2018-11-13T17:00:37Z,JAI384,"28.53067,77.028687",2850,198,191
1542128462,2018-11-13T17:01:02Z,JAI384,"28.506264,77.032471",3325,222,170
1542128477,2018-11-13T17:01:17Z,JAI384,"28.490295,77.034073",3600,238,172
1542128483,2018-11-13T17:01:23Z,JAI384,"28.48494,77.03566",3650,247,161
1542128491,2018-11-13T17:01:31Z,JAI384,"28.474594,77.041206",3825,259,152
1542128497,2018-11-13T17:01:37Z,JAI384,"28.469421,77.043953",3925,263,156
1542128507,2018-11-13T17:01:47Z,JAI384,"28.456778,77.047226",4125,268,174
1542128527,2018-11-13T17:02:07Z,JAI384,"28.432983,77.040146",4750,261,207
1542128537,2018-11-13T17:02:17Z,JAI384,"28.42219,77.034088",5200,255,205
1542128553,2018-11-13T17:02:33Z,JAI384,"28.40593,77.02562",5750,259,204
1542128567,2018-11-13T17:02:47Z,JAI384,"28.390411,77.017273",6450,262,206
1542128583,2018-11-13T17:03:03Z,JAI384,"28.372879,77.007454",7350,262,206
1542128598,2018-11-13T17:03:18Z,JAI384,"28.356766,76.99826",8075,261,206
1542128610,2018-11-13T17:03:30Z,JAI384,"28.342575,76.990341",8525,268,206
1542128623,2018-11-13T17:03:43Z,JAI384,"28.328852,76.982658",8900,275,206
1542128638,2018-11-13T17:03:58Z,JAI384,"28.310989,76.971642",9025,294,212
1542128648,2018-11-13T17:04:08Z,JAI384,"28.300049,76.962769",9000,301,217
1542128658,2018-11-13T17:04:18Z,JAI384,"28.288559,76.952682",9000,301,217
1542128672,2018-11-13T17:04:32Z,JAI384,"28.272291,76.938278",9000,301,218
1542128688,2018-11-13T17:04:48Z,JAI384,"28.255672,76.92363",9025,304,218
1542128702,2018-11-13T17:05:02Z,JAI384,"28.239029,76.90889",9025,321,218
1542128718,2018-11-13T17:05:18Z,JAI384,"28.220665,76.892395",9000,328,218
