Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542386198,2018-11-16T16:36:38Z,JAI384,"28.549185,77.051964",2050,172,272
1542386220,2018-11-16T16:37:00Z,JAI384,"28.539082,77.034355",2625,184,232
1542386226,2018-11-16T16:37:06Z,JAI384,"28.534054,77.031876",2650,214,200
1542386235,2018-11-16T16:37:15Z,JAI384,"28.524582,77.029587",2700,215,198
1542386246,2018-11-16T16:37:26Z,JAI384,"28.512772,77.027313",2875,215,198
1542386253,2018-11-16T16:37:33Z,JAI384,"28.505127,77.02562",3100,244,190
1542386290,2018-11-16T16:38:10Z,JAI384,"28.464878,77.003601",4200,267,212
1542386296,2018-11-16T16:38:16Z,JAI384,"28.458664,76.999107",4325,270,212
1542386303,2018-11-16T16:38:23Z,JAI384,"28.452169,76.994392",4425,272,212
1542386309,2018-11-16T16:38:29Z,JAI384,"28.446121,76.989967",4525,273,212
1542386316,2018-11-16T16:38:36Z,JAI384,"28.439713,76.985321",4600,273,212
1542386328,2018-11-16T16:38:48Z,JAI384,"28.426846,76.975975",4800,271,212
1542386340,2018-11-16T16:39:00Z,JAI384,"28.414078,76.966621",5000,270,212
1542386352,2018-11-16T16:39:12Z,JAI384,"28.401489,76.957382",5200,273,212
1542386363,2018-11-16T16:39:23Z,JAI384,"28.388067,76.947487",5500,277,212
1542386375,2018-11-16T16:39:35Z,JAI384,"28.375265,76.938118",5975,279,213
1542386387,2018-11-16T16:39:47Z,JAI384,"28.361717,76.928154",6475,281,212
1542386399,2018-11-16T16:39:59Z,JAI384,"28.348591,76.918518",7000,281,212
1542386412,2018-11-16T16:40:12Z,JAI384,"28.335022,76.908737",7525,282,212
1542386424,2018-11-16T16:40:24Z,JAI384,"28.321747,76.899124",8000,283,212
1542386435,2018-11-16T16:40:35Z,JAI384,"28.308184,76.889328",8500,284,212
1542386447,2018-11-16T16:40:47Z,JAI384,"28.295197,76.879898",8975,284,212
1542386461,2018-11-16T16:41:01Z,JAI384,"28.281372,76.869804",9425,287,213
1542386471,2018-11-16T16:41:11Z,JAI384,"28.268143,76.860138",9800,292,212
1542386482,2018-11-16T16:41:22Z,JAI384,"28.253811,76.849686",10225,296,212
1542386495,2018-11-16T16:41:35Z,JAI384,"28.239845,76.839561",10425,307,212
1542386507,2018-11-16T16:41:47Z,JAI384,"28.224901,76.828735",10625,318,212
1542386520,2018-11-16T16:42:00Z,JAI384,"28.209686,76.817726",10825,329,212
1542386531,2018-11-16T16:42:11Z,JAI384,"28.193851,76.806229",11025,340,212
1542386543,2018-11-16T16:42:23Z,JAI384,"28.177696,76.79454",11225,349,212
1542386555,2018-11-16T16:42:35Z,JAI384,"28.161217,76.782639",11400,357,212
1542386567,2018-11-16T16:42:47Z,JAI384,"28.144089,76.770241",11600,366,212
1542386582,2018-11-16T16:43:02Z,JAI384,"28.126303,76.757385",11825,372,212
1542386593,2018-11-16T16:43:13Z,JAI384,"28.108978,76.744835",12075,377,212
1542386623,2018-11-16T16:43:43Z,JAI384,"28.059036,76.714409",12825,392,205
1542386659,2018-11-16T16:44:19Z,JAI384,"28.001816,76.683777",13700,402,205
1542386690,2018-11-16T16:44:50Z,JAI384,"27.944641,76.653198",14725,405,205
1542386724,2018-11-16T16:45:24Z,JAI384,"27.893509,76.625801",15700,406,205
1542386755,2018-11-16T16:45:55Z,JAI384,"27.837168,76.595673",16575,410,205
1542386788,2018-11-16T16:46:28Z,JAI384,"27.77935,76.564827",17450,415,205
1542386821,2018-11-16T16:47:01Z,JAI384,"27.721207,76.533768",18275,420,205
1542386881,2018-11-16T16:48:01Z,JAI384,"27.614229,76.476837",19725,428,205
1542386945,2018-11-16T16:49:05Z,JAI384,"27.497988,76.415039",21000,442,205
1542387008,2018-11-16T16:50:08Z,JAI384,"27.380585,76.352959",22525,446,205
1542387070,2018-11-16T16:51:10Z,JAI384,"27.260422,76.289528",23900,454,205
1542387131,2018-11-16T16:52:11Z,JAI384,"27.145615,76.228897",25275,458,205
1542387195,2018-11-16T16:53:15Z,JAI384,"27.022064,76.16391",26450,467,205
1542387258,2018-11-16T16:54:18Z,JAI384,"26.898535,76.100021",27825,474,201
1542387321,2018-11-16T16:55:21Z,JAI384,"26.768005,76.050056",29400,471,198
1542387384,2018-11-16T16:56:24Z,JAI384,"26.63681,76.001396",31175,463,198
1542387446,2018-11-16T16:57:26Z,JAI384,"26.50914,75.955429",32825,454,197
1542387510,2018-11-16T16:58:30Z,JAI384,"26.391815,75.897858",34125,440,206
1542387571,2018-11-16T16:59:31Z,JAI384,"26.27953,75.835083",34900,445,206
1542387609,2018-11-16T17:00:09Z,JAI384,"26.209534,75.795975",35350,448,206
1542387680,2018-11-16T17:01:20Z,JAI384,"26.076508,75.722641",36000,455,206
1542387731,2018-11-16T17:02:11Z,JAI384,"25.980059,75.669868",36000,455,206
1542387864,2018-11-16T17:04:24Z,JAI384,"25.72673,75.530907",36000,460,206
1542387925,2018-11-16T17:05:25Z,JAI384,"25.611551,75.468246",36000,449,206
1542387988,2018-11-16T17:06:28Z,JAI384,"25.492796,75.403214",36000,449,206
1542388053,2018-11-16T17:07:33Z,JAI384,"25.37265,75.337883",36000,452,206
1542388113,2018-11-16T17:08:33Z,JAI384,"25.258406,75.275887",36000,453,206
1542388174,2018-11-16T17:09:34Z,JAI384,"25.144213,75.214165",36000,454,206
1542388237,2018-11-16T17:10:37Z,JAI384,"25.024109,75.149284",36000,453,206
1542388298,2018-11-16T17:11:38Z,JAI384,"24.909731,75.087563",36000,453,206
1542388359,2018-11-16T17:12:39Z,JAI384,"24.795044,75.02594",36000,455,206
1542388422,2018-11-16T17:13:42Z,JAI384,"24.674606,74.961296",36000,457,206
1542388483,2018-11-16T17:14:43Z,JAI384,"24.557556,74.90097",36000,464,200
