Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542819205,2018-11-21T16:53:25Z,JAI384,"28.549789,77.05455",1600,186,283
1542819232,2018-11-21T16:53:52Z,JAI384,"28.54541,77.028793",2400,199,227
1542819238,2018-11-21T16:53:58Z,JAI384,"28.541199,77.024879",2500,207,214
1542819244,2018-11-21T16:54:04Z,JAI384,"28.53573,77.021805",2550,217,201
1542819250,2018-11-21T16:54:10Z,JAI384,"28.529678,77.019974",2550,225,192
1542819257,2018-11-21T16:54:17Z,JAI384,"28.523348,77.019005",2525,231,185
1542819266,2018-11-21T16:54:26Z,JAI384,"28.513275,77.018494",2500,238,182
1542819273,2018-11-21T16:54:33Z,JAI384,"28.50375,77.017822",2525,240,184
1542819280,2018-11-21T16:54:40Z,JAI384,"28.497046,77.017067",2550,242,185
1542819296,2018-11-21T16:54:56Z,JAI384,"28.479122,77.013893",2700,255,191
1542819307,2018-11-21T16:55:07Z,JAI384,"28.465065,77.010284",3025,267,193
1542819318,2018-11-21T16:55:18Z,JAI384,"28.454041,77.007294",3325,274,193
1542819328,2018-11-21T16:55:28Z,JAI384,"28.438705,77.003387",3850,277,192
1542819337,2018-11-21T16:55:37Z,JAI384,"28.427776,77.000641",4225,280,192
1542819345,2018-11-21T16:55:45Z,JAI384,"28.419863,76.99881",4500,282,192
1542819354,2018-11-21T16:55:54Z,JAI384,"28.408493,76.99604",4900,284,191
1542819371,2018-11-21T16:56:11Z,JAI384,"28.385088,76.990623",5850,282,191
1542819381,2018-11-21T16:56:21Z,JAI384,"28.369678,76.987122",6325,284,191
1542819394,2018-11-21T16:56:34Z,JAI384,"28.353928,76.983368",6525,285,191
1542819406,2018-11-21T16:56:46Z,JAI384,"28.337631,76.979408",6775,296,192
1542819418,2018-11-21T16:56:58Z,JAI384,"28.321451,76.974792",7150,303,196
1542819424,2018-11-21T16:57:04Z,JAI384,"28.31391,76.971451",7300,307,203
1542819430,2018-11-21T16:57:10Z,JAI384,"28.306,76.967049",7375,313,207
1542819436,2018-11-21T16:57:16Z,JAI384,"28.298996,76.962242",7450,319,212
