Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542904615,2018-11-22T16:36:55Z,JAI384,"28.548393,77.056763",1525,182,282
1542904627,2018-11-22T16:37:07Z,JAI384,"28.549896,77.045273",1800,188,275
1542904647,2018-11-22T16:37:27Z,JAI384,"28.539047,77.02668",2200,218,211
1542904657,2018-11-22T16:37:37Z,JAI384,"28.530167,77.0233",2325,230,192
1542904663,2018-11-22T16:37:43Z,JAI384,"28.524307,77.022346",2425,239,185
1542904673,2018-11-22T16:37:53Z,JAI384,"28.513758,77.021431",2475,249,183
1542904682,2018-11-22T16:38:02Z,JAI384,"28.503204,77.020393",2475,257,185
1542904688,2018-11-22T16:38:08Z,JAI384,"28.49267,77.018845",2575,260,188
1542904698,2018-11-22T16:38:18Z,JAI384,"28.480911,77.016693",2800,265,189
1542904705,2018-11-22T16:38:25Z,JAI384,"28.47377,77.015129",3025,265,191
1542904716,2018-11-22T16:38:36Z,JAI384,"28.460266,77.01194",3600,265,192
1542904722,2018-11-22T16:38:42Z,JAI384,"28.452301,77.00988",3875,268,192
1542904728,2018-11-22T16:38:48Z,JAI384,"28.445068,77.008034",4100,271,193
1542904736,2018-11-22T16:38:56Z,JAI384,"28.437458,77.006027",4275,278,193
1542904745,2018-11-22T16:39:05Z,JAI384,"28.422655,77.002045",4450,295,193
1542904752,2018-11-22T16:39:12Z,JAI384,"28.413298,76.999458",4600,302,193
1542904759,2018-11-22T16:39:19Z,JAI384,"28.404964,76.997192",4700,310,193
1542904765,2018-11-22T16:39:25Z,JAI384,"28.396353,76.994881",4775,319,193
1542904776,2018-11-22T16:39:36Z,JAI384,"28.379175,76.990303",4975,333,193
1542904783,2018-11-22T16:39:43Z,JAI384,"28.369675,76.987801",5075,342,193
1542904795,2018-11-22T16:39:55Z,JAI384,"28.350403,76.982788",5325,353,192
1542904808,2018-11-22T16:40:08Z,JAI384,"28.331039,76.977432",5825,355,195
1542904818,2018-11-22T16:40:18Z,JAI384,"28.312746,76.969513",6350,354,204
1542904824,2018-11-22T16:40:24Z,JAI384,"28.304855,76.964935",6625,353,208
1542904830,2018-11-22T16:40:30Z,JAI384,"28.295792,76.958755",6975,351,212
1542904837,2018-11-22T16:40:37Z,JAI384,"28.28714,76.951675",7300,349,217
1542904844,2018-11-22T16:40:44Z,JAI384,"28.279646,76.945007",7600,347,218
1542904851,2018-11-22T16:40:51Z,JAI384,"28.268333,76.934998",8025,348,218
1542904866,2018-11-22T16:41:06Z,JAI384,"28.249107,76.917923",8650,349,218
1542904879,2018-11-22T16:41:19Z,JAI384,"28.233561,76.904083",8975,358,218
1542904890,2018-11-22T16:41:30Z,JAI384,"28.217606,76.889931",9325,364,218
1542904903,2018-11-22T16:41:43Z,JAI384,"28.20195,76.876091",9725,368,218
1542904914,2018-11-22T16:41:54Z,JAI384,"28.18515,76.861252",10125,372,218
1542904927,2018-11-22T16:42:07Z,JAI384,"28.168854,76.846725",10600,373,218
1542904938,2018-11-22T16:42:18Z,JAI384,"28.152054,76.831879",11175,373,218
1542904950,2018-11-22T16:42:30Z,JAI384,"28.135712,76.81736",11700,373,218
1542904962,2018-11-22T16:42:42Z,JAI384,"28.119461,76.80294",12225,374,218
1542904994,2018-11-22T16:43:14Z,JAI384,"28.076523,76.768181",13425,382,210
