Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542991393,2018-11-23T16:43:13Z,JAI384,"28.547647,77.058914",1775,163,277
1542991402,2018-11-23T16:43:22Z,JAI384,"28.546949,77.050835",2075,175,253
1542991409,2018-11-23T16:43:29Z,JAI384,"28.544529,77.04583",2275,182,234
1542991415,2018-11-23T16:43:35Z,JAI384,"28.541199,77.041992",2475,188,221
1542991421,2018-11-23T16:43:41Z,JAI384,"28.535889,77.038246",2725,195,207
1542991431,2018-11-23T16:43:51Z,JAI384,"28.528015,77.035606",3075,202,191
1542991439,2018-11-23T16:43:59Z,JAI384,"28.520142,77.033752",3375,205,192
1542991448,2018-11-23T16:44:08Z,JAI384,"28.511261,77.031433",3650,210,193
1542991459,2018-11-23T16:44:19Z,JAI384,"28.499466,77.027946",3950,223,195
1542991465,2018-11-23T16:44:25Z,JAI384,"28.493546,77.026154",4050,232,195
1542991472,2018-11-23T16:44:32Z,JAI384,"28.486944,77.024071",4150,239,195
1542991478,2018-11-23T16:44:38Z,JAI384,"28.480682,77.022133",4275,249,195
1542991484,2018-11-23T16:44:44Z,JAI384,"28.473862,77.02002",4450,254,195
1542991495,2018-11-23T16:44:55Z,JAI384,"28.459105,77.01545",4750,272,194
1542991501,2018-11-23T16:45:01Z,JAI384,"28.451797,77.013313",4875,280,194
1542991518,2018-11-23T16:45:18Z,JAI384,"28.429079,77.006783",5700,283,193
1542991531,2018-11-23T16:45:31Z,JAI384,"28.413902,77.002525",6300,284,194
1542991544,2018-11-23T16:45:44Z,JAI384,"28.397842,76.997948",6800,289,194
1542991555,2018-11-23T16:45:55Z,JAI384,"28.382668,76.993591",7275,292,194
1542991567,2018-11-23T16:46:07Z,JAI384,"28.366379,76.988968",7875,290,194
1542991579,2018-11-23T16:46:19Z,JAI384,"28.350498,76.984322",8375,293,194
1542991592,2018-11-23T16:46:32Z,JAI384,"28.33461,76.979721",8875,295,194
1542991604,2018-11-23T16:46:44Z,JAI384,"28.31982,76.974197",9325,295,202
1542991613,2018-11-23T16:46:53Z,JAI384,"28.308229,76.967957",9725,294,208
1542991619,2018-11-23T16:46:59Z,JAI384,"28.301056,76.963135",9975,294,212
1542991628,2018-11-23T16:47:08Z,JAI384,"28.291077,76.955055",10300,296,217
1542991636,2018-11-23T16:47:16Z,JAI384,"28.280823,76.946129",10475,305,218
1542991652,2018-11-23T16:47:32Z,JAI384,"28.264006,76.931061",10725,321,218
1542991665,2018-11-23T16:47:45Z,JAI384,"28.249434,76.91803",10925,333,218
1542991675,2018-11-23T16:47:55Z,JAI384,"28.234451,76.904663",11125,343,218
1542991687,2018-11-23T16:48:07Z,JAI384,"28.218895,76.890884",11325,357,218
1542991700,2018-11-23T16:48:20Z,JAI384,"28.203115,76.876884",11675,362,218
1542991711,2018-11-23T16:48:31Z,JAI384,"28.187426,76.863045",12125,365,217
1542991741,2018-11-23T16:49:01Z,JAI384,"28.146646,76.827126",13325,371,217
1542991776,2018-11-23T16:49:36Z,JAI384,"28.101072,76.786896",14675,376,217
1542991807,2018-11-23T16:50:07Z,JAI384,"28.05629,76.747421",16000,383,218
1542991838,2018-11-23T16:50:38Z,JAI384,"28.013275,76.709343",17125,389,218
1542991871,2018-11-23T16:51:11Z,JAI384,"27.966677,76.668465",18325,395,217
1542991934,2018-11-23T16:52:14Z,JAI384,"27.872726,76.585846",20475,409,217
1542991997,2018-11-23T16:53:17Z,JAI384,"27.774508,76.503929",22275,430,210
1542992010,2018-11-23T16:53:30Z,JAI384,"27.752163,76.490669",22650,435,205
1542992076,2018-11-23T16:54:36Z,JAI384,"27.629358,76.427551",24775,440,204
1542992139,2018-11-23T16:55:39Z,JAI384,"27.512146,76.367577",26525,447,204
1542992202,2018-11-23T16:56:42Z,JAI384,"27.392624,76.30658",28025,454,204
1542992266,2018-11-23T16:57:46Z,JAI384,"27.269028,76.243614",29450,459,204
1542992331,2018-11-23T16:58:51Z,JAI384,"27.142776,76.179565",31375,447,204
1542992394,2018-11-23T16:59:54Z,JAI384,"27.024582,76.119606",32950,441,204
1542992457,2018-11-23T17:00:57Z,JAI384,"26.906937,76.060005",34100,441,204
1542992518,2018-11-23T17:01:58Z,JAI384,"26.796478,76.004349",35475,431,204
1542992582,2018-11-23T17:03:02Z,JAI384,"26.681992,75.946465",36000,431,204
1542992643,2018-11-23T17:04:03Z,JAI384,"26.566681,75.888527",36000,432,204
1542992708,2018-11-23T17:05:08Z,JAI384,"26.451828,75.831009",36000,430,204
1542992770,2018-11-23T17:06:10Z,JAI384,"26.335625,75.772758",35975,429,204
1542992833,2018-11-23T17:07:13Z,JAI384,"26.222534,75.716423",35975,427,204
1542992897,2018-11-23T17:08:17Z,JAI384,"26.108311,75.659569",36000,425,204
1542992961,2018-11-23T17:09:21Z,JAI384,"25.994797,75.603195",36000,423,204
1542992978,2018-11-23T17:09:38Z,JAI384,"25.962742,75.587257",36000,423,204
1542993051,2018-11-23T17:10:51Z,JAI384,"25.833281,75.523132",36000,422,204
1542993111,2018-11-23T17:11:51Z,JAI384,"25.724674,75.469444",36000,423,204
1542993293,2018-11-23T17:14:53Z,JAI384,"25.397919,75.308434",35975,424,204
1542993357,2018-11-23T17:15:57Z,JAI384,"25.283478,75.252129",36000,425,203
1542993416,2018-11-23T17:16:56Z,JAI384,"25.174053,75.198616",36000,427,204
1542993480,2018-11-23T17:18:00Z,JAI384,"25.059954,75.14296",36000,426,203
1542993544,2018-11-23T17:19:04Z,JAI384,"24.944736,75.086731",35975,427,203
1542993604,2018-11-23T17:20:04Z,JAI384,"24.83548,75.033722",35975,427,203
1542993668,2018-11-23T17:21:08Z,JAI384,"24.720449,74.977753",36000,427,203
1542993731,2018-11-23T17:22:11Z,JAI384,"24.60565,74.922096",36000,427,203
1542993794,2018-11-23T17:23:14Z,JAI384,"24.487793,74.872284",36000,431,200
1542993855,2018-11-23T17:24:15Z,JAI384,"24.374752,74.82679",36000,430,200
1542993918,2018-11-23T17:25:18Z,JAI384,"24.255295,74.778847",36000,430,200
1542993978,2018-11-23T17:26:18Z,JAI384,"24.142456,74.733681",36000,430,200
1542994043,2018-11-23T17:27:23Z,JAI384,"24.022751,74.685921",36000,430,200
1542994105,2018-11-23T17:28:25Z,JAI384,"23.906021,74.638977",36000,431,200
1542994165,2018-11-23T17:29:25Z,JAI384,"23.792383,74.593544",35975,432,200
1542994228,2018-11-23T17:30:28Z,JAI384,"23.671967,74.545441",36000,434,200
1542994289,2018-11-23T17:31:29Z,JAI384,"23.557846,74.500023",36000,434,200
1542994353,2018-11-23T17:32:33Z,JAI384,"23.435944,74.451401",36000,435,200
1542994369,2018-11-23T17:32:49Z,JAI384,"23.40963,74.440971",36000,435,200
1542994457,2018-11-23T17:34:17Z,JAI384,"23.239622,74.373573",35975,434,200
1542994522,2018-11-23T17:35:22Z,JAI384,"23.116724,74.324951",36000,433,199
1542994588,2018-11-23T17:36:28Z,JAI384,"22.996994,74.277664",36000,431,200
1542994652,2018-11-23T17:37:32Z,JAI384,"22.872976,74.228767",36000,430,199
1542994714,2018-11-23T17:38:34Z,JAI384,"22.75939,74.184113",36000,430,200
