Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543511046,2018-11-29T17:04:06Z,JAI384,"28.48233,77.01326",3300,279,186
1543511054,2018-11-29T17:04:14Z,JAI384,"28.474548,77.0121",3525,281,188
1543511064,2018-11-29T17:04:24Z,JAI384,"28.459122,77.008881",4050,281,191
1543511072,2018-11-29T17:04:32Z,JAI384,"28.451239,77.00705",4350,279,191
1543511078,2018-11-29T17:04:38Z,JAI384,"28.443512,77.005127",4625,279,192
1543511084,2018-11-29T17:04:44Z,JAI384,"28.43611,77.003281",4800,283,192
1543511090,2018-11-29T17:04:50Z,JAI384,"28.427994,77.001274",4900,290,192
1543511096,2018-11-29T17:04:56Z,JAI384,"28.420235,76.999405",5000,296,192
1543511107,2018-11-29T17:05:07Z,JAI384,"28.403522,76.995255",5225,309,192
1543511118,2018-11-29T17:05:18Z,JAI384,"28.38588,76.990974",5450,321,192
1543511132,2018-11-29T17:05:32Z,JAI384,"28.368095,76.986694",5650,333,192
1543511144,2018-11-29T17:05:44Z,JAI384,"28.349709,76.981255",5975,339,197
1543511153,2018-11-29T17:05:53Z,JAI384,"28.33667,76.975708",6300,340,202
1543511160,2018-11-29T17:06:00Z,JAI384,"28.323778,76.968925",6650,341,206
1543511168,2018-11-29T17:06:08Z,JAI384,"28.315306,76.964073",6900,342,207
1543511179,2018-11-29T17:06:19Z,JAI384,"28.299292,76.954918",7350,342,206
1543511193,2018-11-29T17:06:33Z,JAI384,"28.280718,76.944313",7925,342,206
1543511206,2018-11-29T17:06:46Z,JAI384,"28.26384,76.934669",8400,343,206
1543511216,2018-11-29T17:06:56Z,JAI384,"28.246315,76.924652",8900,343,206
1543511227,2018-11-29T17:07:07Z,JAI384,"28.230194,76.915443",9375,345,206
1543511240,2018-11-29T17:07:20Z,JAI384,"28.211821,76.904945",9875,346,206
1543511252,2018-11-29T17:07:32Z,JAI384,"28.194643,76.895142",10275,351,206
1543511264,2018-11-29T17:07:44Z,JAI384,"28.177372,76.885284",10675,355,206
1543511277,2018-11-29T17:07:57Z,JAI384,"28.15889,76.874733",11125,358,206
1543511288,2018-11-29T17:08:08Z,JAI384,"28.141479,76.864876",11600,359,206
1543511300,2018-11-29T17:08:20Z,JAI384,"28.123604,76.854805",12150,359,206
1543511331,2018-11-29T17:08:51Z,JAI384,"28.078541,76.829384",13375,363,206
