Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543596000,2018-11-30T16:40:00Z,JAI384,"28.550907,77.0448",1750,195,280
1543596025,2018-11-30T16:40:25Z,JAI384,"28.542852,77.021973",2525,216,222
1543596034,2018-11-30T16:40:34Z,JAI384,"28.534698,77.01712",2675,232,200
1543596042,2018-11-30T16:40:42Z,JAI384,"28.524948,77.014847",2825,247,186
1543596050,2018-11-30T16:40:50Z,JAI384,"28.518082,77.014526",2975,254,181
1543596060,2018-11-30T16:41:00Z,JAI384,"28.506868,77.014214",3200,264,181
1543596068,2018-11-30T16:41:08Z,JAI384,"28.495743,77.013405",3425,272,184
1543596075,2018-11-30T16:41:15Z,JAI384,"28.487875,77.012489",3675,276,186
1543596081,2018-11-30T16:41:21Z,JAI384,"28.479961,77.011307",3925,276,188
1543596093,2018-11-30T16:41:33Z,JAI384,"28.464935,77.008507",4550,275,190
1543596099,2018-11-30T16:41:39Z,JAI384,"28.457523,77.006943",4850,275,190
1543596115,2018-11-30T16:41:55Z,JAI384,"28.434769,77.001114",5700,274,199
1543596121,2018-11-30T16:42:01Z,JAI384,"28.427811,76.997627",5975,271,205
1543596127,2018-11-30T16:42:07Z,JAI384,"28.420885,76.993805",6250,273,206
1543596133,2018-11-30T16:42:13Z,JAI384,"28.414261,76.989708",6425,277,209
1543596139,2018-11-30T16:42:19Z,JAI384,"28.407711,76.985184",6600,280,213
1543596154,2018-11-30T16:42:34Z,JAI384,"28.390814,76.972588",7100,288,213
1543596167,2018-11-30T16:42:47Z,JAI384,"28.377127,76.962349",7575,293,213
1543596179,2018-11-30T16:42:59Z,JAI384,"28.363861,76.952309",7925,301,213
1543596192,2018-11-30T16:43:12Z,JAI384,"28.348984,76.94101",8125,314,213
1543596202,2018-11-30T16:43:22Z,JAI384,"28.334747,76.930122",8325,327,213
1543596215,2018-11-30T16:43:35Z,JAI384,"28.319092,76.918243",8550,338,213
1543596226,2018-11-30T16:43:46Z,JAI384,"28.303017,76.905968",8725,350,214
1543596239,2018-11-30T16:43:59Z,JAI384,"28.286444,76.893311",8950,359,214
1543596250,2018-11-30T16:44:10Z,JAI384,"28.269451,76.880333",9300,364,214
1543596264,2018-11-30T16:44:24Z,JAI384,"28.252808,76.867638",9700,368,214
1543596275,2018-11-30T16:44:35Z,JAI384,"28.235422,76.854317",10050,372,214
1543596287,2018-11-30T16:44:47Z,JAI384,"28.218018,76.841019",10450,375,214
1543596301,2018-11-30T16:45:01Z,JAI384,"28.200577,76.827713",10825,379,214
1543596312,2018-11-30T16:45:12Z,JAI384,"28.182911,76.814148",11275,381,214
1543596322,2018-11-30T16:45:22Z,JAI384,"28.165421,76.800774",11725,383,214
1543596335,2018-11-30T16:45:35Z,JAI384,"28.147858,76.787323",12175,385,214
1543596367,2018-11-30T16:46:07Z,JAI384,"28.097813,76.749084",13275,396,214
1543596400,2018-11-30T16:46:40Z,JAI384,"28.047491,76.710632",14275,406,214
1543596434,2018-11-30T16:47:14Z,JAI384,"27.992844,76.674904",15800,406,205
1543596467,2018-11-30T16:47:47Z,JAI384,"27.936464,76.644058",17100,409,205
