Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543944162,2018-12-04T17:22:42Z,JAI384,"28.546967,77.064072",1300,180,281
1543944169,2018-12-04T17:22:49Z,JAI384,"28.548019,77.058105",1525,181,281
1543944181,2018-12-04T17:23:01Z,JAI384,"28.549667,77.046272",1925,188,273
1543944201,2018-12-04T17:23:21Z,JAI384,"28.540525,77.026871",2275,220,220
1543944208,2018-12-04T17:23:28Z,JAI384,"28.535339,77.023453",2375,229,206
1543944217,2018-12-04T17:23:37Z,JAI384,"28.525177,77.020866",2550,243,185
1543944237,2018-12-04T17:23:57Z,JAI384,"28.500164,77.020729",3075,266,183
1543944244,2018-12-04T17:24:04Z,JAI384,"28.492401,77.02002",3350,267,185
1543944250,2018-12-04T17:24:10Z,JAI384,"28.485361,77.019005",3600,267,187
1543944262,2018-12-04T17:24:22Z,JAI384,"28.470566,77.016006",4150,268,191
1543944270,2018-12-04T17:24:30Z,JAI384,"28.462738,77.014107",4450,269,192
1543944279,2018-12-04T17:24:39Z,JAI384,"28.448725,77.010284",5000,268,194
1543944291,2018-12-04T17:24:51Z,JAI384,"28.433899,77.005974",5400,276,194
1543944306,2018-12-04T17:25:06Z,JAI384,"28.417969,77.001434",5600,291,193
1543944317,2018-12-04T17:25:17Z,JAI384,"28.402039,76.997101",5825,304,193
1543944329,2018-12-04T17:25:29Z,JAI384,"28.384827,76.992554",6075,316,192
1543944339,2018-12-04T17:25:39Z,JAI384,"28.368851,76.988487",6500,319,192
1543944354,2018-12-04T17:25:54Z,JAI384,"28.349899,76.983681",6950,324,192
1543944365,2018-12-04T17:26:05Z,JAI384,"28.332344,76.979103",7400,327,192
1543944376,2018-12-04T17:26:16Z,JAI384,"28.314886,76.97345",7900,327,199
1543944382,2018-12-04T17:26:22Z,JAI384,"28.306181,76.969246",8125,328,203
1543944389,2018-12-04T17:26:29Z,JAI384,"28.298313,76.965042",8350,329,205
1543944396,2018-12-04T17:26:36Z,JAI384,"28.285652,76.957611",8700,331,207
1543944403,2018-12-04T17:26:43Z,JAI384,"28.277298,76.952728",8875,333,207
1543944415,2018-12-04T17:26:55Z,JAI384,"28.260681,76.943222",9000,334,206
1543944426,2018-12-04T17:27:06Z,JAI384,"28.244019,76.933769",9000,334,206
1543944439,2018-12-04T17:27:19Z,JAI384,"28.227219,76.924316",9025,334,206
1543944450,2018-12-04T17:27:30Z,JAI384,"28.211288,76.915337",9125,334,206
1543944464,2018-12-04T17:27:44Z,JAI384,"28.193619,76.905373",9450,334,206
1543944475,2018-12-04T17:27:55Z,JAI384,"28.177322,76.896217",9925,336,206
1543944486,2018-12-04T17:28:06Z,JAI384,"28.160156,76.886551",10300,341,206
1543944501,2018-12-04T17:28:21Z,JAI384,"28.142736,76.876617",10725,343,206
1543944513,2018-12-04T17:28:33Z,JAI384,"28.125326,76.866707",11075,348,206
1543944525,2018-12-04T17:28:45Z,JAI384,"28.108109,76.856865",11500,351,206
1543944538,2018-12-04T17:28:58Z,JAI384,"28.090458,76.846779",11950,353,206
1543944547,2018-12-04T17:29:07Z,JAI384,"28.074371,76.837585",12375,354,206
1543944580,2018-12-04T17:29:40Z,JAI384,"28.024214,76.808922",13550,360,206
1543944615,2018-12-04T17:30:15Z,JAI384,"27.974264,76.780434",14750,366,206
1543944644,2018-12-04T17:30:44Z,JAI384,"27.928116,76.754166",15650,375,206
1543944676,2018-12-04T17:31:16Z,JAI384,"27.876343,76.724678",16925,376,206
