Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544028671,2018-12-05T16:51:11Z,JAI384,"28.488667,77.010124",3825,269,181
1544028679,2018-12-05T16:51:19Z,JAI384,"28.477478,77.008827",4275,266,186
1544028690,2018-12-05T16:51:30Z,JAI384,"28.46315,77.006287",4850,266,189
1544028697,2018-12-05T16:51:37Z,JAI384,"28.455893,77.004791",5175,264,191
1544028710,2018-12-05T16:51:50Z,JAI384,"28.441223,77.001328",5775,265,191
1544028720,2018-12-05T16:52:00Z,JAI384,"28.426712,76.997841",6350,266,191
1544028733,2018-12-05T16:52:13Z,JAI384,"28.41156,76.994194",6825,273,192
1544028744,2018-12-05T16:52:24Z,JAI384,"28.396679,76.990784",7025,287,191
1544028757,2018-12-05T16:52:37Z,JAI384,"28.380066,76.987167",7250,301,190
1544028769,2018-12-05T16:52:49Z,JAI384,"28.362741,76.983459",7500,314,190
1544028782,2018-12-05T16:53:02Z,JAI384,"28.345139,76.979828",7750,324,190
1544028792,2018-12-05T16:53:12Z,JAI384,"28.32756,76.975494",7975,332,194
1544028802,2018-12-05T16:53:22Z,JAI384,"28.313955,76.970001",8125,335,202
1544028808,2018-12-05T16:53:28Z,JAI384,"28.305817,76.965569",8250,336,206
1544028816,2018-12-05T16:53:36Z,JAI384,"28.297165,76.960548",8350,338,207
1544028834,2018-12-05T16:53:54Z,JAI384,"28.272013,76.946144",8675,343,206
1544028846,2018-12-05T16:54:06Z,JAI384,"28.254456,76.936096",9150,345,206
1544028856,2018-12-05T16:54:16Z,JAI384,"28.23719,76.926216",9725,345,206
1544028872,2018-12-05T16:54:32Z,JAI384,"28.215637,76.913994",10350,347,206
1544028884,2018-12-05T16:54:44Z,JAI384,"28.199295,76.904617",10850,347,206
1544028895,2018-12-05T16:54:55Z,JAI384,"28.180801,76.894051",11375,349,206
1544028907,2018-12-05T16:55:07Z,JAI384,"28.163635,76.884277",11850,351,206
1544028921,2018-12-05T16:55:21Z,JAI384,"28.145645,76.873978",12350,354,206
1544028952,2018-12-05T16:55:52Z,JAI384,"28.096882,76.84613",13625,363,206
1544028986,2018-12-05T16:56:26Z,JAI384,"28.046722,76.817459",15050,368,206
1544029015,2018-12-05T16:56:55Z,JAI384,"27.999847,76.79084",16300,374,206
1544029050,2018-12-05T16:57:30Z,JAI384,"27.947617,76.761108",17575,381,206
1544029083,2018-12-05T16:58:03Z,JAI384,"27.894836,76.731209",18875,386,206
1544029144,2018-12-05T16:59:04Z,JAI384,"27.792664,76.673317",21075,398,206
1544029208,2018-12-05T17:00:08Z,JAI384,"27.687286,76.613571",23250,403,206
1544029270,2018-12-05T17:01:10Z,JAI384,"27.585663,76.556465",25100,407,206
1544029332,2018-12-05T17:02:12Z,JAI384,"27.481155,76.497597",27350,396,206
1544029394,2018-12-05T17:03:14Z,JAI384,"27.380676,76.440796",28975,398,206
1544029456,2018-12-05T17:04:16Z,JAI384,"27.275345,76.381775",30350,404,206
1544029516,2018-12-05T17:05:16Z,JAI384,"27.172943,76.324615",31425,411,206
1544029579,2018-12-05T17:06:19Z,JAI384,"27.063982,76.263603",32200,424,206
1544029641,2018-12-05T17:07:21Z,JAI384,"26.956491,76.203812",33125,430,206
1544029701,2018-12-05T17:08:21Z,JAI384,"26.850958,76.145081",33975,418,206
1544029762,2018-12-05T17:09:22Z,JAI384,"26.739761,76.083435",34000,434,206
1544029825,2018-12-05T17:10:25Z,JAI384,"26.627335,76.021194",34000,439,206
1544029889,2018-12-05T17:11:29Z,JAI384,"26.512939,75.957764",33975,442,206
1544029951,2018-12-05T17:12:31Z,JAI384,"26.396759,75.893448",34000,445,206
1544030012,2018-12-05T17:13:32Z,JAI384,"26.283417,75.831215",34000,447,206
1544030075,2018-12-05T17:14:35Z,JAI384,"26.165222,75.766228",34000,449,206
1544030101,2018-12-05T17:15:01Z,JAI384,"26.115829,75.739174",34000,451,206
1544030264,2018-12-05T17:17:44Z,JAI384,"25.811493,75.573189",34000,457,206
1544030380,2018-12-05T17:19:40Z,JAI384,"25.586929,75.451103",34000,455,206
1544030441,2018-12-05T17:20:41Z,JAI384,"25.4725,75.389015",34000,455,206
1544030503,2018-12-05T17:21:43Z,JAI384,"25.352783,75.324303",33975,455,206
1544030564,2018-12-05T17:22:44Z,JAI384,"25.238297,75.262718",34000,454,206
1544030627,2018-12-05T17:23:47Z,JAI384,"25.119122,75.198563",33975,455,206
1544030688,2018-12-05T17:24:48Z,JAI384,"25.003532,75.136276",34000,457,206
1544030751,2018-12-05T17:25:51Z,JAI384,"24.883196,75.07196",33975,457,205
1544030814,2018-12-05T17:26:54Z,JAI384,"24.762955,75.007629",34000,456,206
1544030874,2018-12-05T17:27:54Z,JAI384,"24.64764,74.946037",34000,457,206
