Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544289517,2018-12-08T17:18:37Z,JAI384,"28.54985,77.052292",1625,185,282
1544289527,2018-12-08T17:18:47Z,JAI384,"28.55072,77.042839",1950,190,270
1544289548,2018-12-08T17:19:08Z,JAI384,"28.54048,77.027298",2700,191,209
1544289563,2018-12-08T17:19:23Z,JAI384,"28.526779,77.024673",3300,195,184
1544289577,2018-12-08T17:19:37Z,JAI384,"28.513321,77.02272",3775,198,190
1544289586,2018-12-08T17:19:46Z,JAI384,"28.50482,77.020569",4025,204,192
1544289597,2018-12-08T17:19:57Z,JAI384,"28.494141,77.017754",4200,217,193
1544289607,2018-12-08T17:20:07Z,JAI384,"28.484104,77.015076",4350,230,193
1544289618,2018-12-08T17:20:18Z,JAI384,"28.473633,77.01226",4550,242,193
1544289628,2018-12-08T17:20:28Z,JAI384,"28.46196,77.009247",4725,255,192
1544289638,2018-12-08T17:20:38Z,JAI384,"28.449966,77.006241",4925,269,192
1544289647,2018-12-08T17:20:47Z,JAI384,"28.437086,77.00312",5250,274,192
1544289662,2018-12-08T17:21:02Z,JAI384,"28.418512,76.99865",5850,279,191
1544289677,2018-12-08T17:21:17Z,JAI384,"28.399933,76.994247",6400,284,191
1544289692,2018-12-08T17:21:32Z,JAI384,"28.379362,76.989388",6925,288,191
1544289707,2018-12-08T17:21:47Z,JAI384,"28.359375,76.984634",7125,289,191
1544289723,2018-12-08T17:22:03Z,JAI384,"28.339554,76.979828",7425,289,192
1544289738,2018-12-08T17:22:18Z,JAI384,"28.320099,76.974121",7675,289,198
1544289748,2018-12-08T17:22:28Z,JAI384,"28.307968,76.967995",7850,287,206
1544289757,2018-12-08T17:22:37Z,JAI384,"28.296965,76.960197",7975,286,213
1544289767,2018-12-08T17:22:47Z,JAI384,"28.286489,76.951042",8000,284,218
1544289787,2018-12-08T17:23:07Z,JAI384,"28.266449,76.933243",8000,282,217
1544289803,2018-12-08T17:23:23Z,JAI384,"28.250086,76.918732",7975,281,218
1544289818,2018-12-08T17:23:38Z,JAI384,"28.234957,76.905266",7975,279,218
1544289832,2018-12-08T17:23:52Z,JAI384,"28.219501,76.891533",8025,281,218
1544289848,2018-12-08T17:24:08Z,JAI384,"28.20401,76.877785",8300,286,218
1544289862,2018-12-08T17:24:22Z,JAI384,"28.188917,76.864441",8900,285,218
1544289878,2018-12-08T17:24:38Z,JAI384,"28.172104,76.849731",9625,287,217
1544289892,2018-12-08T17:24:52Z,JAI384,"28.157272,76.836533",10275,289,218
1544289909,2018-12-08T17:25:09Z,JAI384,"28.140198,76.821266",10625,306,218
1544289924,2018-12-08T17:25:24Z,JAI384,"28.122858,76.805847",10875,323,218
1544289938,2018-12-08T17:25:38Z,JAI384,"28.104191,76.789368",11125,341,218
1544289953,2018-12-08T17:25:53Z,JAI384,"28.085012,76.772408",11425,357,217
1544289968,2018-12-08T17:26:08Z,JAI384,"28.064995,76.754852",12125,359,217
1544290003,2018-12-08T17:26:43Z,JAI384,"28.018953,76.714409",13800,363,217
1544290034,2018-12-08T17:27:14Z,JAI384,"27.976913,76.67749",15125,374,217
1544290074,2018-12-08T17:27:54Z,JAI384,"27.92189,76.62912",16650,389,217
1544290082,2018-12-08T17:28:02Z,JAI384,"27.909464,76.618179",17050,391,217
1544290142,2018-12-08T17:29:02Z,JAI384,"27.820908,76.552788",19800,399,204
1544290204,2018-12-08T17:30:04Z,JAI384,"27.712463,76.496193",21975,417,204
1544290264,2018-12-08T17:31:04Z,JAI384,"27.604706,76.440125",23925,429,204
1544290327,2018-12-08T17:32:07Z,JAI384,"27.489349,76.380219",26050,433,204
1544290391,2018-12-08T17:33:11Z,JAI384,"27.374496,76.320518",27750,441,204
1544290449,2018-12-08T17:34:09Z,JAI384,"27.262247,76.26239",29275,446,204
1544290514,2018-12-08T17:35:14Z,JAI384,"27.142822,76.201019",31450,431,204
1544290577,2018-12-08T17:36:17Z,JAI384,"27.027531,76.141487",32600,438,204
1544290639,2018-12-08T17:37:19Z,JAI384,"26.915758,76.084229",34050,434,204
1544290701,2018-12-08T17:38:21Z,JAI384,"26.802933,76.025963",35525,427,205
1544290766,2018-12-08T17:39:26Z,JAI384,"26.69026,75.968292",37125,412,204
1544290828,2018-12-08T17:40:28Z,JAI384,"26.581234,75.912361",38000,409,204
1544290890,2018-12-08T17:41:30Z,JAI384,"26.47612,75.858749",37975,412,204
1544290952,2018-12-08T17:42:32Z,JAI384,"26.36618,75.802971",38000,413,204
1544291017,2018-12-08T17:43:37Z,JAI384,"26.251419,75.744667",38000,414,204
1544291080,2018-12-08T17:44:40Z,JAI384,"26.142433,75.689407",38000,416,204
1544291140,2018-12-08T17:45:40Z,JAI384,"26.039291,75.637138",38000,418,204
1544291203,2018-12-08T17:46:43Z,JAI384,"25.923544,75.579071",37975,419,204
1544291266,2018-12-08T17:47:46Z,JAI384,"25.815823,75.5252",38000,417,204
1544291321,2018-12-08T17:48:41Z,JAI384,"25.717318,75.475197",38000,418,204
1544291409,2018-12-08T17:50:09Z,JAI384,"25.560974,75.396828",38000,418,204
1544291424,2018-12-08T17:50:24Z,JAI384,"25.533554,75.383148",38000,419,204
1544291511,2018-12-08T17:51:51Z,JAI384,"25.379396,75.305893",37975,421,204
1544291576,2018-12-08T17:52:56Z,JAI384,"25.265259,75.24897",38000,422,204
1544291636,2018-12-08T17:53:56Z,JAI384,"25.15683,75.194885",38000,426,204
1544291697,2018-12-08T17:54:57Z,JAI384,"25.047338,75.140785",38000,428,204
1544291757,2018-12-08T17:55:57Z,JAI384,"24.937569,75.086372",38000,430,204
1544291821,2018-12-08T17:57:01Z,JAI384,"24.821823,75.02935",37975,430,204
1544291881,2018-12-08T17:58:01Z,JAI384,"24.711418,74.974586",38000,429,204
1544291946,2018-12-08T17:59:06Z,JAI384,"24.596191,74.917755",38000,429,204
1544292007,2018-12-08T18:00:07Z,JAI384,"24.481247,74.869537",38000,433,200
1544292066,2018-12-08T18:01:06Z,JAI384,"24.367584,74.823967",38000,433,200
1544292128,2018-12-08T18:02:08Z,JAI384,"24.252924,74.77787",38000,433,200
1544292191,2018-12-08T18:03:11Z,JAI384,"24.132727,74.729836",38000,432,200
1544292255,2018-12-08T18:04:15Z,JAI384,"24.013041,74.682053",38000,432,200
1544292315,2018-12-08T18:05:15Z,JAI384,"23.899872,74.636551",38000,432,200
1544292378,2018-12-08T18:06:18Z,JAI384,"23.780411,74.588928",38000,433,200
1544292439,2018-12-08T18:07:19Z,JAI384,"23.665297,74.543167",37975,433,200
1544292502,2018-12-08T18:08:22Z,JAI384,"23.548309,74.496269",37975,435,200
1544292564,2018-12-08T18:09:24Z,JAI384,"23.432281,74.449898",38000,436,200
1544292608,2018-12-08T18:10:08Z,JAI384,"23.346041,74.415794",38000,437,200
1544292696,2018-12-08T18:11:36Z,JAI384,"23.178726,74.34948",37975,439,200
1544292757,2018-12-08T18:12:37Z,JAI384,"23.061281,74.303078",38000,442,200
1544292819,2018-12-08T18:13:39Z,JAI384,"22.94545,74.257538",38000,435,200
