Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544373836,2018-12-09T16:43:56Z,JAI384,"28.552488,77.036133",1825,205,281
1544373861,2018-12-09T16:44:21Z,JAI384,"28.542847,77.013",2475,215,215
1544373867,2018-12-09T16:44:27Z,JAI384,"28.538244,77.010872",2625,217,200
1544373891,2018-12-09T16:44:51Z,JAI384,"28.513479,77.011147",3700,209,178
1544373912,2018-12-09T16:45:12Z,JAI384,"28.493591,77.00856",4150,223,192
1544373922,2018-12-09T16:45:22Z,JAI384,"28.483337,77.005127",4350,232,197
1544373932,2018-12-09T16:45:32Z,JAI384,"28.473038,77.001328",4700,234,197
1544373947,2018-12-09T16:45:47Z,JAI384,"28.45665,76.996361",5125,244,193
1544373962,2018-12-09T16:46:02Z,JAI384,"28.439554,76.992729",5525,255,189
1544373976,2018-12-09T16:46:16Z,JAI384,"28.421444,76.990143",6000,262,186
1544373992,2018-12-09T16:46:32Z,JAI384,"28.403091,76.987701",6500,268,186
1544374007,2018-12-09T16:46:47Z,JAI384,"28.384644,76.984367",7125,270,191
1544374016,2018-12-09T16:46:56Z,JAI384,"28.372471,76.980232",7475,273,199
1544374027,2018-12-09T16:47:07Z,JAI384,"28.360703,76.974228",7775,277,206
1544374033,2018-12-09T16:47:13Z,JAI384,"28.354935,76.970901",7950,279,207
1544374042,2018-12-09T16:47:22Z,JAI384,"28.34317,76.963875",8375,280,207
1544374057,2018-12-09T16:47:37Z,JAI384,"28.325684,76.952835",8800,289,210
1544374073,2018-12-09T16:47:53Z,JAI384,"28.307438,76.941292",8975,309,208
1544374087,2018-12-09T16:48:07Z,JAI384,"28.288073,76.929825",9325,322,207
1544374098,2018-12-09T16:48:18Z,JAI384,"28.274153,76.921585",9650,327,208
1544374112,2018-12-09T16:48:32Z,JAI384,"28.254318,76.908783",10000,339,210
1544374127,2018-12-09T16:48:47Z,JAI384,"28.233793,76.894981",10375,350,210
1544374142,2018-12-09T16:49:02Z,JAI384,"28.211447,76.880493",10825,359,209
1544374158,2018-12-09T16:49:18Z,JAI384,"28.189241,76.866867",11375,363,208
1544374172,2018-12-09T16:49:32Z,JAI384,"28.166519,76.852959",11825,373,208
1544374187,2018-12-09T16:49:47Z,JAI384,"28.14386,76.838593",12475,374,209
1544374223,2018-12-09T16:50:23Z,JAI384,"28.08976,76.804131",13875,382,209
1544374258,2018-12-09T16:50:58Z,JAI384,"28.036457,76.770683",15600,382,209
1544374293,2018-12-09T16:51:33Z,JAI384,"27.981033,76.735703",17200,385,209
1544374325,2018-12-09T16:52:05Z,JAI384,"27.929947,76.703384",18475,390,209
1544374372,2018-12-09T16:52:52Z,JAI384,"27.857231,76.657524",20200,398,209
1544374425,2018-12-09T16:53:45Z,JAI384,"27.766361,76.607346",22125,406,206
1544374527,2018-12-09T16:55:27Z,JAI384,"27.589371,76.510399",25025,423,206
1544374587,2018-12-09T16:56:27Z,JAI384,"27.48337,76.452538",26550,431,205
1544374609,2018-12-09T16:56:49Z,JAI384,"27.444489,76.431259",27000,436,205
1544374700,2018-12-09T16:58:20Z,JAI384,"27.276581,76.340057",29200,440,205
1544374762,2018-12-09T16:59:22Z,JAI384,"27.165207,76.279526",31325,421,205
1544374822,2018-12-09T17:00:22Z,JAI384,"27.057587,76.22097",32675,420,205
1544374886,2018-12-09T17:01:26Z,JAI384,"26.946438,76.161026",33900,419,205
1544374950,2018-12-09T17:02:30Z,JAI384,"26.836433,76.101242",35175,412,206
1544375010,2018-12-09T17:03:30Z,JAI384,"26.733398,76.045395",36150,408,205
1544375073,2018-12-09T17:04:33Z,JAI384,"26.625877,75.988312",37075,401,205
1544375133,2018-12-09T17:05:33Z,JAI384,"26.525511,75.934647",37925,394,205
1544375197,2018-12-09T17:06:37Z,JAI384,"26.42157,75.878891",37975,394,205
1544375261,2018-12-09T17:07:41Z,JAI384,"26.316538,75.822937",38000,395,205
1544375324,2018-12-09T17:08:44Z,JAI384,"26.211517,75.766998",38000,396,205
1544375387,2018-12-09T17:09:47Z,JAI384,"26.106308,75.71109",38000,399,205
1544375448,2018-12-09T17:10:48Z,JAI384,"26.004456,75.656982",38000,400,205
1544375511,2018-12-09T17:11:51Z,JAI384,"25.898592,75.60099",38000,403,205
1544375572,2018-12-09T17:12:52Z,JAI384,"25.795898,75.546654",38000,406,205
1544375636,2018-12-09T17:13:56Z,JAI384,"25.6838,75.495148",38000,414,201
