Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544461444,2018-12-10T17:04:04Z,JAI384,"28.535385,77.120956",1750,180,104
1544461563,2018-12-10T17:06:03Z,JAI384,"28.425402,77.115784",5125,269,193
1544461574,2018-12-10T17:06:14Z,JAI384,"28.411249,77.108673",5375,286,211
1544461580,2018-12-10T17:06:20Z,JAI384,"28.407478,77.10582",5450,288,215
1544461586,2018-12-10T17:06:26Z,JAI384,"28.401169,77.099937",5600,295,221
1544461595,2018-12-10T17:06:35Z,JAI384,"28.392014,77.090645",5800,306,221
1544461601,2018-12-10T17:06:41Z,JAI384,"28.385599,77.084229",5950,313,221
1544461613,2018-12-10T17:06:53Z,JAI384,"28.372192,77.070976",6350,323,220
1544461625,2018-12-10T17:07:05Z,JAI384,"28.358643,77.057838",6775,332,220
1544461637,2018-12-10T17:07:17Z,JAI384,"28.343628,77.043365",7250,341,220
1544461650,2018-12-10T17:07:30Z,JAI384,"28.328659,77.029106",7700,349,220
1544461660,2018-12-10T17:07:40Z,JAI384,"28.313723,77.014755",8150,354,220
1544461674,2018-12-10T17:07:54Z,JAI384,"28.298594,77.000214",8800,354,220
1544461683,2018-12-10T17:08:03Z,JAI384,"28.284069,76.986206",9400,356,220
1544461696,2018-12-10T17:08:16Z,JAI384,"28.268188,76.970848",10025,358,220
1544461710,2018-12-10T17:08:30Z,JAI384,"28.252716,76.955902",10575,360,220
1544461719,2018-12-10T17:08:39Z,JAI384,"28.238262,76.94194",11075,364,220
1544461733,2018-12-10T17:08:53Z,JAI384,"28.222321,76.92659",11675,365,220
1544461746,2018-12-10T17:09:06Z,JAI384,"28.207214,76.91201",12200,368,220
1544461779,2018-12-10T17:09:39Z,JAI384,"28.162521,76.868912",13550,378,220
1544461809,2018-12-10T17:10:09Z,JAI384,"28.122208,76.830139",14650,389,220
1544461841,2018-12-10T17:10:41Z,JAI384,"28.076447,76.786514",16225,388,220
1544461874,2018-12-10T17:11:14Z,JAI384,"28.03157,76.743462",17625,387,220
1544461909,2018-12-10T17:11:49Z,JAI384,"27.985382,76.699203",18850,393,220
1544461970,2018-12-10T17:12:50Z,JAI384,"27.895638,76.613373",20825,407,220
1544462029,2018-12-10T17:13:49Z,JAI384,"27.810307,76.532188",22750,413,220
1544462094,2018-12-10T17:14:54Z,JAI384,"27.704453,76.454483",24500,433,205
1544462159,2018-12-10T17:15:59Z,JAI384,"27.586111,76.394485",26000,444,204
1544462216,2018-12-10T17:16:56Z,JAI384,"27.474152,76.337776",27275,450,204
1544462282,2018-12-10T17:18:02Z,JAI384,"27.352066,76.276001",28525,455,204
1544462345,2018-12-10T17:19:05Z,JAI384,"27.230173,76.214378",30175,447,204
1544462407,2018-12-10T17:20:07Z,JAI384,"27.11165,76.154427",31625,441,204
1544462468,2018-12-10T17:21:08Z,JAI384,"27.000137,76.097839",32875,434,204
1544462531,2018-12-10T17:22:11Z,JAI384,"26.886429,76.040474",34000,427,204
1544462595,2018-12-10T17:23:15Z,JAI384,"26.770424,75.982925",34000,427,204
1544462656,2018-12-10T17:24:16Z,JAI384,"26.660065,75.928017",33975,427,204
1544462722,2018-12-10T17:25:22Z,JAI384,"26.541573,75.869049",34000,427,204
1544462784,2018-12-10T17:26:24Z,JAI384,"26.42775,75.812141",33975,426,204
1544462846,2018-12-10T17:27:26Z,JAI384,"26.314491,75.755859",34000,425,203
1544462906,2018-12-10T17:28:26Z,JAI384,"26.207514,75.703194",33975,422,204
1544462987,2018-12-10T17:29:47Z,JAI384,"26.065762,75.633263",34000,422,203
1544463022,2018-12-10T17:30:22Z,JAI384,"26.001846,75.601791",34000,421,203
1544463112,2018-12-10T17:31:52Z,JAI384,"25.841333,75.522446",34000,421,204
1544463174,2018-12-10T17:32:54Z,JAI384,"25.728863,75.467422",33975,419,203
1544463238,2018-12-10T17:33:58Z,JAI384,"25.615768,75.411736",34000,419,203
1544463301,2018-12-10T17:35:01Z,JAI384,"25.50238,75.356544",34000,422,203
1544463364,2018-12-10T17:36:04Z,JAI384,"25.389954,75.301872",34000,423,203
1544463428,2018-12-10T17:37:08Z,JAI384,"25.275192,75.245918",33975,423,203
1544463488,2018-12-10T17:38:08Z,JAI384,"25.166016,75.19236",34000,429,203
1544463552,2018-12-10T17:39:12Z,JAI384,"25.050596,75.136795",34000,432,203
1544463613,2018-12-10T17:40:13Z,JAI384,"24.93985,75.083313",34000,431,203
1544463677,2018-12-10T17:41:17Z,JAI384,"24.823608,75.026909",34000,434,203
1544463737,2018-12-10T17:42:17Z,JAI384,"24.711744,74.973396",34000,435,203
1544463799,2018-12-10T17:43:19Z,JAI384,"24.595642,74.917587",34000,431,203
1544463864,2018-12-10T17:44:24Z,JAI384,"24.47525,74.867149",34000,439,200
1544463926,2018-12-10T17:45:26Z,JAI384,"24.353897,74.818504",34000,439,200
