Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544546287,2018-12-11T16:38:07Z,JAI384,"28.536476,77.114815",1625,171,105
1544546297,2018-12-11T16:38:17Z,JAI384,"28.533216,77.122948",1975,170,122
1544546307,2018-12-11T16:38:27Z,JAI384,"28.527304,77.128494",2225,174,151
1544546313,2018-12-11T16:38:33Z,JAI384,"28.523254,77.129883",2375,176,163
1544546323,2018-12-11T16:38:43Z,JAI384,"28.51506,77.130539",2575,183,179
1544546348,2018-12-11T16:39:08Z,JAI384,"28.492264,77.126984",3075,206,190
1544546363,2018-12-11T16:39:23Z,JAI384,"28.477448,77.12397",3400,223,189
1544546373,2018-12-11T16:39:33Z,JAI384,"28.466858,77.121857",3650,232,190
1544546383,2018-12-11T16:39:43Z,JAI384,"28.455801,77.119553",4000,236,190
1544546393,2018-12-11T16:39:53Z,JAI384,"28.444954,77.117561",4250,243,188
1544546403,2018-12-11T16:40:03Z,JAI384,"28.43327,77.115517",4525,252,189
1544546413,2018-12-11T16:40:13Z,JAI384,"28.421631,77.113251",4775,259,190
1544546424,2018-12-11T16:40:24Z,JAI384,"28.409342,77.110611",5075,265,190
1544546438,2018-12-11T16:40:38Z,JAI384,"28.391047,77.106575",5475,275,191
1544546453,2018-12-11T16:40:53Z,JAI384,"28.371355,77.102646",5975,282,189
1544546463,2018-12-11T16:41:03Z,JAI384,"28.358459,77.100098",6175,290,190
1544546478,2018-12-11T16:41:18Z,JAI384,"28.337605,77.095909",6600,300,189
1544546493,2018-12-11T16:41:33Z,JAI384,"28.317913,77.091492",7525,290,193
1544546503,2018-12-11T16:41:43Z,JAI384,"28.305204,77.085945",8225,280,205
1544546509,2018-12-11T16:41:49Z,JAI384,"28.299728,77.082085",8500,278,212
1544546518,2018-12-11T16:41:58Z,JAI384,"28.290527,77.072472",9025,273,227
1544546528,2018-12-11T16:42:08Z,JAI384,"28.282906,77.060585",9600,270,236
1544546534,2018-12-11T16:42:14Z,JAI384,"28.279646,77.055038",9850,269,236
1544546553,2018-12-11T16:42:33Z,JAI384,"28.264252,77.0327",10800,271,228
1544546559,2018-12-11T16:42:39Z,JAI384,"28.259537,77.027313",11000,274,224
1544546569,2018-12-11T16:42:49Z,JAI384,"28.249575,77.017502",11125,288,220
1544546589,2018-12-11T16:43:09Z,JAI384,"28.228765,76.996979",11500,308,222
1544546598,2018-12-11T16:43:18Z,JAI384,"28.218292,76.985687",11700,318,223
1544546614,2018-12-11T16:43:34Z,JAI384,"28.201811,76.967201",12100,330,225
1544546648,2018-12-11T16:44:08Z,JAI384,"28.162567,76.922234",13050,355,224
1544546678,2018-12-11T16:44:38Z,JAI384,"28.128399,76.883995",14075,367,224
1544546712,2018-12-11T16:45:12Z,JAI384,"28.08543,76.836121",15675,373,224
1544546750,2018-12-11T16:45:50Z,JAI384,"28.039949,76.786514",17425,374,223
1544546774,2018-12-11T16:46:14Z,JAI384,"28.007538,76.756401",18850,373,211
1544546783,2018-12-11T16:46:23Z,JAI384,"27.991882,76.747849",19650,368,205
1544546790,2018-12-11T16:46:30Z,JAI384,"27.982956,76.743408",20100,361,203
1544546860,2018-12-11T16:47:40Z,JAI384,"27.877487,76.683067",21925,389,206
1544546889,2018-12-11T16:48:09Z,JAI384,"27.82888,76.656258",23150,388,205
1544546977,2018-12-11T16:49:37Z,JAI384,"27.683918,76.576767",25650,405,206
1544547041,2018-12-11T16:50:41Z,JAI384,"27.576847,76.517769",27625,408,206
1544547103,2018-12-11T16:51:43Z,JAI384,"27.468706,76.458084",29350,410,206
1544547167,2018-12-11T16:52:47Z,JAI384,"27.359482,76.397789",30850,413,206
1544547230,2018-12-11T16:53:50Z,JAI384,"27.251266,76.338448",32000,411,206
1544547294,2018-12-11T16:54:54Z,JAI384,"27.144192,76.27977",32000,408,206
1544547357,2018-12-11T16:55:57Z,JAI384,"27.036562,76.220818",32000,408,206
1544547419,2018-12-11T16:56:59Z,JAI384,"26.928635,76.162094",32000,406,205
1544547482,2018-12-11T16:58:02Z,JAI384,"26.823912,76.105095",32000,404,206
1544547547,2018-12-11T16:59:07Z,JAI384,"26.714653,76.045723",32000,404,206
1544547613,2018-12-11T17:00:13Z,JAI384,"26.604185,75.985886",31975,404,205
1544547675,2018-12-11T17:01:15Z,JAI384,"26.497721,75.928154",31975,403,205
1544547735,2018-12-11T17:02:15Z,JAI384,"26.397121,75.873642",32000,402,205
1544547798,2018-12-11T17:03:18Z,JAI384,"26.290422,75.816071",32000,405,205
