Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544719703,2018-12-13T16:48:23Z,JAI384,"28.548672,77.056274",1525,176,282
1544719793,2018-12-13T16:49:53Z,JAI384,"28.485733,77.012062",4200,228,214
1544719801,2018-12-13T16:50:01Z,JAI384,"28.478146,77.006241",4425,237,214
1544719807,2018-12-13T16:50:07Z,JAI384,"28.472792,77.002205",4650,240,214
1544719820,2018-12-13T16:50:20Z,JAI384,"28.460594,76.99305",5050,255,213
1544719831,2018-12-13T16:50:31Z,JAI384,"28.448181,76.984055",5300,274,212
1544719844,2018-12-13T16:50:44Z,JAI384,"28.434385,76.974251",5550,292,211
1544719856,2018-12-13T16:50:56Z,JAI384,"28.42028,76.964401",5800,309,211
1544719868,2018-12-13T16:51:08Z,JAI384,"28.404694,76.953629",6025,326,211
1544719880,2018-12-13T16:51:20Z,JAI384,"28.388765,76.942589",6225,344,211
1544719891,2018-12-13T16:51:31Z,JAI384,"28.372192,76.930862",6700,350,212
1544719904,2018-12-13T16:51:44Z,JAI384,"28.355667,76.919037",7350,351,212
1544719916,2018-12-13T16:51:56Z,JAI384,"28.33905,76.907043",7875,357,212
1544719930,2018-12-13T16:52:10Z,JAI384,"28.321655,76.894417",8450,360,212
1544719940,2018-12-13T16:52:20Z,JAI384,"28.304718,76.882164",9075,362,212
1544719953,2018-12-13T16:52:33Z,JAI384,"28.287506,76.869644",9475,371,212
1544719964,2018-12-13T16:52:44Z,JAI384,"28.269871,76.856903",9975,375,212
1544719976,2018-12-13T16:52:56Z,JAI384,"28.252533,76.844398",10450,380,212
1544719989,2018-12-13T16:53:09Z,JAI384,"28.234589,76.831512",10950,384,212
1544720000,2018-12-13T16:53:20Z,JAI384,"28.216141,76.818306",11525,385,212
1544720013,2018-12-13T16:53:33Z,JAI384,"28.197922,76.80526",12025,389,212
1544720047,2018-12-13T16:54:07Z,JAI384,"28.146332,76.769875",13575,394,207
1544720079,2018-12-13T16:54:39Z,JAI384,"28.090738,76.739822",14900,403,205
1544720108,2018-12-13T16:55:08Z,JAI384,"28.039169,76.712196",16025,411,205
1544720141,2018-12-13T16:55:41Z,JAI384,"27.982084,76.681557",17250,418,205
1544720176,2018-12-13T16:56:16Z,JAI384,"27.923103,76.649872",18300,428,205
1544720238,2018-12-13T16:57:18Z,JAI384,"27.807358,76.587662",20400,440,205
1544720303,2018-12-13T16:58:23Z,JAI384,"27.690353,76.525063",22475,445,205
1544720364,2018-12-13T16:59:24Z,JAI384,"27.570889,76.461143",24100,455,205
1544720428,2018-12-13T17:00:28Z,JAI384,"27.44989,76.396698",25750,459,205
1544720493,2018-12-13T17:01:33Z,JAI384,"27.327745,76.331848",27225,461,205
1544720555,2018-12-13T17:02:35Z,JAI384,"27.207222,76.26799",29225,445,205
1544720616,2018-12-13T17:03:36Z,JAI384,"27.090866,76.2062",31125,429,205
1544720678,2018-12-13T17:04:38Z,JAI384,"26.985443,76.150337",32750,414,205
1544720746,2018-12-13T17:05:46Z,JAI384,"26.871162,76.089935",33950,408,205
1544720808,2018-12-13T17:06:48Z,JAI384,"26.761139,76.031761",34000,413,205
