Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544981274,2018-12-16T17:27:54Z,JAI384,"28.550533,77.047493",1500,196,280
1544981299,2018-12-16T17:28:19Z,JAI384,"28.542252,77.020233",1975,230,221
1544981310,2018-12-16T17:28:30Z,JAI384,"28.533829,77.015167",2125,239,201
1544981318,2018-12-16T17:28:38Z,JAI384,"28.523348,77.013031",2225,247,184
1544981327,2018-12-16T17:28:47Z,JAI384,"28.513092,77.013054",2325,253,179
1544981350,2018-12-16T17:29:10Z,JAI384,"28.48443,77.011574",2700,258,185
1544981357,2018-12-16T17:29:17Z,JAI384,"28.477215,77.010551",2825,261,187
1544981365,2018-12-16T17:29:25Z,JAI384,"28.469742,77.009193",2925,263,189
1544981372,2018-12-16T17:29:32Z,JAI384,"28.459167,77.007027",3075,266,191
1544981382,2018-12-16T17:29:42Z,JAI384,"28.444162,77.003548",3275,274,191
1544981390,2018-12-16T17:29:50Z,JAI384,"28.436508,77.001747",3425,277,191
1544981400,2018-12-16T17:30:00Z,JAI384,"28.424982,76.999023",3775,278,191
1544981411,2018-12-16T17:30:11Z,JAI384,"28.410324,76.995674",4275,277,191
1544981423,2018-12-16T17:30:23Z,JAI384,"28.39477,76.992134",4750,278,191
1544981430,2018-12-16T17:30:30Z,JAI384,"28.387344,76.990494",5025,276,190
1544981441,2018-12-16T17:30:41Z,JAI384,"28.372379,76.987122",5600,272,191
1544981453,2018-12-16T17:30:53Z,JAI384,"28.357361,76.983627",6150,270,191
1544981464,2018-12-16T17:31:04Z,JAI384,"28.342167,76.980286",6550,274,191
1544981477,2018-12-16T17:31:17Z,JAI384,"28.327736,76.977165",7025,273,190
1544981489,2018-12-16T17:31:29Z,JAI384,"28.312513,76.974251",7550,272,189
1544981500,2018-12-16T17:31:40Z,JAI384,"28.297615,76.971672",8125,268,188
1544981513,2018-12-16T17:31:53Z,JAI384,"28.282951,76.969246",8750,261,187
1544981528,2018-12-16T17:32:08Z,JAI384,"28.264843,76.966499",9400,260,187
1544981541,2018-12-16T17:32:21Z,JAI384,"28.250551,76.964294",9725,267,187
1544981552,2018-12-16T17:32:32Z,JAI384,"28.235701,76.960304",10050,272,199
1544981561,2018-12-16T17:32:41Z,JAI384,"28.22525,76.955742",10300,275,201
1544981568,2018-12-16T17:32:48Z,JAI384,"28.217918,76.952118",10450,281,204
1544981575,2018-12-16T17:32:55Z,JAI384,"28.210936,76.948242",10575,284,206
