Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545152247,2018-12-18T16:57:27Z,JAI384,"28.542109,77.019165",2500,210,219
1545152255,2018-12-18T16:57:35Z,JAI384,"28.537079,77.016167",2600,218,203
1545152263,2018-12-18T16:57:43Z,JAI384,"28.52774,77.01358",2750,229,187
1545152272,2018-12-18T16:57:52Z,JAI384,"28.51767,77.01342",2900,239,178
1545152278,2018-12-18T16:57:58Z,JAI384,"28.511948,77.013474",2975,246,179
1545152287,2018-12-18T16:58:07Z,JAI384,"28.50091,77.013351",3150,255,182
1545152294,2018-12-18T16:58:14Z,JAI384,"28.493088,77.012436",3275,261,187
1545152300,2018-12-18T16:58:20Z,JAI384,"28.482334,77.009903",3425,269,192
1545152306,2018-12-18T16:58:26Z,JAI384,"28.47875,77.009041",3500,272,192
1545152312,2018-12-18T16:58:32Z,JAI384,"28.471161,77.007133",3675,276,192
1545152319,2018-12-18T16:58:39Z,JAI384,"28.459854,77.00444",4025,276,191
1545152325,2018-12-18T16:58:45Z,JAI384,"28.452393,77.002701",4225,278,191
1545152339,2018-12-18T16:58:59Z,JAI384,"28.436691,76.999214",4425,292,191
1545152346,2018-12-18T16:59:06Z,JAI384,"28.424332,76.996605",4575,301,190
1545152352,2018-12-18T16:59:12Z,JAI384,"28.415533,76.994827",4675,307,190
1545152364,2018-12-18T16:59:24Z,JAI384,"28.401335,76.99192",4850,316,190
1545152377,2018-12-18T16:59:37Z,JAI384,"28.380707,76.987701",5075,329,190
1545152390,2018-12-18T16:59:50Z,JAI384,"28.362324,76.983841",5275,340,190
1545152400,2018-12-18T17:00:00Z,JAI384,"28.343563,76.979858",5500,349,190
1545152413,2018-12-18T17:00:13Z,JAI384,"28.323807,76.974281",5900,350,198
1545152421,2018-12-18T17:00:21Z,JAI384,"28.310623,76.968208",6225,349,204
1545152427,2018-12-18T17:00:27Z,JAI384,"28.302038,76.963104",6450,348,208
1545152433,2018-12-18T17:00:33Z,JAI384,"28.297615,76.960091",6550,348,211
1545152440,2018-12-18T17:00:40Z,JAI384,"28.286087,76.950722",6850,347,217
1545152448,2018-12-18T17:00:48Z,JAI384,"28.274231,76.940216",7175,349,218
1545152455,2018-12-18T17:00:55Z,JAI384,"28.266844,76.933647",7375,351,218
1545152467,2018-12-18T17:01:07Z,JAI384,"28.251575,76.920021",7775,353,218
1545152478,2018-12-18T17:01:18Z,JAI384,"28.235825,76.905991",8250,354,218
1545152492,2018-12-18T17:01:32Z,JAI384,"28.220106,76.892128",8750,355,218
1545152504,2018-12-18T17:01:44Z,JAI384,"28.204605,76.878448",9150,358,218
1545152514,2018-12-18T17:01:54Z,JAI384,"28.188869,76.864502",9625,358,218
1545152526,2018-12-18T17:02:06Z,JAI384,"28.174345,76.851624",10075,359,218
1545152538,2018-12-18T17:02:18Z,JAI384,"28.156796,76.83606",10575,362,218
1545152550,2018-12-18T17:02:30Z,JAI384,"28.141846,76.8228",11000,363,218
1545152563,2018-12-18T17:02:43Z,JAI384,"28.124954,76.807899",11525,364,218
1545152576,2018-12-18T17:02:56Z,JAI384,"28.108799,76.793678",11975,367,217
1545152587,2018-12-18T17:03:07Z,JAI384,"28.092319,76.77919",12400,369,217
1545152617,2018-12-18T17:03:37Z,JAI384,"28.051437,76.743149",13500,376,218
1545152651,2018-12-18T17:04:11Z,JAI384,"28.005453,76.702614",14850,380,217
1545152684,2018-12-18T17:04:44Z,JAI384,"27.958923,76.661697",16175,384,217
1545152719,2018-12-18T17:05:19Z,JAI384,"27.911957,76.620361",17200,396,217
1545152752,2018-12-18T17:05:52Z,JAI384,"27.863022,76.577454",18175,408,218
1545152815,2018-12-18T17:06:55Z,JAI384,"27.764267,76.495377",20400,419,213
1545152873,2018-12-18T17:07:53Z,JAI384,"27.666367,76.423859",22500,425,208
1545152887,2018-12-18T17:08:07Z,JAI384,"27.644674,76.412186",22875,431,203
1545152948,2018-12-18T17:09:08Z,JAI384,"27.528572,76.353821",24550,441,204
1545153013,2018-12-18T17:10:13Z,JAI384,"27.407118,76.292915",25800,460,204
1545153073,2018-12-18T17:11:13Z,JAI384,"27.287704,76.232994",26850,476,204
1545153082,2018-12-18T17:11:22Z,JAI384,"27.26976,76.223976",27050,477,204
1545153170,2018-12-18T17:12:50Z,JAI384,"27.089493,76.133987",29000,481,204
1545153231,2018-12-18T17:13:51Z,JAI384,"26.965439,76.072235",30500,476,204
1545153294,2018-12-18T17:14:54Z,JAI384,"26.841555,76.010651",32650,444,204
1545153355,2018-12-18T17:15:55Z,JAI384,"26.729691,75.954453",33800,434,204
1545153419,2018-12-18T17:16:59Z,JAI384,"26.613123,75.896774",33975,436,203
1545153481,2018-12-18T17:18:01Z,JAI384,"26.496277,75.839096",34000,437,203
1545153545,2018-12-18T17:19:05Z,JAI384,"26.378361,75.781052",33975,438,203
1545153605,2018-12-18T17:20:05Z,JAI384,"26.265797,75.725693",34000,439,203
1545153672,2018-12-18T17:21:12Z,JAI384,"26.142151,75.664963",33975,440,203
1545153732,2018-12-18T17:22:12Z,JAI384,"26.029175,75.609726",34000,441,203
1545153795,2018-12-18T17:23:15Z,JAI384,"25.910835,75.551712",34000,441,203
1545153856,2018-12-18T17:24:16Z,JAI384,"25.797575,75.496284",34000,441,203
1545153919,2018-12-18T17:25:19Z,JAI384,"25.679379,75.438866",34000,439,203
1545153979,2018-12-18T17:26:19Z,JAI384,"25.566164,75.383675",34000,438,203
1545154046,2018-12-18T17:27:26Z,JAI384,"25.442568,75.323975",33975,437,203
1545154107,2018-12-18T17:28:27Z,JAI384,"25.330215,75.269569",34000,435,203
1545154171,2018-12-18T17:29:31Z,JAI384,"25.213348,75.213165",34000,435,203
1545154231,2018-12-18T17:30:31Z,JAI384,"25.101746,75.159554",34000,434,203
1545154295,2018-12-18T17:31:35Z,JAI384,"24.983562,75.102745",34000,436,203
1545154355,2018-12-18T17:32:35Z,JAI384,"24.871536,75.048981",34000,439,203
1545154418,2018-12-18T17:33:38Z,JAI384,"24.752426,74.992065",34000,441,203
1545154478,2018-12-18T17:34:38Z,JAI384,"24.639029,74.937851",34000,442,203
1545154542,2018-12-18T17:35:42Z,JAI384,"24.517387,74.884262",34000,447,200
1545154602,2018-12-18T17:36:42Z,JAI384,"24.400124,74.836327",34000,447,200
1545154667,2018-12-18T17:37:47Z,JAI384,"24.27626,74.787041",34000,448,199
1545154732,2018-12-18T17:38:52Z,JAI384,"24.146439,74.735313",34000,447,200
1545154793,2018-12-18T17:39:53Z,JAI384,"24.029287,74.68853",33975,443,200
1545154854,2018-12-18T17:40:54Z,JAI384,"23.913254,74.641975",34000,441,200
1545154928,2018-12-18T17:42:08Z,JAI384,"23.768784,74.584297",33975,439,200
1545154983,2018-12-18T17:43:03Z,JAI384,"23.664644,74.542702",34000,438,200
1545155044,2018-12-18T17:44:04Z,JAI384,"23.547937,74.49601",34000,437,200
1545155087,2018-12-18T17:44:47Z,JAI384,"23.466984,74.463806",34000,437,200
1545155117,2018-12-18T17:45:17Z,JAI384,"23.411133,74.441612",34000,437,200
1545155207,2018-12-18T17:46:47Z,JAI384,"23.240936,74.374245",34000,438,200
1545155271,2018-12-18T17:47:51Z,JAI384,"23.119284,74.326118",34000,439,200
1545155333,2018-12-18T17:48:53Z,JAI384,"22.998295,74.278206",34000,439,200
1545155395,2018-12-18T17:49:55Z,JAI384,"22.877584,74.230705",34000,440,200
1545155456,2018-12-18T17:50:56Z,JAI384,"22.761578,74.185081",34000,441,199
1545155518,2018-12-18T17:51:58Z,JAI384,"22.639797,74.137627",34000,441,199
1545155583,2018-12-18T17:53:03Z,JAI384,"22.51848,74.089867",34000,441,199
1545155645,2018-12-18T17:54:05Z,JAI384,"22.396608,74.041901",34000,441,200
1545155706,2018-12-18T17:55:06Z,JAI384,"22.280685,73.996315",34000,441,199
1545155768,2018-12-18T17:56:08Z,JAI384,"22.158493,73.948975",34000,440,199
1545155832,2018-12-18T17:57:12Z,JAI384,"22.037521,73.901886",34000,439,199
1545155893,2018-12-18T17:58:13Z,JAI384,"21.921495,73.856812",34000,439,199
1545155957,2018-12-18T17:59:17Z,JAI384,"21.799942,73.8097",34000,439,199
1545156020,2018-12-18T18:00:20Z,JAI384,"21.677935,73.762566",34000,440,199
1545156081,2018-12-18T18:01:21Z,JAI384,"21.561264,73.717461",34000,442,199
1545156143,2018-12-18T18:02:23Z,JAI384,"21.439041,73.670372",34000,442,200
1545156203,2018-12-18T18:03:23Z,JAI384,"21.324051,73.62603",34000,443,199
1545156269,2018-12-18T18:04:29Z,JAI384,"21.200214,73.578339",34000,445,199
1545156331,2018-12-18T18:05:31Z,JAI384,"21.076126,73.53479",33200,443,197
1545156395,2018-12-18T18:06:35Z,JAI384,"20.954699,73.49424",32125,432,197
1545156458,2018-12-18T18:07:38Z,JAI384,"20.835388,73.454201",31050,422,197
1545156520,2018-12-18T18:08:40Z,JAI384,"20.717049,73.414688",29875,402,197
1545156580,2018-12-18T18:09:40Z,JAI384,"20.613657,73.380379",28750,384,197
1545156644,2018-12-18T18:10:44Z,JAI384,"20.506353,73.344627",27650,377,197
1545156698,2018-12-18T18:11:38Z,JAI384,"20.416031,73.314072",26775,377,197
1545156794,2018-12-18T18:13:14Z,JAI384,"20.252838,73.260223",25100,379,197
1545156857,2018-12-18T18:14:17Z,JAI384,"20.1492,73.226822",23950,356,196
1545156918,2018-12-18T18:15:18Z,JAI384,"20.054718,73.196999",22975,351,196
1545156935,2018-12-18T18:15:35Z,JAI384,"20.025749,73.189522",23000,351,186
1545156941,2018-12-18T18:15:41Z,JAI384,"20.021,73.189369",23000,353,180
1545156962,2018-12-18T18:16:02Z,JAI384,"19.988617,73.200432",23000,353,147
1545156971,2018-12-18T18:16:11Z,JAI384,"19.978134,73.210785",23000,351,132
1545156979,2018-12-18T18:16:19Z,JAI384,"19.970215,73.223877",22900,348,118
1545156989,2018-12-18T18:16:29Z,JAI384,"19.965742,73.238358",22750,344,102
1545156996,2018-12-18T18:16:36Z,JAI384,"19.9643,73.252838",22600,340,92
1545157016,2018-12-18T18:16:56Z,JAI384,"19.969002,73.282455",22275,329,70
1545157023,2018-12-18T18:17:03Z,JAI384,"19.975332,73.296089",22125,325,59
1545157030,2018-12-18T18:17:10Z,JAI384,"19.98036,73.303581",22025,322,52
