Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545238978,2018-12-19T17:02:58Z,JAI384,"28.551092,77.044586",1875,187,272
1545238999,2018-12-19T17:03:19Z,JAI384,"28.541317,77.028214",2475,192,207
1545239005,2018-12-19T17:03:25Z,JAI384,"28.536894,77.026489",2625,194,196
1545239012,2018-12-19T17:03:32Z,JAI384,"28.530516,77.02536",2825,197,185
1545239021,2018-12-19T17:03:41Z,JAI384,"28.522091,77.024284",3100,197,187
1545239029,2018-12-19T17:03:49Z,JAI384,"28.513803,77.022667",3375,198,190
1545239035,2018-12-19T17:03:55Z,JAI384,"28.508776,77.021484",3525,199,192
1545239042,2018-12-19T17:04:02Z,JAI384,"28.503517,77.020195",3700,199,192
1545239054,2018-12-19T17:04:14Z,JAI384,"28.491692,77.017067",3975,208,193
1545239066,2018-12-19T17:04:26Z,JAI384,"28.479961,77.013893",4150,221,193
1545239072,2018-12-19T17:04:32Z,JAI384,"28.473909,77.012169",4275,225,193
1545239084,2018-12-19T17:04:44Z,JAI384,"28.46228,77.008881",4450,238,194
1545239090,2018-12-19T17:04:50Z,JAI384,"28.454681,77.006714",4600,243,194
1545239101,2018-12-19T17:05:01Z,JAI384,"28.441648,77.002907",4800,255,194
1545239107,2018-12-19T17:05:07Z,JAI384,"28.434265,77.000793",4900,263,194
1545239113,2018-12-19T17:05:13Z,JAI384,"28.427402,76.998863",5000,268,194
1545239126,2018-12-19T17:05:26Z,JAI384,"28.412018,76.994568",5350,275,193
1545239137,2018-12-19T17:05:37Z,JAI384,"28.397377,76.990463",5700,281,194
1545239150,2018-12-19T17:05:50Z,JAI384,"28.381531,76.985954",6100,285,194
1545239161,2018-12-19T17:06:01Z,JAI384,"28.366928,76.981888",6525,287,193
1545239174,2018-12-19T17:06:14Z,JAI384,"28.350685,76.977379",7000,289,193
1545239186,2018-12-19T17:06:26Z,JAI384,"28.335114,76.973122",7475,290,193
1545239198,2018-12-19T17:06:38Z,JAI384,"28.319262,76.968758",8000,290,193
1545239210,2018-12-19T17:06:50Z,JAI384,"28.302933,76.964302",8450,293,193
1545239222,2018-12-19T17:07:02Z,JAI384,"28.287323,76.960129",8850,298,193
1545239235,2018-12-19T17:07:15Z,JAI384,"28.271027,76.955849",9250,301,192
1545239245,2018-12-19T17:07:25Z,JAI384,"28.256231,76.952118",9675,303,192
1545239258,2018-12-19T17:07:38Z,JAI384,"28.237749,76.946571",10225,302,198
1545239267,2018-12-19T17:07:47Z,JAI384,"28.226902,76.94162",10600,298,203
1545239273,2018-12-19T17:07:53Z,JAI384,"28.219345,76.937469",10900,295,207
1545239279,2018-12-19T17:07:59Z,JAI384,"28.212112,76.933083",11150,295,208
1545239298,2018-12-19T17:08:18Z,JAI384,"28.18927,76.919296",11475,313,207
1545239309,2018-12-19T17:08:29Z,JAI384,"28.173321,76.909897",11675,325,207
1545239322,2018-12-19T17:08:42Z,JAI384,"28.156494,76.900177",11875,335,207
1545239334,2018-12-19T17:08:54Z,JAI384,"28.13942,76.890457",12075,347,206
1545239366,2018-12-19T17:09:26Z,JAI384,"28.091309,76.863205",13325,352,206
1545239399,2018-12-19T17:09:59Z,JAI384,"28.043564,76.836105",14950,345,206
1545239430,2018-12-19T17:10:30Z,JAI384,"27.999495,76.810753",16225,349,207
1545239466,2018-12-19T17:11:06Z,JAI384,"27.947962,76.781021",17700,351,207
