Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545411766,2018-12-21T17:02:46Z,JAI384,"28.452347,76.985001",5175,277,213
1545411778,2018-12-21T17:02:58Z,JAI384,"28.439117,76.975288",5725,279,212
1545411789,2018-12-21T17:03:09Z,JAI384,"28.4261,76.965958",6075,279,211
1545411801,2018-12-21T17:03:21Z,JAI384,"28.412933,76.956749",6250,277,211
1545411817,2018-12-21T17:03:37Z,JAI384,"28.395996,76.944916",6575,289,211
1545411830,2018-12-21T17:03:50Z,JAI384,"28.381411,76.934723",6775,304,211
1545411841,2018-12-21T17:04:01Z,JAI384,"28.366606,76.924332",6975,318,212
1545411853,2018-12-21T17:04:13Z,JAI384,"28.35141,76.913589",7000,329,212
1545411866,2018-12-21T17:04:26Z,JAI384,"28.335434,76.902237",7000,335,212
1545411877,2018-12-21T17:04:37Z,JAI384,"28.319458,76.890778",7050,337,212
1545411889,2018-12-21T17:04:49Z,JAI384,"28.303295,76.879257",7250,341,212
1545411901,2018-12-21T17:05:01Z,JAI384,"28.28746,76.867958",7700,342,212
1545411913,2018-12-21T17:05:13Z,JAI384,"28.270935,76.856339",8275,341,212
1545411926,2018-12-21T17:05:26Z,JAI384,"28.254684,76.844719",8750,342,212
1545411937,2018-12-21T17:05:37Z,JAI384,"28.238571,76.833252",9000,346,212
1545411950,2018-12-21T17:05:50Z,JAI384,"28.221828,76.821411",9325,351,212
1545411961,2018-12-21T17:06:01Z,JAI384,"28.205017,76.809273",9675,352,212
1545411973,2018-12-21T17:06:13Z,JAI384,"28.188963,76.797775",9900,353,212
1545411985,2018-12-21T17:06:25Z,JAI384,"28.172241,76.78598",10000,355,212
1545411997,2018-12-21T17:06:37Z,JAI384,"28.155258,76.773888",10000,354,212
1545412009,2018-12-21T17:06:49Z,JAI384,"28.13855,76.762054",10000,354,212
1545412021,2018-12-21T17:07:01Z,JAI384,"28.121887,76.750221",10000,353,212
1545412032,2018-12-21T17:07:12Z,JAI384,"28.105225,76.738396",10150,354,212
1545412046,2018-12-21T17:07:26Z,JAI384,"28.089569,76.727303",10475,355,212
1545412058,2018-12-21T17:07:38Z,JAI384,"28.071558,76.714462",10975,357,212
1545412071,2018-12-21T17:07:51Z,JAI384,"28.05455,76.702423",11500,358,212
1545412084,2018-12-21T17:08:04Z,JAI384,"28.037476,76.690331",11975,359,212
1545412096,2018-12-21T17:08:16Z,JAI384,"28.020401,76.67823",12500,359,212
1545412129,2018-12-21T17:08:49Z,JAI384,"27.973709,76.645065",13875,364,212
1545412159,2018-12-21T17:09:19Z,JAI384,"27.925943,76.611206",15100,372,212
1545412194,2018-12-21T17:09:54Z,JAI384,"27.877167,76.576729",16425,376,212
1545412226,2018-12-21T17:10:26Z,JAI384,"27.825348,76.54776",17600,385,204
1545412260,2018-12-21T17:11:00Z,JAI384,"27.770271,76.519196",18875,389,204
1545412319,2018-12-21T17:11:59Z,JAI384,"27.671768,76.468216",20975,398,204
1545412382,2018-12-21T17:13:02Z,JAI384,"27.56163,76.41095",22625,418,204
1545412446,2018-12-21T17:14:06Z,JAI384,"27.448549,76.352448",24325,429,204
1545412509,2018-12-21T17:15:09Z,JAI384,"27.333115,76.292587",25850,438,204
1545412572,2018-12-21T17:16:12Z,JAI384,"27.215788,76.232178",27125,448,204
1545412633,2018-12-21T17:17:13Z,JAI384,"27.099243,76.172462",28350,453,204
1545412698,2018-12-21T17:18:18Z,JAI384,"26.979767,76.111206",29875,444,204
1545412760,2018-12-21T17:19:20Z,JAI384,"26.863016,76.051643",31450,435,204
1545412793,2018-12-21T17:19:53Z,JAI384,"26.801241,76.020058",32000,436,204
