Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545497861,2018-12-22T16:57:41Z,JAI384,"28.548889,77.061066",1325,189,284
1545497867,2018-12-22T16:57:47Z,JAI384,"28.550301,77.05423",1525,192,284
1545497873,2018-12-22T16:57:53Z,JAI384,"28.551558,77.048195",1725,195,283
1545497881,2018-12-22T16:58:01Z,JAI384,"28.552256,77.039848",1875,203,271
1545497903,2018-12-22T16:58:23Z,JAI384,"28.543085,77.018311",2250,217,225
1545497909,2018-12-22T16:58:29Z,JAI384,"28.53764,77.01432",2375,222,213
1545497919,2018-12-22T16:58:39Z,JAI384,"28.528748,77.010941",2550,227,194
1545497946,2018-12-22T16:59:06Z,JAI384,"28.497789,77.012817",3075,259,178
1545497969,2018-12-22T16:59:29Z,JAI384,"28.469114,77.009583",4150,256,190
1545497975,2018-12-22T16:59:35Z,JAI384,"28.461945,77.008072",4400,257,190
1545497981,2018-12-22T16:59:41Z,JAI384,"28.455055,77.006409",4600,259,191
1545497993,2018-12-22T16:59:53Z,JAI384,"28.440531,77.002907",5075,260,192
1545498005,2018-12-22T17:00:05Z,JAI384,"28.426146,76.999352",5500,265,192
1545498018,2018-12-22T17:00:18Z,JAI384,"28.411623,76.99585",5925,268,191
1545498030,2018-12-22T17:00:30Z,JAI384,"28.396957,76.992401",6300,274,191
1545498040,2018-12-22T17:00:40Z,JAI384,"28.381735,76.988953",6725,278,191
1545498054,2018-12-22T17:00:54Z,JAI384,"28.366188,76.985512",7175,281,191
1545498064,2018-12-22T17:01:04Z,JAI384,"28.350407,76.981956",7375,293,191
1545498077,2018-12-22T17:01:17Z,JAI384,"28.333786,76.978188",7600,306,191
1545498089,2018-12-22T17:01:29Z,JAI384,"28.317307,76.972366",7800,318,199
1545498095,2018-12-22T17:01:35Z,JAI384,"28.308834,76.968224",7900,325,204
1545498101,2018-12-22T17:01:41Z,JAI384,"28.300594,76.963264",8025,330,209
1545498111,2018-12-22T17:01:51Z,JAI384,"28.2892,76.954422",8275,335,216
1545498119,2018-12-22T17:01:59Z,JAI384,"28.278017,76.94458",8600,337,218
1545498126,2018-12-22T17:02:06Z,JAI384,"28.270569,76.937958",8800,339,218
1545498137,2018-12-22T17:02:17Z,JAI384,"28.255579,76.924706",9250,341,218
1545498151,2018-12-22T17:02:31Z,JAI384,"28.240776,76.911354",9725,343,218
1545498163,2018-12-22T17:02:43Z,JAI384,"28.225321,76.897835",10175,347,218
1545498175,2018-12-22T17:02:55Z,JAI384,"28.210283,76.884369",10725,346,218
1545498185,2018-12-22T17:03:05Z,JAI384,"28.194672,76.869698",11250,349,218
1545498197,2018-12-22T17:03:17Z,JAI384,"28.179245,76.856178",11750,349,218
1545498209,2018-12-22T17:03:29Z,JAI384,"28.164001,76.842552",12300,349,218
1545498243,2018-12-22T17:04:03Z,JAI384,"28.122025,76.80632",13725,351,218
1545498275,2018-12-22T17:04:35Z,JAI384,"28.079287,76.768532",15100,356,218
1545498305,2018-12-22T17:05:05Z,JAI384,"28.038574,76.732269",16175,365,218
1545498339,2018-12-22T17:05:39Z,JAI384,"27.994049,76.693024",17400,371,218
1545498370,2018-12-22T17:06:10Z,JAI384,"27.952803,76.657051",18625,372,217
1545498434,2018-12-22T17:07:14Z,JAI384,"27.866409,76.58165",21000,375,217
1545498495,2018-12-22T17:08:15Z,JAI384,"27.776962,76.504951",21925,386,213
1545498557,2018-12-22T17:09:17Z,JAI384,"27.682938,76.434631",22450,392,213
1545498621,2018-12-22T17:10:21Z,JAI384,"27.586029,76.361771",24575,392,213
1545498685,2018-12-22T17:11:25Z,JAI384,"27.489841,76.291389",26450,392,211
1545498746,2018-12-22T17:12:26Z,JAI384,"27.394642,76.226631",27625,403,211
1545498807,2018-12-22T17:13:27Z,JAI384,"27.292557,76.156708",28700,414,211
1545498871,2018-12-22T17:14:31Z,JAI384,"27.187546,76.084465",30100,416,211
1545498934,2018-12-22T17:15:34Z,JAI384,"27.084412,76.013992",31550,413,211
1545498999,2018-12-22T17:16:39Z,JAI384,"26.980728,75.943977",33050,407,211
1545499060,2018-12-22T17:17:40Z,JAI384,"26.884056,75.877922",34025,400,211
1545499114,2018-12-22T17:18:34Z,JAI384,"26.795105,75.825821",34000,413,200
1545499178,2018-12-22T17:19:38Z,JAI384,"26.67634,75.774872",34000,411,200
1545499242,2018-12-22T17:20:42Z,JAI384,"26.563477,75.727409",34000,410,200
1545499306,2018-12-22T17:21:46Z,JAI384,"26.452194,75.680771",34025,409,200
1545499364,2018-12-22T17:22:44Z,JAI384,"26.343958,75.63485",34025,410,200
1545499410,2018-12-22T17:23:30Z,JAI384,"26.262909,75.600807",34025,414,200
1545499499,2018-12-22T17:24:59Z,JAI384,"26.10561,75.534599",34025,421,200
1545499538,2018-12-22T17:25:38Z,JAI384,"26.03096,75.503021",34025,423,200
1545499628,2018-12-22T17:27:08Z,JAI384,"25.864609,75.433632",34025,424,200
1545499691,2018-12-22T17:28:11Z,JAI384,"25.747856,75.385696",34025,424,200
1545499754,2018-12-22T17:29:14Z,JAI384,"25.630125,75.33709",34025,424,200
1545499815,2018-12-22T17:30:15Z,JAI384,"25.519192,75.291641",34025,423,200
1545499879,2018-12-22T17:31:19Z,JAI384,"25.40188,75.243446",34000,422,200
1545499939,2018-12-22T17:32:19Z,JAI384,"25.291319,75.19841",34025,420,200
1545500003,2018-12-22T17:33:23Z,JAI384,"25.175497,75.150734",34025,419,200
1545500065,2018-12-22T17:34:25Z,JAI384,"25.059631,75.104012",34025,419,200
1545500128,2018-12-22T17:35:28Z,JAI384,"24.944736,75.057144",34000,419,200
1545500191,2018-12-22T17:36:31Z,JAI384,"24.828781,75.010582",34025,420,200
1545500256,2018-12-22T17:37:36Z,JAI384,"24.711868,74.962975",34025,423,200
1545500315,2018-12-22T17:38:35Z,JAI384,"24.599991,74.918007",34025,428,200
1545500380,2018-12-22T17:39:40Z,JAI384,"24.480881,74.869896",34025,430,200
1545500441,2018-12-22T17:40:41Z,JAI384,"24.367813,74.824471",34025,432,200
1545500502,2018-12-22T17:41:42Z,JAI384,"24.247879,74.776054",34025,433,199
1545500568,2018-12-22T17:42:48Z,JAI384,"24.128164,74.728432",34025,434,200
1545500629,2018-12-22T17:43:49Z,JAI384,"24.014437,74.683189",34000,430,200
1545500689,2018-12-22T17:44:49Z,JAI384,"23.896334,74.635155",34025,428,200
1545500759,2018-12-22T17:45:59Z,JAI384,"23.768595,74.584366",34025,428,200
1545500825,2018-12-22T17:47:05Z,JAI384,"23.648491,74.536743",34000,428,200
1545500886,2018-12-22T17:48:06Z,JAI384,"23.531433,74.489899",34025,428,200
1545500950,2018-12-22T17:49:10Z,JAI384,"23.413914,74.442955",34025,430,199
1545501012,2018-12-22T17:50:12Z,JAI384,"23.293669,74.395088",34025,433,200
1545501075,2018-12-22T17:51:15Z,JAI384,"23.173141,74.347832",34025,435,200
1545501136,2018-12-22T17:52:16Z,JAI384,"23.058746,74.302788",34000,435,200
1545501199,2018-12-22T17:53:19Z,JAI384,"22.938538,74.254692",34025,436,199
1545501260,2018-12-22T17:54:20Z,JAI384,"22.823318,74.209846",34025,436,200
1545501323,2018-12-22T17:55:23Z,JAI384,"22.703064,74.161957",34025,435,200
1545501384,2018-12-22T17:56:24Z,JAI384,"22.58844,74.117119",34025,435,200
1545501447,2018-12-22T17:57:27Z,JAI384,"22.467316,74.069572",34025,434,199
1545501511,2018-12-22T17:58:31Z,JAI384,"22.347355,74.022926",34025,434,199
1545501570,2018-12-22T17:59:30Z,JAI384,"22.233255,73.978477",34000,436,199
1545501635,2018-12-22T18:00:35Z,JAI384,"22.111801,73.930969",34000,435,199
1545501697,2018-12-22T18:01:37Z,JAI384,"21.991013,73.884254",34025,438,199
1545501763,2018-12-22T18:02:43Z,JAI384,"21.869171,73.837227",34025,442,199
1545501824,2018-12-22T18:03:44Z,JAI384,"21.747116,73.790024",34025,445,199
1545501888,2018-12-22T18:04:48Z,JAI384,"21.62265,73.74173",34025,447,199
1545501951,2018-12-22T18:05:51Z,JAI384,"21.499498,73.694054",34025,447,199
1545502015,2018-12-22T18:06:55Z,JAI384,"21.374832,73.645836",34025,446,199
1545502074,2018-12-22T18:07:54Z,JAI384,"21.258266,73.601074",33900,444,199
1545502138,2018-12-22T18:08:58Z,JAI384,"21.135414,73.555046",32875,443,197
1545502201,2018-12-22T18:10:01Z,JAI384,"21.015078,73.514915",31900,451,197
1545502262,2018-12-22T18:11:02Z,JAI384,"20.887569,73.471916",30875,457,197
1545502323,2018-12-22T18:12:03Z,JAI384,"20.765045,73.43087",29925,464,197
1545502385,2018-12-22T18:13:05Z,JAI384,"20.634064,73.387344",28850,462,197
1545502454,2018-12-22T18:14:14Z,JAI384,"20.49614,73.341095",27675,453,197
1545502525,2018-12-22T18:15:25Z,JAI384,"20.35762,73.294487",25500,433,197
1545502585,2018-12-22T18:16:25Z,JAI384,"20.242588,73.256287",22625,416,197
1545502648,2018-12-22T18:17:28Z,JAI384,"20.129471,73.220741",19500,398,196
1545502711,2018-12-22T18:18:31Z,JAI384,"20.019882,73.193214",17175,388,185
1545502746,2018-12-22T18:19:06Z,JAI384,"19.956106,73.187622",16050,377,184
1545502780,2018-12-22T18:19:40Z,JAI384,"19.899265,73.182579",15350,362,184
1545502809,2018-12-22T18:20:09Z,JAI384,"19.848152,73.178032",14050,363,184
1545502843,2018-12-22T18:20:43Z,JAI384,"19.791964,73.172844",12725,361,184
1545502876,2018-12-22T18:21:16Z,JAI384,"19.73584,73.16806",11275,365,184
1545502886,2018-12-22T18:21:26Z,JAI384,"19.715515,73.166397",10875,364,184
1545502901,2018-12-22T18:21:41Z,JAI384,"19.694824,73.164726",10600,357,184
1545502911,2018-12-22T18:21:51Z,JAI384,"19.675919,73.163109",10450,347,184
1545502924,2018-12-22T18:22:04Z,JAI384,"19.656372,73.161591",10350,334,184
1545502936,2018-12-22T18:22:16Z,JAI384,"19.638519,73.160118",10250,323,184
1545502949,2018-12-22T18:22:29Z,JAI384,"19.620092,73.158607",10125,312,184
1545502960,2018-12-22T18:22:40Z,JAI384,"19.603148,73.157112",10000,304,184
1545502973,2018-12-22T18:22:53Z,JAI384,"19.586529,73.155663",9875,295,184
1545502985,2018-12-22T18:23:05Z,JAI384,"19.570328,73.154312",9775,286,184
1545502997,2018-12-22T18:23:17Z,JAI384,"19.554407,73.153069",9675,276,184
1545503008,2018-12-22T18:23:28Z,JAI384,"19.539463,73.15197",9425,272,183
1545503022,2018-12-22T18:23:42Z,JAI384,"19.52331,73.150818",9050,275,184
1545503032,2018-12-22T18:23:52Z,JAI384,"19.50832,73.149971",8725,276,181
1545503047,2018-12-22T18:24:07Z,JAI384,"19.492264,73.149521",8375,277,181
1545503057,2018-12-22T18:24:17Z,JAI384,"19.476992,73.149117",8100,276,181
1545503070,2018-12-22T18:24:30Z,JAI384,"19.461319,73.148689",7975,269,181
1545503081,2018-12-22T18:24:41Z,JAI384,"19.446716,73.148346",7975,258,181
1545503093,2018-12-22T18:24:53Z,JAI384,"19.432999,73.148018",7975,247,181
1545503107,2018-12-22T18:25:07Z,JAI384,"19.419159,73.147659",7975,235,181
1545503118,2018-12-22T18:25:18Z,JAI384,"19.406067,73.147362",7850,232,181
1545503130,2018-12-22T18:25:30Z,JAI384,"19.393021,73.147018",7700,230,181
1545503141,2018-12-22T18:25:41Z,JAI384,"19.380112,73.146729",7575,229,181
1545503156,2018-12-22T18:25:56Z,JAI384,"19.367432,73.146484",7425,229,181
1545503167,2018-12-22T18:26:07Z,JAI384,"19.354889,73.146187",7300,229,181
1545503178,2018-12-22T18:26:18Z,JAI384,"19.341524,73.145874",7150,228,181
1545503192,2018-12-22T18:26:32Z,JAI384,"19.328535,73.145576",7000,227,181
1545503203,2018-12-22T18:26:43Z,JAI384,"19.31592,73.145325",7000,225,180
1545503224,2018-12-22T18:27:04Z,JAI384,"19.295654,73.153053",7000,225,141
1545503233,2018-12-22T18:27:13Z,JAI384,"19.289665,73.160759",7000,228,123
1545503240,2018-12-22T18:27:20Z,JAI384,"19.286919,73.166801",7000,231,112
1545503247,2018-12-22T18:27:27Z,JAI384,"19.283752,73.176598",7000,234,107
1545503254,2018-12-22T18:27:34Z,JAI384,"19.281738,73.183167",7000,234,107
1545503260,2018-12-22T18:27:40Z,JAI384,"19.279587,73.189789",7000,234,107
1545503275,2018-12-22T18:27:55Z,JAI384,"19.274628,73.207199",7000,234,107
1545503287,2018-12-22T18:28:07Z,JAI384,"19.270569,73.220345",7000,234,107
1545503297,2018-12-22T18:28:17Z,JAI384,"19.266953,73.228828",7025,234,117
1545503303,2018-12-22T18:28:23Z,JAI384,"19.262339,73.235161",7025,232,129
1545503312,2018-12-22T18:28:32Z,JAI384,"19.254593,73.240898",7000,224,150
1545503319,2018-12-22T18:28:39Z,JAI384,"19.246582,73.244377",6925,219,157
1545503327,2018-12-22T18:28:47Z,JAI384,"19.241684,73.246681",6850,214,158
1545503337,2018-12-22T18:28:57Z,JAI384,"19.232025,73.250458",6725,208,158
1545503351,2018-12-22T18:29:11Z,JAI384,"19.219046,73.255936",6525,201,158
1545503363,2018-12-22T18:29:23Z,JAI384,"19.208477,73.260284",6350,197,158
1545503375,2018-12-22T18:29:35Z,JAI384,"19.19805,73.264473",6200,194,158
1545503384,2018-12-22T18:29:44Z,JAI384,"19.19014,73.266594",6100,193,171
1545503408,2018-12-22T18:30:08Z,JAI384,"19.171783,73.257523",5775,191,227
1545503414,2018-12-22T18:30:14Z,JAI384,"19.168442,73.253204",5700,193,230
1545503430,2018-12-22T18:30:30Z,JAI384,"19.15979,73.241432",5500,191,230
1545503442,2018-12-22T18:30:42Z,JAI384,"19.153061,73.232658",5375,191,230
1545503453,2018-12-22T18:30:53Z,JAI384,"19.146057,73.223976",5225,191,230
1545503465,2018-12-22T18:31:05Z,JAI384,"19.139191,73.21534",5075,190,229
1545503478,2018-12-22T18:31:18Z,JAI384,"19.132278,73.206856",4950,189,229
1545503484,2018-12-22T18:31:24Z,JAI384,"19.128799,73.202545",4900,188,229
1545503491,2018-12-22T18:31:31Z,JAI384,"19.125458,73.198326",4850,188,229
1545503503,2018-12-22T18:31:43Z,JAI384,"19.118637,73.189842",4700,189,229
