Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545584448,2018-12-23T17:00:48Z,JAI384,"28.552963,77.036552",1775,209,281
1545584474,2018-12-23T17:01:14Z,JAI384,"28.544312,77.011734",2525,219,223
1545584483,2018-12-23T17:01:23Z,JAI384,"28.535452,77.00592",2725,231,205
1545584493,2018-12-23T17:01:33Z,JAI384,"28.524046,77.00312",2925,246,186
1545584499,2018-12-23T17:01:39Z,JAI384,"28.518402,77.002594",3000,252,184
1545584508,2018-12-23T17:01:48Z,JAI384,"28.506088,77.001167",3225,267,186
1545584514,2018-12-23T17:01:54Z,JAI384,"28.499605,77.00032",3400,271,186
1545584523,2018-12-23T17:02:03Z,JAI384,"28.487316,76.99865",3825,274,186
1545584533,2018-12-23T17:02:13Z,JAI384,"28.474653,76.996819",4350,275,187
1545584548,2018-12-23T17:02:28Z,JAI384,"28.455322,76.994034",5175,272,187
1545584564,2018-12-23T17:02:44Z,JAI384,"28.437012,76.991234",5975,270,187
1545584578,2018-12-23T17:02:58Z,JAI384,"28.418465,76.988312",6650,271,187
1545584594,2018-12-23T17:03:14Z,JAI384,"28.399054,76.985405",6975,278,187
1545584608,2018-12-23T17:03:28Z,JAI384,"28.380249,76.982628",7000,280,187
1545584624,2018-12-23T17:03:44Z,JAI384,"28.360695,76.979691",7000,279,187
1545584639,2018-12-23T17:03:59Z,JAI384,"28.340816,76.976837",7000,279,187
1545584653,2018-12-23T17:04:13Z,JAI384,"28.32193,76.973701",7100,276,191
1545584659,2018-12-23T17:04:19Z,JAI384,"28.315613,76.971535",7250,275,197
1545584669,2018-12-23T17:04:29Z,JAI384,"28.303667,76.96537",7450,284,207
1545584679,2018-12-23T17:04:39Z,JAI384,"28.292448,76.95713",7600,294,215
1545584688,2018-12-23T17:04:48Z,JAI384,"28.281876,76.948082",7800,302,217
1545584694,2018-12-23T17:04:54Z,JAI384,"28.275642,76.942642",7900,310,217
1545584714,2018-12-23T17:05:14Z,JAI384,"28.252228,76.921043",8200,333,220
1545584726,2018-12-23T17:05:26Z,JAI384,"28.236912,76.906723",8475,343,219
1545584740,2018-12-23T17:05:40Z,JAI384,"28.221317,76.892555",9025,345,218
1545584755,2018-12-23T17:05:55Z,JAI384,"28.202602,76.875862",9575,349,218
1545584770,2018-12-23T17:06:10Z,JAI384,"28.183182,76.858818",10175,352,217
1545584784,2018-12-23T17:06:24Z,JAI384,"28.163773,76.841866",10750,355,217
1545584798,2018-12-23T17:06:38Z,JAI384,"28.144646,76.825134",11350,358,217
1545584814,2018-12-23T17:06:54Z,JAI384,"28.123837,76.806824",11975,360,217
1545584830,2018-12-23T17:07:10Z,JAI384,"28.103897,76.789261",12525,365,217
1545584864,2018-12-23T17:07:44Z,JAI384,"28.057732,76.748657",14175,364,217
1545584900,2018-12-23T17:08:20Z,JAI384,"28.00997,76.706596",15725,369,217
1545584935,2018-12-23T17:08:55Z,JAI384,"27.962906,76.665237",17300,369,217
1545584968,2018-12-23T17:09:28Z,JAI384,"27.916718,76.624718",18775,369,217
