Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545669302,2018-12-24T16:35:02Z,JAI384,"28.551315,77.044899",1700,194,282
1545669482,2018-12-24T16:38:02Z,JAI384,"28.336441,76.978455",5925,350,192
1545669495,2018-12-24T16:38:15Z,JAI384,"28.317074,76.971451",6150,350,201
1545669501,2018-12-24T16:38:21Z,JAI384,"28.308472,76.967049",6325,350,206
1545669507,2018-12-24T16:38:27Z,JAI384,"28.299618,76.961548",6475,350,210
1545669513,2018-12-24T16:38:33Z,JAI384,"28.291763,76.955742",6625,349,214
1545669519,2018-12-24T16:38:39Z,JAI384,"28.283752,76.948822",6825,349,218
1545669528,2018-12-24T16:38:48Z,JAI384,"28.2724,76.938683",7150,353,218
1545669534,2018-12-24T16:38:54Z,JAI384,"28.264517,76.931656",7350,355,218
1545669547,2018-12-24T16:39:07Z,JAI384,"28.248596,76.917503",7750,358,218
1545669559,2018-12-24T16:39:19Z,JAI384,"28.232758,76.90345",8150,363,218
1545669570,2018-12-24T16:39:30Z,JAI384,"28.217127,76.889595",8550,363,218
1545669582,2018-12-24T16:39:42Z,JAI384,"28.200989,76.875298",8950,361,218
1545669594,2018-12-24T16:39:54Z,JAI384,"28.185059,76.861198",9350,356,218
1545669607,2018-12-24T16:40:07Z,JAI384,"28.169312,76.847305",9725,360,218
1545669618,2018-12-24T16:40:18Z,JAI384,"28.153303,76.833206",10200,362,217
1545669630,2018-12-24T16:40:30Z,JAI384,"28.137941,76.819641",10700,363,218
1545669643,2018-12-24T16:40:43Z,JAI384,"28.121649,76.80526",11150,366,218
1545669655,2018-12-24T16:40:55Z,JAI384,"28.105728,76.791054",11600,368,218
1545669666,2018-12-24T16:41:06Z,JAI384,"28.089569,76.776634",12100,370,218
1545669697,2018-12-24T16:41:37Z,JAI384,"28.048279,76.740135",13300,376,217
1545669729,2018-12-24T16:42:09Z,JAI384,"28.002056,76.701424",14725,381,212
1545669743,2018-12-24T16:42:23Z,JAI384,"27.982269,76.689011",15225,387,207
1545669751,2018-12-24T16:42:31Z,JAI384,"27.96817,76.681351",15625,388,205
1545669788,2018-12-24T16:43:08Z,JAI384,"27.908844,76.649384",17100,393,205
1545669821,2018-12-24T16:43:41Z,JAI384,"27.854998,76.620392",18500,394,205
1545669883,2018-12-24T16:44:43Z,JAI384,"27.748812,76.563454",20125,398,205
1545669948,2018-12-24T16:45:48Z,JAI384,"27.641235,76.505417",21475,413,205
1545670008,2018-12-24T16:46:48Z,JAI384,"27.530668,76.446091",22750,417,205
1545670070,2018-12-24T16:47:50Z,JAI384,"27.426636,76.390739",24875,407,205
1545670133,2018-12-24T16:48:53Z,JAI384,"27.319199,76.333214",26550,405,205
1545670197,2018-12-24T16:49:57Z,JAI384,"27.211487,76.275696",27775,412,205
1545670257,2018-12-24T16:50:57Z,JAI384,"27.107786,76.220612",29075,413,205
1545670320,2018-12-24T16:52:00Z,JAI384,"26.99704,76.162193",30600,408,205
1545670383,2018-12-24T16:53:03Z,JAI384,"26.889549,76.105255",31650,403,205
1545670445,2018-12-24T16:54:05Z,JAI384,"26.786316,76.050575",32000,400,205
1545670508,2018-12-24T16:55:08Z,JAI384,"26.680902,75.995178",32000,400,205
1545670572,2018-12-24T16:56:12Z,JAI384,"26.572716,75.938026",31975,399,205
1545670635,2018-12-24T16:57:15Z,JAI384,"26.466202,75.882156",31975,400,205
1545670698,2018-12-24T16:58:18Z,JAI384,"26.361786,75.827324",32000,403,205
