Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545848959,2018-12-26T18:29:19Z,JAI384,"28.551178,77.049446",1600,198,285
1545848967,2018-12-26T18:29:27Z,JAI384,"28.552826,77.042419",1825,199,285
1545848995,2018-12-26T18:29:55Z,JAI384,"28.542713,77.018364",2625,205,208
1545849003,2018-12-26T18:30:03Z,JAI384,"28.534195,77.015831",2750,215,186
1545849012,2018-12-26T18:30:12Z,JAI384,"28.525543,77.015533",2825,226,180
1545849019,2018-12-26T18:30:19Z,JAI384,"28.516159,77.015266",2925,233,182
1545849026,2018-12-26T18:30:26Z,JAI384,"28.508684,77.014587",3050,240,185
1545849032,2018-12-26T18:30:32Z,JAI384,"28.502584,77.01384",3175,245,186
1545849038,2018-12-26T18:30:38Z,JAI384,"28.494719,77.012596",3275,254,188
1545849044,2018-12-26T18:30:44Z,JAI384,"28.488108,77.01136",3425,258,189
1545849050,2018-12-26T18:30:50Z,JAI384,"28.480865,77.00988",3625,261,190
1545849058,2018-12-26T18:30:58Z,JAI384,"28.473537,77.008347",3850,262,190
1545849067,2018-12-26T18:31:07Z,JAI384,"28.459663,77.005219",4350,264,191
1545849075,2018-12-26T18:31:15Z,JAI384,"28.451843,77.003387",4625,265,191
1545849086,2018-12-26T18:31:26Z,JAI384,"28.43692,77.000008",5125,267,191
1545849099,2018-12-26T18:31:39Z,JAI384,"28.422468,76.996605",5325,280,191
1545849111,2018-12-26T18:31:51Z,JAI384,"28.406408,76.992943",5550,292,191
1545849122,2018-12-26T18:32:02Z,JAI384,"28.390274,76.989388",5750,304,191
1545849134,2018-12-26T18:32:14Z,JAI384,"28.373077,76.985672",5950,316,190
1545849146,2018-12-26T18:32:26Z,JAI384,"28.356125,76.982101",6425,317,190
1545849159,2018-12-26T18:32:39Z,JAI384,"28.337883,76.978348",7000,317,190
1545849172,2018-12-26T18:32:52Z,JAI384,"28.320969,76.973381",7500,316,198
1545849184,2018-12-26T18:33:04Z,JAI384,"28.304878,76.965263",8000,314,207
1545849192,2018-12-26T18:33:12Z,JAI384,"28.293777,76.957382",8325,314,214
1545849201,2018-12-26T18:33:21Z,JAI384,"28.283184,76.948082",8700,314,218
1545849207,2018-12-26T18:33:27Z,JAI384,"28.276611,76.942223",8925,316,218
1545849214,2018-12-26T18:33:34Z,JAI384,"28.269196,76.935616",9150,319,218
1545849225,2018-12-26T18:33:45Z,JAI384,"28.255486,76.923309",9550,323,218
1545849238,2018-12-26T18:33:58Z,JAI384,"28.241287,76.910706",10100,324,217
1545849249,2018-12-26T18:34:09Z,JAI384,"28.22644,76.897644",10675,326,218
1545849260,2018-12-26T18:34:20Z,JAI384,"28.212984,76.885719",11150,329,218
1545849275,2018-12-26T18:34:35Z,JAI384,"28.19751,76.872025",11675,331,218
1545849285,2018-12-26T18:34:45Z,JAI384,"28.183563,76.859703",12225,332,218
1545849319,2018-12-26T18:35:19Z,JAI384,"28.142504,76.82341",13775,337,218
1545849353,2018-12-26T18:35:53Z,JAI384,"28.101242,76.787247",15375,339,217
1545849385,2018-12-26T18:36:25Z,JAI384,"28.060043,76.751015",16825,344,218
1545849418,2018-12-26T18:36:58Z,JAI384,"28.018581,76.714409",18425,341,218
1545849478,2018-12-26T18:37:58Z,JAI384,"27.944004,76.648376",20975,344,218
1545849541,2018-12-26T18:39:01Z,JAI384,"27.862957,76.5774",23275,351,217
1545849603,2018-12-26T18:40:03Z,JAI384,"27.782003,76.508896",25300,361,213
1545849668,2018-12-26T18:41:08Z,JAI384,"27.690628,76.439865",27025,371,213
1545849727,2018-12-26T18:42:07Z,JAI384,"27.603802,76.374626",28625,375,213
1545849791,2018-12-26T18:43:11Z,JAI384,"27.511534,76.306389",30150,381,211
1545849854,2018-12-26T18:44:14Z,JAI384,"27.416382,76.241051",31425,384,211
1545849917,2018-12-26T18:45:17Z,JAI384,"27.31811,76.173439",31975,397,211
1545849982,2018-12-26T18:46:22Z,JAI384,"27.21793,76.105095",31975,398,211
1545850044,2018-12-26T18:47:24Z,JAI384,"27.118355,76.03701",31975,401,211
1545850107,2018-12-26T18:48:27Z,JAI384,"27.019245,75.969406",32000,401,211
1545850171,2018-12-26T18:49:31Z,JAI384,"26.917282,75.900497",31975,403,211
1545850232,2018-12-26T18:50:32Z,JAI384,"26.817444,75.835564",32000,411,205
1545850242,2018-12-26T18:50:42Z,JAI384,"26.797842,75.82653",32000,418,201
1545850306,2018-12-26T18:51:46Z,JAI384,"26.682812,75.777672",32000,419,200
1545850370,2018-12-26T18:52:50Z,JAI384,"26.568237,75.729019",31975,417,200
1545850431,2018-12-26T18:53:51Z,JAI384,"26.455404,75.681274",32000,415,200
1545850881,2018-12-26T19:01:21Z,JAI384,"25.646746,75.343102",32000,407,200
1545850947,2018-12-26T19:02:27Z,JAI384,"25.531389,75.295677",32000,403,200
1545851152,2018-12-26T19:05:52Z,JAI384,"25.167816,75.146851",31975,410,200
1545851205,2018-12-26T19:06:45Z,JAI384,"25.07135,75.107574",32000,413,200
1545851387,2018-12-26T19:09:47Z,JAI384,"24.741444,74.973343",31975,423,200
1545851449,2018-12-26T19:10:49Z,JAI384,"24.62851,74.927727",32000,424,200
1545851467,2018-12-26T19:11:07Z,JAI384,"24.592255,74.913078",31975,426,200
1545851540,2018-12-26T19:12:20Z,JAI384,"24.458954,74.859215",32000,425,200
1545851627,2018-12-26T19:13:47Z,JAI384,"24.295195,74.793266",32000,428,200
1545851689,2018-12-26T19:14:49Z,JAI384,"24.180162,74.74704",32000,428,200
1545851755,2018-12-26T19:15:55Z,JAI384,"24.059406,74.698685",32000,424,200
1545851849,2018-12-26T19:17:29Z,JAI384,"23.884464,74.628624",32000,423,200
1545851913,2018-12-26T19:18:33Z,JAI384,"23.76799,74.582085",32000,423,200
1545851972,2018-12-26T19:19:32Z,JAI384,"23.657227,74.538017",32000,426,200
1545852036,2018-12-26T19:20:36Z,JAI384,"23.537842,74.490448",32000,428,200
1545852096,2018-12-26T19:21:36Z,JAI384,"23.424435,74.445496",31975,430,200
