Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546189123,2018-12-30T16:58:43Z,JAI384,"28.550812,77.047119",1400,196,282
1546189272,2018-12-30T17:01:12Z,JAI384,"28.417236,76.994034",5075,301,189
1546189284,2018-12-30T17:01:24Z,JAI384,"28.400162,76.990761",5300,313,189
1546189296,2018-12-30T17:01:36Z,JAI384,"28.382109,76.987289",5500,325,189
1546189309,2018-12-30T17:01:49Z,JAI384,"28.36441,76.983788",5775,334,190
1546189320,2018-12-30T17:02:00Z,JAI384,"28.345551,76.979988",6250,336,190
1546189333,2018-12-30T17:02:13Z,JAI384,"28.328064,76.975708",6750,335,195
1546189339,2018-12-30T17:02:19Z,JAI384,"28.317993,76.971909",7025,336,200
1546189348,2018-12-30T17:02:28Z,JAI384,"28.305716,76.96553",7400,334,207
1546189355,2018-12-30T17:02:35Z,JAI384,"28.29715,76.959824",7650,335,212
1546189362,2018-12-30T17:02:42Z,JAI384,"28.287374,76.951904",7950,335,217
1546189368,2018-12-30T17:02:48Z,JAI384,"28.27858,76.944122",8275,335,218
1546189375,2018-12-30T17:02:55Z,JAI384,"28.271406,76.937798",8525,336,217
1546189390,2018-12-30T17:03:10Z,JAI384,"28.252321,76.92083",9150,339,218
1546189403,2018-12-30T17:03:23Z,JAI384,"28.23761,76.907745",9575,343,218
1546189414,2018-12-30T17:03:34Z,JAI384,"28.222387,76.894226",10075,345,218
1546189426,2018-12-30T17:03:46Z,JAI384,"28.207123,76.880737",10575,347,218
1546189438,2018-12-30T17:03:58Z,JAI384,"28.192245,76.867432",11100,349,218
1546189452,2018-12-30T17:04:12Z,JAI384,"28.176453,76.853539",11625,351,218
1546189462,2018-12-30T17:04:22Z,JAI384,"28.161118,76.839966",12175,353,218
1546189492,2018-12-30T17:04:52Z,JAI384,"28.12365,76.806824",13500,356,218
1546189526,2018-12-30T17:05:26Z,JAI384,"28.077843,76.766319",15125,361,218
1546189558,2018-12-30T17:05:58Z,JAI384,"28.035278,76.729095",16425,370,217
1546189581,2018-12-30T17:06:21Z,JAI384,"28.002289,76.706276",17350,382,207
1546189587,2018-12-30T17:06:27Z,JAI384,"27.992653,76.70105",17600,385,205
1546189594,2018-12-30T17:06:34Z,JAI384,"27.982643,76.69561",17850,385,205
1546189624,2018-12-30T17:07:04Z,JAI384,"27.929489,76.666954",19125,393,205
1546189689,2018-12-30T17:08:09Z,JAI384,"27.824158,76.610001",21525,402,205
1546189747,2018-12-30T17:09:07Z,JAI384,"27.722742,76.555267",23400,415,205
1546189814,2018-12-30T17:10:14Z,JAI384,"27.605118,76.491844",25225,430,205
1546189875,2018-12-30T17:11:15Z,JAI384,"27.493378,76.431992",26900,436,205
1546189938,2018-12-30T17:12:18Z,JAI384,"27.380165,76.37114",28625,436,205
1546190003,2018-12-30T17:13:23Z,JAI384,"27.263672,76.308807",30300,433,205
1546190064,2018-12-30T17:14:24Z,JAI384,"27.149824,76.247917",31850,429,205
1546190128,2018-12-30T17:15:28Z,JAI384,"27.036842,76.187706",33350,424,205
1546190190,2018-12-30T17:16:30Z,JAI384,"26.932518,76.132294",35175,402,205
1546190250,2018-12-30T17:17:30Z,JAI384,"26.831818,76.0783",36025,404,205
1546190310,2018-12-30T17:18:30Z,JAI384,"26.723831,76.021294",36000,409,205
1546190371,2018-12-30T17:19:31Z,JAI384,"26.62088,75.967194",35975,409,205
1546190435,2018-12-30T17:20:35Z,JAI384,"26.51285,75.910194",35975,409,205
1546190499,2018-12-30T17:21:39Z,JAI384,"26.402847,75.852303",36000,410,205
1546190563,2018-12-30T17:22:43Z,JAI384,"26.294312,75.795197",36000,411,205
1546190625,2018-12-30T17:23:45Z,JAI384,"26.186611,75.738586",36000,413,205
1546190687,2018-12-30T17:24:47Z,JAI384,"26.076796,75.681328",36000,414,205
1546190750,2018-12-30T17:25:50Z,JAI384,"25.966,75.623383",36000,415,205
1546190814,2018-12-30T17:26:54Z,JAI384,"25.854879,75.565178",36000,417,205
1546190876,2018-12-30T17:27:56Z,JAI384,"25.743484,75.507607",36000,418,205
1546190941,2018-12-30T17:29:01Z,JAI384,"25.632034,75.449799",36000,419,205
1546191003,2018-12-30T17:30:03Z,JAI384,"25.520403,75.392021",35975,420,205
1546191064,2018-12-30T17:31:04Z,JAI384,"25.413704,75.336876",36000,420,205
1546191127,2018-12-30T17:32:07Z,JAI384,"25.305471,75.281174",36000,420,205
1546191188,2018-12-30T17:33:08Z,JAI384,"25.19463,75.224113",36000,421,204
1546191251,2018-12-30T17:34:11Z,JAI384,"25.086256,75.168564",36000,420,204
1546191314,2018-12-30T17:35:14Z,JAI384,"24.974112,75.111038",36000,420,205
1546191374,2018-12-30T17:36:14Z,JAI384,"24.867233,75.056305",36000,419,205
1546191437,2018-12-30T17:37:17Z,JAI384,"24.755402,74.999184",36000,418,204
1546191500,2018-12-30T17:38:20Z,JAI384,"24.648619,74.944794",36000,419,204
1546191562,2018-12-30T17:39:22Z,JAI384,"24.534714,74.890999",36000,427,200
1546191626,2018-12-30T17:40:26Z,JAI384,"24.416748,74.843498",35975,428,199
1546191688,2018-12-30T17:41:28Z,JAI384,"24.297592,74.796089",36000,429,200
1546191754,2018-12-30T17:42:34Z,JAI384,"24.178391,74.74823",36000,429,200
1546191812,2018-12-30T17:43:32Z,JAI384,"24.065186,74.702759",36000,429,200
1546191877,2018-12-30T17:44:37Z,JAI384,"23.946331,74.655212",36000,427,200
1546191936,2018-12-30T17:45:36Z,JAI384,"23.833954,74.610176",35975,424,200
1546191999,2018-12-30T17:46:39Z,JAI384,"23.721817,74.565483",35975,422,200
1546192063,2018-12-30T17:47:43Z,JAI384,"23.604858,74.518791",35975,422,200
1546192124,2018-12-30T17:48:44Z,JAI384,"23.488449,74.47242",36000,422,200
1546192187,2018-12-30T17:49:47Z,JAI384,"23.376846,74.428032",36000,422,200
1546192248,2018-12-30T17:50:48Z,JAI384,"23.264341,74.383446",36000,422,200
1546192311,2018-12-30T17:51:51Z,JAI384,"23.147964,74.337341",36000,422,200
1546192371,2018-12-30T17:52:51Z,JAI384,"23.035767,74.293045",36000,422,200
1546192434,2018-12-30T17:53:54Z,JAI384,"22.919157,74.247131",36000,422,200
1546192496,2018-12-30T17:54:56Z,JAI384,"22.807846,74.203156",35975,423,200
1546192558,2018-12-30T17:55:58Z,JAI384,"22.690109,74.156868",36000,425,200
1546192620,2018-12-30T17:57:00Z,JAI384,"22.577183,74.112648",36000,428,199
1546192679,2018-12-30T17:57:59Z,JAI384,"22.463596,74.068146",36000,430,199
1546192740,2018-12-30T17:59:00Z,JAI384,"22.349264,74.023537",36000,432,200
1546192803,2018-12-30T18:00:03Z,JAI384,"22.23023,73.976997",36000,433,200
1546192866,2018-12-30T18:01:06Z,JAI384,"22.112965,73.931328",35975,433,199
1546192928,2018-12-30T18:02:08Z,JAI384,"21.992441,73.884331",36000,432,199
1546192992,2018-12-30T18:03:12Z,JAI384,"21.873407,73.838097",35975,431,199
1546193053,2018-12-30T18:04:13Z,JAI384,"21.759726,73.794304",35975,430,199
1546193116,2018-12-30T18:05:16Z,JAI384,"21.641373,73.748375",35975,430,199
1546193177,2018-12-30T18:06:17Z,JAI384,"21.527431,73.704376",36000,431,199
1546193242,2018-12-30T18:07:22Z,JAI384,"21.408583,73.658501",36000,432,199
1546193305,2018-12-30T18:08:25Z,JAI384,"21.288431,73.612312",35975,434,199
1546193366,2018-12-30T18:09:26Z,JAI384,"21.173355,73.568001",35975,436,199
1546193424,2018-12-30T18:10:24Z,JAI384,"21.056555,73.528496",35625,438,197
1546193488,2018-12-30T18:11:28Z,JAI384,"20.934402,73.48745",34650,422,197
1546193548,2018-12-30T18:12:28Z,JAI384,"20.825935,73.451096",33225,394,197
1546193609,2018-12-30T18:13:29Z,JAI384,"20.723055,73.416534",31525,377,197
1546193671,2018-12-30T18:14:31Z,JAI384,"20.618912,73.381851",29350,373,197
1546193732,2018-12-30T18:15:32Z,JAI384,"20.517061,73.347824",26975,380,197
1546193796,2018-12-30T18:16:36Z,JAI384,"20.411133,73.312653",24925,375,197
1546193857,2018-12-30T18:17:37Z,JAI384,"20.312883,73.279854",23300,360,197
1546193920,2018-12-30T18:18:40Z,JAI384,"20.213745,73.247368",21700,344,196
1546193981,2018-12-30T18:19:41Z,JAI384,"20.121872,73.218285",20100,334,196
1546194040,2018-12-30T18:20:40Z,JAI384,"20.030319,73.193275",18300,338,185
1546194047,2018-12-30T18:20:47Z,JAI384,"20.021698,73.192513",18200,337,184
1546194113,2018-12-30T18:21:53Z,JAI384,"19.921658,73.183876",16900,315,184
1546194147,2018-12-30T18:22:27Z,JAI384,"19.873535,73.179787",15975,318,184
1546194178,2018-12-30T18:22:58Z,JAI384,"19.829298,73.17614",15225,315,184
1546194211,2018-12-30T18:23:31Z,JAI384,"19.780512,73.172043",14450,312,184
1546194242,2018-12-30T18:24:02Z,JAI384,"19.735748,73.168304",13800,305,184
1546194277,2018-12-30T18:24:37Z,JAI384,"19.686722,73.16404",12975,302,184
1546194315,2018-12-30T18:25:15Z,JAI384,"19.632339,73.159576",12050,300,184
1546194351,2018-12-30T18:25:51Z,JAI384,"19.585644,73.155609",11975,296,184
1546194359,2018-12-30T18:25:59Z,JAI384,"19.572281,73.15448",11975,297,184
1546194396,2018-12-30T18:26:36Z,JAI384,"19.523684,73.150368",12000,298,184
1546194430,2018-12-30T18:27:10Z,JAI384,"19.476334,73.148834",11800,299,181
1546194440,2018-12-30T18:27:20Z,JAI384,"19.459906,73.148521",11600,297,181
1546194453,2018-12-30T18:27:33Z,JAI384,"19.443558,73.148148",11400,294,181
1546194472,2018-12-30T18:27:52Z,JAI384,"19.419067,73.147614",11125,292,181
1546194486,2018-12-30T18:28:06Z,JAI384,"19.400116,73.147217",10975,291,180
1546194539,2018-12-30T18:28:59Z,JAI384,"19.329437,73.145699",10300,282,181
1546194548,2018-12-30T18:29:08Z,JAI384,"19.314896,73.145271",10175,277,181
1546194560,2018-12-30T18:29:20Z,JAI384,"19.300415,73.144867",10100,272,181
1546194576,2018-12-30T18:29:36Z,JAI384,"19.281099,73.144325",9975,261,181
1546194589,2018-12-30T18:29:49Z,JAI384,"19.264435,73.143982",9900,257,181
1546194619,2018-12-30T18:30:19Z,JAI384,"19.229919,73.150948",9450,248,146
1546194626,2018-12-30T18:30:26Z,JAI384,"19.224243,73.155853",9350,246,136
1546194632,2018-12-30T18:30:32Z,JAI384,"19.219929,73.161201",9250,245,126
1546194639,2018-12-30T18:30:39Z,JAI384,"19.216484,73.167397",9175,244,116
1546194648,2018-12-30T18:30:48Z,JAI384,"19.213257,73.177872",9025,243,102
1546194675,2018-12-30T18:31:15Z,JAI384,"19.213486,73.210533",8875,243,89
1546194686,2018-12-30T18:31:26Z,JAI384,"19.213505,73.224579",8725,246,90
1546194699,2018-12-30T18:31:39Z,JAI384,"19.213394,73.240059",8550,247,90
1546194710,2018-12-30T18:31:50Z,JAI384,"19.213303,73.254578",8350,248,90
1546194722,2018-12-30T18:32:02Z,JAI384,"19.21332,73.269173",8175,247,89
1546194735,2018-12-30T18:32:15Z,JAI384,"19.21344,73.283417",7975,246,89
1546194747,2018-12-30T18:32:27Z,JAI384,"19.213577,73.298332",7775,242,89
1546194761,2018-12-30T18:32:41Z,JAI384,"19.21376,73.31221",7600,240,89
1546194774,2018-12-30T18:32:54Z,JAI384,"19.213989,73.326576",7425,235,89
1546194797,2018-12-30T18:33:17Z,JAI384,"19.20764,73.352066",7075,231,127
1546194805,2018-12-30T18:33:25Z,JAI384,"19.19989,73.358948",6975,235,148
1546194815,2018-12-30T18:33:35Z,JAI384,"19.190556,73.362358",6975,240,168
1546194822,2018-12-30T18:33:42Z,JAI384,"19.183851,73.362854",6975,242,178
1546194864,2018-12-30T18:34:24Z,JAI384,"19.140791,73.342628",6975,252,230
1546194876,2018-12-30T18:34:36Z,JAI384,"19.131912,73.331291",7000,243,230
1546194887,2018-12-30T18:34:47Z,JAI384,"19.123472,73.320404",7000,230,230
1546194900,2018-12-30T18:35:00Z,JAI384,"19.115936,73.310738",6975,223,230
1546194912,2018-12-30T18:35:12Z,JAI384,"19.107645,73.300079",6900,217,230
1546194924,2018-12-30T18:35:24Z,JAI384,"19.100801,73.289497",6625,219,246
1546194930,2018-12-30T18:35:30Z,JAI384,"19.09894,73.283203",6550,217,255
1546194936,2018-12-30T18:35:36Z,JAI384,"19.097626,73.277138",6450,215,258
1546194943,2018-12-30T18:35:43Z,JAI384,"19.096565,73.270622",6350,213,260
1546194958,2018-12-30T18:35:58Z,JAI384,"19.094145,73.255035",6100,210,261
1546194971,2018-12-30T18:36:11Z,JAI384,"19.092636,73.243057",6025,201,263
1546194984,2018-12-30T18:36:24Z,JAI384,"19.092283,73.23082",5750,202,271
1546194991,2018-12-30T18:36:31Z,JAI384,"19.092562,73.221878",5600,200,272
1546194998,2018-12-30T18:36:38Z,JAI384,"19.092794,73.215736",5500,199,272
1546195011,2018-12-30T18:36:51Z,JAI384,"19.093121,73.20385",5275,198,271
1546195021,2018-12-30T18:37:01Z,JAI384,"19.09326,73.192413",5075,196,269
1546195035,2018-12-30T18:37:15Z,JAI384,"19.093094,73.180916",4825,195,268
1546195046,2018-12-30T18:37:26Z,JAI384,"19.092842,73.169342",4600,194,268
1546195053,2018-12-30T18:37:33Z,JAI384,"19.092728,73.163551",4500,194,268
1546195064,2018-12-30T18:37:44Z,JAI384,"19.092545,73.152168",4350,189,268
1546195070,2018-12-30T18:37:50Z,JAI384,"19.092407,73.146629",4250,188,268
1546195080,2018-12-30T18:38:00Z,JAI384,"19.092224,73.138145",4100,187,269
1546195088,2018-12-30T18:38:08Z,JAI384,"19.09219,73.132538",3975,187,269
1546195099,2018-12-30T18:38:19Z,JAI384,"19.091995,73.121025",3725,188,269
1546195110,2018-12-30T18:38:30Z,JAI384,"19.091911,73.109772",3500,187,269
1546195117,2018-12-30T18:38:37Z,JAI384,"19.091812,73.104012",3400,187,269
1546195125,2018-12-30T18:38:45Z,JAI384,"19.09177,73.098633",3275,187,269
1546195135,2018-12-30T18:38:55Z,JAI384,"19.091631,73.087448",3025,188,269
1546195141,2018-12-30T18:39:01Z,JAI384,"19.091537,73.081902",2925,188,269
1546195147,2018-12-30T18:39:07Z,JAI384,"19.091492,73.076103",2825,189,269
1546195154,2018-12-30T18:39:14Z,JAI384,"19.091354,73.070267",2800,188,268
1546195162,2018-12-30T18:39:22Z,JAI384,"19.091263,73.062172",2800,186,269
1546195168,2018-12-30T18:39:28Z,JAI384,"19.091263,73.056725",2800,185,269
1546195179,2018-12-30T18:39:39Z,JAI384,"19.091171,73.04805",2800,186,269
1546195191,2018-12-30T18:39:51Z,JAI384,"19.091026,73.03701",2725,189,269
1546195200,2018-12-30T18:40:00Z,JAI384,"19.090942,73.028381",2625,185,269
1546195212,2018-12-30T18:40:12Z,JAI384,"19.090794,73.017883",2425,179,269
1546195224,2018-12-30T18:40:24Z,JAI384,"19.090654,73.007248",2200,176,269
1546195231,2018-12-30T18:40:31Z,JAI384,"19.090561,73.002106",2125,173,269
1546195245,2018-12-30T18:40:45Z,JAI384,"19.090393,72.989143",1925,171,269
1546195268,2018-12-30T18:41:08Z,JAI384,"19.090141,72.971443",1600,170,269
1546195275,2018-12-30T18:41:15Z,JAI384,"19.090048,72.9646",1500,170,268
1546195289,2018-12-30T18:41:29Z,JAI384,"19.089909,72.954361",1325,169,269
1546195303,2018-12-30T18:41:43Z,JAI384,"19.089661,72.94162",1075,169,268
1546195309,2018-12-30T18:41:49Z,JAI384,"19.089582,72.936638",1000,166,269
1546195315,2018-12-30T18:41:55Z,JAI384,"19.089537,72.931793",900,166,269
1546195333,2018-12-30T18:42:13Z,JAI384,"19.089386,72.916557",650,167,268
1546195343,2018-12-30T18:42:23Z,JAI384,"19.089294,72.908752",500,167,269
