Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546275131,2018-12-31T16:52:11Z,JAI384,"28.480146,77.009529",4250,274,188
1546275142,2018-12-31T16:52:22Z,JAI384,"28.464478,77.006554",4775,280,190
1546275150,2018-12-31T16:52:30Z,JAI384,"28.456871,77.004951",5000,284,190
1546275159,2018-12-31T16:52:39Z,JAI384,"28.440903,77.001434",5250,301,191
1546275172,2018-12-31T16:52:52Z,JAI384,"28.423828,76.997574",5450,319,191
1546275184,2018-12-31T16:53:04Z,JAI384,"28.405804,76.993645",5700,333,190
1546275197,2018-12-31T16:53:17Z,JAI384,"28.38707,76.989601",6050,343,190
1546275208,2018-12-31T16:53:28Z,JAI384,"28.369034,76.985641",6500,347,191
1546275222,2018-12-31T16:53:42Z,JAI384,"28.348776,76.980934",7175,348,192
1546275233,2018-12-31T16:53:53Z,JAI384,"28.330627,76.975128",7900,343,198
1546275241,2018-12-31T16:54:01Z,JAI384,"28.317261,76.969513",8375,342,201
1546275249,2018-12-31T16:54:09Z,JAI384,"28.307968,76.964882",8700,341,204
1546275258,2018-12-31T16:54:18Z,JAI384,"28.295334,76.957886",9150,340,206
1546275269,2018-12-31T16:54:29Z,JAI384,"28.278305,76.948189",9675,344,206
1546275279,2018-12-31T16:54:39Z,JAI384,"28.261818,76.938599",10200,343,207
1546275291,2018-12-31T16:54:51Z,JAI384,"28.245663,76.928963",10725,345,207
1546275305,2018-12-31T16:55:05Z,JAI384,"28.22699,76.91787",11400,344,207
1546275316,2018-12-31T16:55:16Z,JAI384,"28.209732,76.90773",11925,347,207
1546275328,2018-12-31T16:55:28Z,JAI384,"28.192749,76.897957",12350,353,206
1546275362,2018-12-31T16:56:02Z,JAI384,"28.143295,76.870049",13600,367,206
1546275396,2018-12-31T16:56:36Z,JAI384,"28.091763,76.841125",15125,372,206
1546275429,2018-12-31T16:57:09Z,JAI384,"28.041046,76.81234",16625,378,206
1546275461,2018-12-31T16:57:41Z,JAI384,"27.988037,76.782234",18075,383,206
1546275524,2018-12-31T16:58:44Z,JAI384,"27.885727,76.724159",20575,395,206
1546275584,2018-12-31T16:59:44Z,JAI384,"27.786892,76.668198",22850,400,206
1546275648,2018-12-31T17:00:48Z,JAI384,"27.679184,76.6073",24750,414,206
1546275712,2018-12-31T17:01:52Z,JAI384,"27.569027,76.545128",26475,424,206
1546275774,2018-12-31T17:02:54Z,JAI384,"27.45772,76.482697",28350,423,206
1546275837,2018-12-31T17:03:57Z,JAI384,"27.349548,76.422035",30450,407,206
1546275899,2018-12-31T17:04:59Z,JAI384,"27.24991,76.366127",32150,399,206
1546275963,2018-12-31T17:06:03Z,JAI384,"27.139343,76.304192",33400,403,206
1546276028,2018-12-31T17:07:08Z,JAI384,"27.031403,76.24424",34000,406,206
1546276090,2018-12-31T17:08:10Z,JAI384,"26.925293,76.185265",33975,405,206
1546276151,2018-12-31T17:09:11Z,JAI384,"26.827311,76.130714",34000,404,206
1546276215,2018-12-31T17:10:15Z,JAI384,"26.718937,76.070602",34000,402,206
1546276277,2018-12-31T17:11:17Z,JAI384,"26.615311,76.013084",34000,401,206
1546276340,2018-12-31T17:12:20Z,JAI384,"26.509031,75.954506",34000,402,206
1546276402,2018-12-31T17:13:22Z,JAI384,"26.40358,75.896454",34000,402,206
1546276464,2018-12-31T17:14:24Z,JAI384,"26.301596,75.840416",34000,405,206
1546276527,2018-12-31T17:15:27Z,JAI384,"26.194473,75.78167",34000,406,206
1546276591,2018-12-31T17:16:31Z,JAI384,"26.086477,75.72242",34000,409,206
1546276653,2018-12-31T17:17:33Z,JAI384,"25.982208,75.665535",34000,409,206
1546276758,2018-12-31T17:19:18Z,JAI384,"25.805208,75.569252",34000,408,206
1546276817,2018-12-31T17:20:17Z,JAI384,"25.700094,75.511887",34000,410,206
1546276882,2018-12-31T17:21:22Z,JAI384,"25.591644,75.45298",34000,408,206
1546276942,2018-12-31T17:22:22Z,JAI384,"25.48842,75.397095",34000,408,206
1546277005,2018-12-31T17:23:25Z,JAI384,"25.380707,75.338997",34000,406,206
1546277066,2018-12-31T17:24:26Z,JAI384,"25.278717,75.283966",34000,406,206
1546277130,2018-12-31T17:25:30Z,JAI384,"25.167709,75.231224",33975,411,201
1546277191,2018-12-31T17:26:31Z,JAI384,"25.059116,75.184311",34000,417,201
1546277251,2018-12-31T17:27:31Z,JAI384,"24.94902,75.137001",34000,419,201
1546277312,2018-12-31T17:28:32Z,JAI384,"24.838737,75.08979",34000,420,201
1546277372,2018-12-31T17:29:32Z,JAI384,"24.729061,75.042839",34000,421,201
1546277437,2018-12-31T17:30:37Z,JAI384,"24.612867,74.993248",34000,421,201
1546277496,2018-12-31T17:31:36Z,JAI384,"24.502945,74.946388",34000,422,201
1546277561,2018-12-31T17:32:41Z,JAI384,"24.385895,74.896446",34000,423,201
1546277623,2018-12-31T17:33:43Z,JAI384,"24.275084,74.849182",34000,423,201
1546277683,2018-12-31T17:34:43Z,JAI384,"24.164474,74.802498",34000,424,201
1546277745,2018-12-31T17:35:45Z,JAI384,"24.047211,74.752998",34000,424,201
1546277806,2018-12-31T17:36:46Z,JAI384,"23.936974,74.706512",34000,423,201
1546277867,2018-12-31T17:37:47Z,JAI384,"23.825296,74.659462",34000,422,201
1546277930,2018-12-31T17:38:50Z,JAI384,"23.710079,74.611053",34000,422,201
1546277992,2018-12-31T17:39:52Z,JAI384,"23.598724,74.564308",34000,422,201
1546278053,2018-12-31T17:40:53Z,JAI384,"23.48291,74.515968",34000,423,201
1546278116,2018-12-31T17:41:56Z,JAI384,"23.371674,74.469528",34000,423,201
1546278176,2018-12-31T17:42:56Z,JAI384,"23.260525,74.423119",34000,424,200
1546278240,2018-12-31T17:44:00Z,JAI384,"23.143305,74.374596",34000,425,201
1546278299,2018-12-31T17:44:59Z,JAI384,"23.029951,74.327393",34000,427,201
1546278360,2018-12-31T17:46:00Z,JAI384,"22.917526,74.280708",34000,429,200
1546278424,2018-12-31T17:47:04Z,JAI384,"22.804092,74.233871",34000,431,201
1546278484,2018-12-31T17:48:04Z,JAI384,"22.689188,74.186348",34000,431,200
1546278544,2018-12-31T17:49:04Z,JAI384,"22.57663,74.139984",34000,430,200
1546278607,2018-12-31T17:50:07Z,JAI384,"22.457544,74.091034",34000,430,200
1546278669,2018-12-31T17:51:09Z,JAI384,"22.344818,74.044708",34000,430,200
1546278731,2018-12-31T17:52:11Z,JAI384,"22.226761,73.996315",34000,431,200
1546278792,2018-12-31T17:53:12Z,JAI384,"22.113291,73.949738",34000,434,200
1546278856,2018-12-31T17:54:16Z,JAI384,"21.99365,73.901062",34000,435,200
1546278915,2018-12-31T17:55:15Z,JAI384,"21.879599,73.85437",34000,435,200
1546278979,2018-12-31T17:56:19Z,JAI384,"21.760025,73.806549",34000,435,200
1546279043,2018-12-31T17:57:23Z,JAI384,"21.639908,73.757317",34000,434,200
1546279102,2018-12-31T17:58:22Z,JAI384,"21.526886,73.71122",34000,435,200
1546279166,2018-12-31T17:59:26Z,JAI384,"21.406906,73.662582",34000,435,200
1546279226,2018-12-31T18:00:26Z,JAI384,"21.29361,73.616585",34000,435,200
1546279290,2018-12-31T18:01:30Z,JAI384,"21.172564,73.567711",34000,437,200
1546279353,2018-12-31T18:02:33Z,JAI384,"21.049622,73.526154",33675,436,197
1546279417,2018-12-31T18:03:37Z,JAI384,"20.927628,73.48539",32575,428,197
1546279480,2018-12-31T18:04:40Z,JAI384,"20.810028,73.445618",31500,417,197
1546279541,2018-12-31T18:05:41Z,JAI384,"20.697418,73.408043",30500,415,197
1546279605,2018-12-31T18:06:45Z,JAI384,"20.581861,73.369293",28475,413,197
1546279665,2018-12-31T18:07:45Z,JAI384,"20.472748,73.333008",26575,400,197
1546279672,2018-12-31T18:07:52Z,JAI384,"20.462494,73.32962",26375,397,197
1546279763,2018-12-31T18:09:23Z,JAI384,"20.306808,73.277977",23225,378,197
1546279826,2018-12-31T18:10:26Z,JAI384,"20.200924,73.243156",21075,375,196
1546279889,2018-12-31T18:11:29Z,JAI384,"20.098938,73.211029",20125,339,196
1546279934,2018-12-31T18:12:14Z,JAI384,"20.032173,73.193214",19600,321,186
1546279942,2018-12-31T18:12:22Z,JAI384,"20.023361,73.19239",19450,321,184
1546279948,2018-12-31T18:12:28Z,JAI384,"20.014297,73.191566",19300,322,184
1546280010,2018-12-31T18:13:30Z,JAI384,"19.919191,73.183777",17625,326,184
1546280039,2018-12-31T18:13:59Z,JAI384,"19.873569,73.179878",16875,326,184
1546280075,2018-12-31T18:14:35Z,JAI384,"19.822952,73.175468",16050,327,184
1546280106,2018-12-31T18:15:06Z,JAI384,"19.772644,73.171448",15200,325,184
1546280136,2018-12-31T18:15:36Z,JAI384,"19.726883,73.167496",14450,326,184
1546280171,2018-12-31T18:16:11Z,JAI384,"19.677305,73.1633",13625,325,184
1546280203,2018-12-31T18:16:43Z,JAI384,"19.626617,73.158989",12800,324,184
1546280236,2018-12-31T18:17:16Z,JAI384,"19.576904,73.154724",11975,320,184
1546280250,2018-12-31T18:17:30Z,JAI384,"19.559528,73.153313",11675,320,184
1546280261,2018-12-31T18:17:41Z,JAI384,"19.541565,73.151825",11375,319,184
1546280273,2018-12-31T18:17:53Z,JAI384,"19.523254,73.150307",11075,317,184
1546280287,2018-12-31T18:18:07Z,JAI384,"19.506042,73.149475",10950,310,181
1546280297,2018-12-31T18:18:17Z,JAI384,"19.488676,73.149117",10875,300,181
1546280309,2018-12-31T18:18:29Z,JAI384,"19.472397,73.148788",10750,292,180
1546280321,2018-12-31T18:18:41Z,JAI384,"19.455826,73.148445",10550,288,181
1546280332,2018-12-31T18:18:52Z,JAI384,"19.440033,73.148102",10325,285,181
1546280346,2018-12-31T18:19:06Z,JAI384,"19.423874,73.147705",10125,281,181
1546280357,2018-12-31T18:19:17Z,JAI384,"19.408539,73.147362",9900,279,181
1546280368,2018-12-31T18:19:28Z,JAI384,"19.392838,73.147072",9675,276,181
1546280380,2018-12-31T18:19:40Z,JAI384,"19.377182,73.14682",9450,273,180
1546280393,2018-12-31T18:19:53Z,JAI384,"19.361984,73.14653",9250,269,181
1546280405,2018-12-31T18:20:05Z,JAI384,"19.347656,73.146141",9050,265,181
1546280418,2018-12-31T18:20:18Z,JAI384,"19.333099,73.145744",8800,265,181
1546280429,2018-12-31T18:20:29Z,JAI384,"19.318014,73.145271",8625,264,181
1546280447,2018-12-31T18:20:47Z,JAI384,"19.299162,73.144775",8450,266,181
1546280458,2018-12-31T18:20:58Z,JAI384,"19.284311,73.144379",8275,267,181
1546280471,2018-12-31T18:21:11Z,JAI384,"19.269562,73.144081",8125,266,181
1546280501,2018-12-31T18:21:41Z,JAI384,"19.233582,73.150795",7975,256,149
1546280510,2018-12-31T18:21:50Z,JAI384,"19.22525,73.157715",7975,252,136
1546280516,2018-12-31T18:21:56Z,JAI384,"19.218719,73.166649",7975,250,122
1546280524,2018-12-31T18:22:04Z,JAI384,"19.215599,73.173286",7975,249,113
1546280533,2018-12-31T18:22:13Z,JAI384,"19.212982,73.183853",7975,247,99
1546280539,2018-12-31T18:22:19Z,JAI384,"19.212528,73.190971",8000,248,91
1546280560,2018-12-31T18:22:40Z,JAI384,"19.213165,73.21637",7925,247,88
1546280572,2018-12-31T18:22:52Z,JAI384,"19.213366,73.231468",7725,247,89
1546280584,2018-12-31T18:23:04Z,JAI384,"19.213505,73.245697",7550,247,89
1546280597,2018-12-31T18:23:17Z,JAI384,"19.213623,73.260071",7350,246,89
1546280609,2018-12-31T18:23:29Z,JAI384,"19.213692,73.274765",7150,244,89
1546280619,2018-12-31T18:23:39Z,JAI384,"19.21376,73.288719",7000,243,89
1546280631,2018-12-31T18:23:51Z,JAI384,"19.213852,73.30294",6975,239,89
1546280647,2018-12-31T18:24:07Z,JAI384,"19.213898,73.320351",6975,237,89
1546280659,2018-12-31T18:24:19Z,JAI384,"19.213989,73.334229",6975,237,89
1546280672,2018-12-31T18:24:32Z,JAI384,"19.214081,73.348457",6975,236,89
1546280685,2018-12-31T18:24:45Z,JAI384,"19.214172,73.362625",7000,236,89
1546280695,2018-12-31T18:24:55Z,JAI384,"19.214296,73.376289",7000,237,89
1546280722,2018-12-31T18:25:22Z,JAI384,"19.206573,73.405449",7000,234,130
1546280730,2018-12-31T18:25:30Z,JAI384,"19.201538,73.409958",7000,234,143
1546280736,2018-12-31T18:25:36Z,JAI384,"19.195583,73.413239",7000,235,156
1546280742,2018-12-31T18:25:42Z,JAI384,"19.189682,73.414864",7000,235,167
1546280764,2018-12-31T18:26:04Z,JAI384,"19.165277,73.406601",7000,238,221
1546280770,2018-12-31T18:26:10Z,JAI384,"19.160948,73.401054",6975,239,234
1546280777,2018-12-31T18:26:17Z,JAI384,"19.15727,73.394714",6975,240,240
1546280784,2018-12-31T18:26:24Z,JAI384,"19.154058,73.388573",6975,241,241
1546280790,2018-12-31T18:26:30Z,JAI384,"19.150726,73.382149",6975,242,241
1546280797,2018-12-31T18:26:37Z,JAI384,"19.147635,73.376091",6975,242,241
1546280808,2018-12-31T18:26:48Z,JAI384,"19.141113,73.363464",7000,241,241
1546280819,2018-12-31T18:26:59Z,JAI384,"19.134796,73.351204",7000,241,241
1546280833,2018-12-31T18:27:13Z,JAI384,"19.128222,73.338585",7000,241,241
1546280842,2018-12-31T18:27:22Z,JAI384,"19.121798,73.326149",7000,241,241
1546280856,2018-12-31T18:27:36Z,JAI384,"19.115295,73.313583",7000,242,241
1546280869,2018-12-31T18:27:49Z,JAI384,"19.108624,73.30098",7000,241,240
1546280879,2018-12-31T18:27:59Z,JAI384,"19.102291,73.288994",6875,239,240
1546280888,2018-12-31T18:28:08Z,JAI384,"19.098038,73.279251",6650,243,250
1546280894,2018-12-31T18:28:14Z,JAI384,"19.096474,73.272064",6550,243,259
1546280900,2018-12-31T18:28:20Z,JAI384,"19.095566,73.264877",6450,243,263
1546280906,2018-12-31T18:28:26Z,JAI384,"19.094984,73.258133",6325,243,265
1546280912,2018-12-31T18:28:32Z,JAI384,"19.094467,73.2509",6200,243,265
1546280918,2018-12-31T18:28:38Z,JAI384,"19.093918,73.243889",6075,243,265
1546280931,2018-12-31T18:28:51Z,JAI384,"19.092936,73.228821",5775,247,267
1546280943,2018-12-31T18:29:03Z,JAI384,"19.092636,73.21431",5500,251,269
1546280955,2018-12-31T18:29:15Z,JAI384,"19.092682,73.199547",5250,251,270
1546280967,2018-12-31T18:29:27Z,JAI384,"19.092888,73.184822",5100,247,270
1546280994,2018-12-31T18:29:54Z,JAI384,"19.092316,73.152664",4575,241,268
1546281000,2018-12-31T18:30:00Z,JAI384,"19.09219,73.145271",4475,239,269
1546281006,2018-12-31T18:30:06Z,JAI384,"19.092144,73.138481",4350,238,269
1546281012,2018-12-31T18:30:12Z,JAI384,"19.092041,73.131866",4225,238,269
1546281018,2018-12-31T18:30:18Z,JAI384,"19.091995,73.124313",4050,238,269
1546281026,2018-12-31T18:30:26Z,JAI384,"19.091911,73.117561",3925,239,269
1546281036,2018-12-31T18:30:36Z,JAI384,"19.091858,73.10347",3650,237,269
1546281043,2018-12-31T18:30:43Z,JAI384,"19.091818,73.096535",3525,236,269
1546281049,2018-12-31T18:30:49Z,JAI384,"19.091721,73.089439",3425,233,269
1546281055,2018-12-31T18:30:55Z,JAI384,"19.091631,73.082405",3350,228,269
1546281062,2018-12-31T18:31:02Z,JAI384,"19.091537,73.075951",3300,222,268
1546281090,2018-12-31T18:31:30Z,JAI384,"19.091166,73.045647",2900,202,269
1546281096,2018-12-31T18:31:36Z,JAI384,"19.09108,73.039757",2825,200,269
1546281103,2018-12-31T18:31:43Z,JAI384,"19.091026,73.034012",2750,200,269
1546281115,2018-12-31T18:31:55Z,JAI384,"19.090851,73.021416",2525,202,269
1546281121,2018-12-31T18:32:01Z,JAI384,"19.090746,73.015434",2400,203,268
1546281128,2018-12-31T18:32:08Z,JAI384,"19.090654,73.00959",2275,203,268
1546281139,2018-12-31T18:32:19Z,JAI384,"19.090513,72.99781",2050,198,269
1546281145,2018-12-31T18:32:25Z,JAI384,"19.090439,72.994049",1975,196,269
1546281156,2018-12-31T18:32:36Z,JAI384,"19.090281,72.98278",1775,193,268
1546281162,2018-12-31T18:32:42Z,JAI384,"19.090164,72.974922",1650,191,269
1546281169,2018-12-31T18:32:49Z,JAI384,"19.090141,72.971138",1600,188,269
1546281185,2018-12-31T18:33:05Z,JAI384,"19.08989,72.955544",1325,175,269
1546281192,2018-12-31T18:33:12Z,JAI384,"19.089844,72.949318",1200,172,269
1546281211,2018-12-31T18:33:31Z,JAI384,"19.089582,72.93399",900,166,269
