Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546364354,2019-01-01T17:39:14Z,JAI384,"28.472513,77.016418",4650,255,195
1546364360,2019-01-01T17:39:20Z,JAI384,"28.46553,77.01432",4825,261,194
1546364378,2019-01-01T17:39:38Z,JAI384,"28.443277,77.008018",5525,271,193
1546364389,2019-01-01T17:39:49Z,JAI384,"28.42868,77.004128",5775,280,193
1546364402,2019-01-01T17:40:02Z,JAI384,"28.412521,76.999901",6025,295,192
1546364413,2019-01-01T17:40:13Z,JAI384,"28.395794,76.995529",6225,312,193
1546364426,2019-01-01T17:40:26Z,JAI384,"28.378876,76.991081",6425,325,193
1546364437,2019-01-01T17:40:37Z,JAI384,"28.360508,76.986206",6850,332,193
1546364450,2019-01-01T17:40:50Z,JAI384,"28.342346,76.981308",7400,333,193
1546364462,2019-01-01T17:41:02Z,JAI384,"28.32486,76.975494",7950,334,199
1546364468,2019-01-01T17:41:08Z,JAI384,"28.31605,76.971504",8200,335,203
1546364474,2019-01-01T17:41:14Z,JAI384,"28.307671,76.96682",8450,336,207
1546364480,2019-01-01T17:41:20Z,JAI384,"28.300323,76.962082",8700,337,211
1546364486,2019-01-01T17:41:26Z,JAI384,"28.291901,76.955688",8975,336,215
1546364493,2019-01-01T17:41:33Z,JAI384,"28.284023,76.948944",9225,339,218
1546364501,2019-01-01T17:41:41Z,JAI384,"28.272896,76.93914",9525,342,217
1546364514,2019-01-01T17:41:54Z,JAI384,"28.257814,76.925781",10025,344,218
1546364524,2019-01-01T17:42:04Z,JAI384,"28.242508,76.91217",10450,350,218
1546364537,2019-01-01T17:42:17Z,JAI384,"28.227493,76.898804",10775,356,218
1546364548,2019-01-01T17:42:28Z,JAI384,"28.21196,76.884911",11175,361,218
1546364561,2019-01-01T17:42:41Z,JAI384,"28.195358,76.870438",11725,362,216
1546364573,2019-01-01T17:42:53Z,JAI384,"28.177883,76.857712",12400,361,210
1546364580,2019-01-01T17:43:00Z,JAI384,"28.169403,76.852432",12700,361,208
1546364588,2019-01-01T17:43:08Z,JAI384,"28.155624,76.844612",13175,360,206
1546364622,2019-01-01T17:43:42Z,JAI384,"28.106426,76.817215",14875,359,206
1546364655,2019-01-01T17:44:15Z,JAI384,"28.056244,76.789047",16300,364,206
1546364686,2019-01-01T17:44:46Z,JAI384,"28.007309,76.761742",17575,371,206
1546364721,2019-01-01T17:45:21Z,JAI384,"27.954618,76.732231",18900,377,206
1546364781,2019-01-01T17:46:21Z,JAI384,"27.860916,76.680008",21425,378,206
1546364845,2019-01-01T17:47:25Z,JAI384,"27.758514,76.623009",23200,397,206
1546364907,2019-01-01T17:48:27Z,JAI384,"27.654078,76.564934",24850,409,206
1546364970,2019-01-01T17:49:30Z,JAI384,"27.544556,76.50428",26375,418,206
1546365032,2019-01-01T17:50:32Z,JAI384,"27.438034,76.445358",27625,428,206
1546365095,2019-01-01T17:51:35Z,JAI384,"27.323914,76.383118",29050,431,206
