Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546882322,2019-01-07T17:32:02Z,JAI384,"28.547182,77.063171",1475,166,279
1546882332,2019-01-07T17:32:12Z,JAI384,"28.548439,77.05471",1775,168,277
1546882352,2019-01-07T17:32:32Z,JAI384,"28.541363,77.038559",2325,182,216
1546882362,2019-01-07T17:32:42Z,JAI384,"28.533915,77.035057",2425,196,196
1546882372,2019-01-07T17:32:52Z,JAI384,"28.523895,77.03344",2550,212,186
1546882383,2019-01-07T17:33:03Z,JAI384,"28.513571,77.031395",2725,224,191
1546882397,2019-01-07T17:33:17Z,JAI384,"28.49762,77.026939",3000,242,194
1546882407,2019-01-07T17:33:27Z,JAI384,"28.486359,77.023506",3175,255,195
1546882423,2019-01-07T17:33:43Z,JAI384,"28.468416,77.017982",3550,266,195
1546882433,2019-01-07T17:33:53Z,JAI384,"28.456451,77.014374",3700,267,195
1546882443,2019-01-07T17:34:03Z,JAI384,"28.444489,77.010818",3875,266,194
1546882452,2019-01-07T17:34:12Z,JAI384,"28.432245,77.007263",4025,267,194
1546882462,2019-01-07T17:34:22Z,JAI384,"28.420652,77.003929",4200,269,194
1546882473,2019-01-07T17:34:33Z,JAI384,"28.408318,76.999405",4400,277,200
1546882482,2019-01-07T17:34:42Z,JAI384,"28.396492,76.992729",4575,289,209
1546882488,2019-01-07T17:34:48Z,JAI384,"28.390766,76.988632",4675,293,212
1546882498,2019-01-07T17:34:58Z,JAI384,"28.379175,76.979263",4825,304,215
1546882508,2019-01-07T17:35:08Z,JAI384,"28.367294,76.969635",5050,313,215
1546882522,2019-01-07T17:35:22Z,JAI384,"28.349442,76.955269",5525,320,215
1546882537,2019-01-07T17:35:37Z,JAI384,"28.330807,76.940376",5950,328,215
1546882553,2019-01-07T17:35:53Z,JAI384,"28.311951,76.925423",6325,330,215
1546882568,2019-01-07T17:36:08Z,JAI384,"28.29332,76.91069",6550,333,215
1546882583,2019-01-07T17:36:23Z,JAI384,"28.27392,76.895355",6800,338,215
1546882598,2019-01-07T17:36:38Z,JAI384,"28.254318,76.879997",7050,342,214
1546882612,2019-01-07T17:36:52Z,JAI384,"28.234863,76.864769",7425,349,214
1546882628,2019-01-07T17:37:08Z,JAI384,"28.214474,76.848717",8075,351,214
1546882643,2019-01-07T17:37:23Z,JAI384,"28.194176,76.832672",8600,355,215
1546882658,2019-01-07T17:37:38Z,JAI384,"28.174347,76.816933",9225,359,215
1546882673,2019-01-07T17:37:53Z,JAI384,"28.153351,76.800247",9850,361,215
1546882692,2019-01-07T17:38:12Z,JAI384,"28.126373,76.778961",10700,366,214
1546882707,2019-01-07T17:38:27Z,JAI384,"28.104982,76.762016",11325,369,214
1546882722,2019-01-07T17:38:42Z,JAI384,"28.083523,76.745155",11975,373,215
1546882738,2019-01-07T17:38:58Z,JAI384,"28.062527,76.728462",12575,377,214
1546882773,2019-01-07T17:39:33Z,JAI384,"28.010742,76.687737",13975,390,214
1546882807,2019-01-07T17:40:07Z,JAI384,"27.960018,76.647789",15575,395,214
1546882842,2019-01-07T17:40:42Z,JAI384,"27.905832,76.605392",17275,397,214
1546882867,2019-01-07T17:41:07Z,JAI384,"27.866169,76.581207",18375,407,204
1546882916,2019-01-07T17:41:56Z,JAI384,"27.780001,76.536621",20050,425,204
