Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547225398,2019-01-11T16:49:58Z,JAI384,"28.550348,77.05143",1475,196,284
1547225521,2019-01-11T16:52:01Z,JAI384,"28.438808,76.986153",4825,305,215
1547225528,2019-01-11T16:52:08Z,JAI384,"28.431406,76.980232",4950,312,214
1547225538,2019-01-11T16:52:18Z,JAI384,"28.42028,76.971886",5125,323,213
1547225549,2019-01-11T16:52:29Z,JAI384,"28.404648,76.960495",5325,337,212
1547225561,2019-01-11T16:52:41Z,JAI384,"28.388485,76.948456",5625,347,213
1547225573,2019-01-11T16:52:53Z,JAI384,"28.372604,76.936569",6050,352,213
1547225584,2019-01-11T16:53:04Z,JAI384,"28.355852,76.92395",6675,351,213
1547225596,2019-01-11T16:53:16Z,JAI384,"28.340103,76.91217",7250,350,213
1547225608,2019-01-11T16:53:28Z,JAI384,"28.323074,76.89949",7825,352,213
1547225621,2019-01-11T16:53:41Z,JAI384,"28.30674,76.887444",8350,352,212
1547225634,2019-01-11T16:53:54Z,JAI384,"28.289841,76.87516",8825,356,212
1547225645,2019-01-11T16:54:05Z,JAI384,"28.273687,76.863419",9325,357,212
1547225657,2019-01-11T16:54:17Z,JAI384,"28.257385,76.851639",9775,360,212
1547225670,2019-01-11T16:54:30Z,JAI384,"28.240356,76.838921",10300,360,214
1547225681,2019-01-11T16:54:41Z,JAI384,"28.22304,76.826157",10875,360,212
1547225693,2019-01-11T16:54:53Z,JAI384,"28.206001,76.814148",11425,360,211
1547225706,2019-01-11T16:55:06Z,JAI384,"28.188217,76.80162",11925,362,211
1547225718,2019-01-11T16:55:18Z,JAI384,"28.171371,76.789627",12425,364,212
1547225751,2019-01-11T16:55:51Z,JAI384,"28.12458,76.755821",13775,370,212
1547225784,2019-01-11T16:56:24Z,JAI384,"28.075241,76.720009",14975,382,213
1547225817,2019-01-11T16:56:57Z,JAI384,"28.025162,76.683777",16525,383,212
1547225849,2019-01-11T16:57:29Z,JAI384,"27.977646,76.649765",18025,381,212
1547225910,2019-01-11T16:58:30Z,JAI384,"27.885132,76.583466",20325,390,212
1547225975,2019-01-11T16:59:35Z,JAI384,"27.787125,76.512932",22275,402,212
1547226038,2019-01-11T17:00:38Z,JAI384,"27.690435,76.439651",24750,393,214
1547226101,2019-01-11T17:01:41Z,JAI384,"27.595655,76.368187",26350,400,213
1547226167,2019-01-11T17:02:47Z,JAI384,"27.489748,76.290855",27550,417,211
1547226228,2019-01-11T17:03:48Z,JAI384,"27.386948,76.220764",29250,411,211
1547226293,2019-01-11T17:04:53Z,JAI384,"27.283709,76.14994",30950,403,211
1547226354,2019-01-11T17:05:54Z,JAI384,"27.185297,76.082748",32275,401,211
1547226417,2019-01-11T17:06:57Z,JAI384,"27.086187,76.015251",33575,397,211
1547226482,2019-01-11T17:08:02Z,JAI384,"26.985075,75.946533",34000,398,211
1547226545,2019-01-11T17:09:05Z,JAI384,"26.885035,75.878609",34000,399,211
1547226596,2019-01-11T17:09:56Z,JAI384,"26.800507,75.82753",34000,411,201
1547226663,2019-01-11T17:11:03Z,JAI384,"26.68351,75.777931",34000,414,200
1547226726,2019-01-11T17:12:06Z,JAI384,"26.568434,75.728973",34000,413,200
1547226785,2019-01-11T17:13:05Z,JAI384,"26.461735,75.683655",34000,413,200
1547226850,2019-01-11T17:14:10Z,JAI384,"26.345993,75.635063",33975,414,200
1547226876,2019-01-11T17:14:36Z,JAI384,"26.30127,75.616257",33975,413,200
1547226966,2019-01-11T17:16:06Z,JAI384,"26.137592,75.547485",34000,414,200
1547227029,2019-01-11T17:17:09Z,JAI384,"26.022858,75.499344",34000,414,200
1547227090,2019-01-11T17:18:10Z,JAI384,"25.915165,75.454468",34000,413,200
1547227153,2019-01-11T17:19:13Z,JAI384,"25.80162,75.407204",33975,411,200
1547227216,2019-01-11T17:20:16Z,JAI384,"25.687712,75.360306",34000,411,200
1547227280,2019-01-11T17:21:20Z,JAI384,"25.573891,75.313713",34000,411,200
1547227343,2019-01-11T17:22:23Z,JAI384,"25.460676,75.267281",34000,411,200
1547227404,2019-01-11T17:23:24Z,JAI384,"25.352535,75.222977",34000,411,200
1547227467,2019-01-11T17:24:27Z,JAI384,"25.238808,75.176697",34000,409,200
1547227530,2019-01-11T17:25:30Z,JAI384,"25.126831,75.130821",33975,406,200
1547227591,2019-01-11T17:26:31Z,JAI384,"25.020151,75.087357",34000,403,200
1547227654,2019-01-11T17:27:34Z,JAI384,"24.908985,75.042526",34000,402,200
1547227717,2019-01-11T17:28:37Z,JAI384,"24.798248,74.99781",34000,402,200
1547227781,2019-01-11T17:29:41Z,JAI384,"24.687653,74.952904",34000,404,200
1547227841,2019-01-11T17:30:41Z,JAI384,"24.580444,74.909668",34000,408,200
1547227903,2019-01-11T17:31:43Z,JAI384,"24.470123,74.865166",33975,408,200
1547227968,2019-01-11T17:32:48Z,JAI384,"24.356369,74.819489",34000,409,200
1547228032,2019-01-11T17:33:52Z,JAI384,"24.242294,74.773659",34000,410,200
1547228093,2019-01-11T17:34:53Z,JAI384,"24.134995,74.730583",34000,411,200
1547228158,2019-01-11T17:35:58Z,JAI384,"24.015793,74.683128",34000,411,200
1547228219,2019-01-11T17:36:59Z,JAI384,"23.910141,74.640907",33975,410,200
1547228282,2019-01-11T17:38:02Z,JAI384,"23.795837,74.594933",34000,411,200
1547228341,2019-01-11T17:39:01Z,JAI384,"23.689774,74.552612",34000,412,200
1547228390,2019-01-11T17:39:50Z,JAI384,"23.603661,74.518295",34000,412,200
1547228476,2019-01-11T17:41:16Z,JAI384,"23.444229,74.454842",34000,413,200
1547228541,2019-01-11T17:42:21Z,JAI384,"23.328827,74.408951",34000,415,200
1547228601,2019-01-11T17:43:21Z,JAI384,"23.219511,74.365639",33975,418,199
1547228667,2019-01-11T17:44:27Z,JAI384,"23.098389,74.317764",34000,419,200
1547228729,2019-01-11T17:45:29Z,JAI384,"22.987106,74.273918",34000,421,199
1547228791,2019-01-11T17:46:31Z,JAI384,"22.870377,74.227829",34000,423,200
