Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547398422,2019-01-13T16:53:42Z,JAI384,"28.546417,77.067451",1225,173,281
1547398432,2019-01-13T16:53:52Z,JAI384,"28.547653,77.059059",1500,178,278
1547398457,2019-01-13T16:54:17Z,JAI384,"28.538338,77.034355",2075,221,216
1547398466,2019-01-13T16:54:26Z,JAI384,"28.529572,77.029793",2200,237,197
1547398472,2019-01-13T16:54:32Z,JAI384,"28.523209,77.027786",2325,242,194
1547398479,2019-01-13T16:54:39Z,JAI384,"28.516251,77.026253",2425,253,189
1547398485,2019-01-13T16:54:45Z,JAI384,"28.509338,77.024986",2550,260,188
1547398499,2019-01-13T16:54:59Z,JAI384,"28.49144,77.02166",2925,271,189
1547398505,2019-01-13T16:55:05Z,JAI384,"28.483795,77.02002",3200,271,191
1547398514,2019-01-13T16:55:14Z,JAI384,"28.472992,77.017487",3525,275,192
1547398520,2019-01-13T16:55:20Z,JAI384,"28.464739,77.015396",3775,277,192
1547398528,2019-01-13T16:55:28Z,JAI384,"28.456741,77.013206",4075,276,193
1547398535,2019-01-13T16:55:35Z,JAI384,"28.445559,77.010178",4400,278,193
1547398542,2019-01-13T16:55:42Z,JAI384,"28.438385,77.008141",4500,286,194
1547398552,2019-01-13T16:55:52Z,JAI384,"28.425842,77.004547",4650,298,194
1547398558,2019-01-13T16:55:58Z,JAI384,"28.418106,77.002327",4750,304,194
1547398566,2019-01-13T16:56:06Z,JAI384,"28.405245,76.99865",4900,314,193
1547398575,2019-01-13T16:56:15Z,JAI384,"28.392288,76.995041",5050,323,193
1547398589,2019-01-13T16:56:29Z,JAI384,"28.374298,76.990128",5325,332,193
1547398600,2019-01-13T16:56:40Z,JAI384,"28.356216,76.985214",5550,335,193
1547398616,2019-01-13T16:56:56Z,JAI384,"28.333191,76.978821",5825,342,194
1547398627,2019-01-13T16:57:07Z,JAI384,"28.316071,76.971802",6025,346,203
1547398635,2019-01-13T16:57:15Z,JAI384,"28.302458,76.96386",6200,349,210
1547398641,2019-01-13T16:57:21Z,JAI384,"28.294281,76.957855",6300,349,214
1547398649,2019-01-13T16:57:29Z,JAI384,"28.282654,76.947823",6475,352,218
1547398657,2019-01-13T16:57:37Z,JAI384,"28.275192,76.941109",6575,353,218
1547398674,2019-01-13T16:57:54Z,JAI384,"28.25111,76.919754",6875,355,218
1547398686,2019-01-13T16:58:06Z,JAI384,"28.236557,76.906883",7075,356,218
1547398697,2019-01-13T16:58:17Z,JAI384,"28.220943,76.893097",7275,357,218
1547398709,2019-01-13T16:58:29Z,JAI384,"28.20507,76.878929",7475,358,218
1547398723,2019-01-13T16:58:43Z,JAI384,"28.18895,76.864685",7675,359,218
1547398734,2019-01-13T16:58:54Z,JAI384,"28.172483,76.850769",7875,363,215
1547398746,2019-01-13T16:59:06Z,JAI384,"28.156004,76.839134",8075,364,209
