Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547572348,2019-01-15T17:12:28Z,JAI384,"28.549622,77.048965",1825,179,274
1547572368,2019-01-15T17:12:48Z,JAI384,"28.542387,77.034248",2325,190,218
1547572374,2019-01-15T17:12:54Z,JAI384,"28.535172,77.030533",2450,202,198
1547572382,2019-01-15T17:13:02Z,JAI384,"28.529343,77.029266",2500,212,187
1547572388,2019-01-15T17:13:08Z,JAI384,"28.52298,77.028366",2575,219,187
1547572395,2019-01-15T17:13:15Z,JAI384,"28.5168,77.027313",2625,227,189
1547572401,2019-01-15T17:13:21Z,JAI384,"28.510778,77.026009",2725,232,191
1547572411,2019-01-15T17:13:31Z,JAI384,"28.497465,77.022614",3050,239,193
1547572418,2019-01-15T17:13:38Z,JAI384,"28.490982,77.020813",3200,245,193
1547572432,2019-01-15T17:13:52Z,JAI384,"28.474049,77.015289",3525,257,200
1547572439,2019-01-15T17:13:59Z,JAI384,"28.467224,77.01194",3725,260,205
1547572448,2019-01-15T17:14:08Z,JAI384,"28.458069,77.006134",3950,265,211
1547572454,2019-01-15T17:14:14Z,JAI384,"28.451471,77.001183",4125,267,214
1547572460,2019-01-15T17:14:20Z,JAI384,"28.445,76.996277",4325,271,213
1547572470,2019-01-15T17:14:30Z,JAI384,"28.432989,76.987289",4725,275,213
1547572477,2019-01-15T17:14:37Z,JAI384,"28.426054,76.982063",4925,277,213
1547572483,2019-01-15T17:14:43Z,JAI384,"28.419662,76.977295",5175,277,213
1547572494,2019-01-15T17:14:54Z,JAI384,"28.406754,76.967682",5700,277,213
1547572510,2019-01-15T17:15:10Z,JAI384,"28.390488,76.95578",6325,278,213
1547572523,2019-01-15T17:15:23Z,JAI384,"28.377453,76.946091",6750,282,213
1547572534,2019-01-15T17:15:34Z,JAI384,"28.364605,76.936607",7225,284,213
1547572547,2019-01-15T17:15:47Z,JAI384,"28.350498,76.92627",7700,286,213
1547572559,2019-01-15T17:15:59Z,JAI384,"28.336859,76.916199",8150,289,213
1547572570,2019-01-15T17:16:10Z,JAI384,"28.323624,76.906357",8550,294,213
1547572584,2019-01-15T17:16:24Z,JAI384,"28.30957,76.89595",9000,297,213
1547572596,2019-01-15T17:16:36Z,JAI384,"28.29657,76.886337",9550,295,212
1547572606,2019-01-15T17:16:46Z,JAI384,"28.282974,76.876358",10025,297,213
1547572619,2019-01-15T17:16:59Z,JAI384,"28.268005,76.865425",10725,291,212
1547572631,2019-01-15T17:17:11Z,JAI384,"28.254364,76.855492",11400,285,213
1547572643,2019-01-15T17:17:23Z,JAI384,"28.241194,76.845703",11725,295,213
1547572656,2019-01-15T17:17:36Z,JAI384,"28.227089,76.835205",11925,308,213
1547572668,2019-01-15T17:17:48Z,JAI384,"28.212612,76.824486",12100,322,213
1547572702,2019-01-15T17:18:22Z,JAI384,"28.168015,76.791687",12625,360,213
1547572731,2019-01-15T17:18:51Z,JAI384,"28.123901,76.759308",13400,380,213
1547572763,2019-01-15T17:19:23Z,JAI384,"28.075142,76.723724",14825,383,212
1547572797,2019-01-15T17:19:57Z,JAI384,"28.025436,76.687263",16225,388,213
1547572826,2019-01-15T17:20:26Z,JAI384,"27.980164,76.653992",17475,390,213
1547572861,2019-01-15T17:21:01Z,JAI384,"27.930319,76.617493",18600,398,213
1547572928,2019-01-15T17:22:08Z,JAI384,"27.824272,76.540009",20850,412,213
1547572988,2019-01-15T17:23:08Z,JAI384,"27.721624,76.465424",23025,420,208
1547573004,2019-01-15T17:23:24Z,JAI384,"27.695389,76.451263",23450,426,204
1547573067,2019-01-15T17:24:27Z,JAI384,"27.581131,76.393066",25125,435,204
1547573130,2019-01-15T17:25:30Z,JAI384,"27.462845,76.33316",26800,442,204
1547573194,2019-01-15T17:26:34Z,JAI384,"27.346802,76.274551",28175,448,204
1547573259,2019-01-15T17:27:39Z,JAI384,"27.221649,76.211174",29125,465,204
1547573322,2019-01-15T17:28:42Z,JAI384,"27.098198,76.149254",30825,457,204
1547573384,2019-01-15T17:29:44Z,JAI384,"26.977999,76.088829",32925,436,204
1547573448,2019-01-15T17:30:48Z,JAI384,"26.866013,76.03244",34500,422,204
1547573507,2019-01-15T17:31:47Z,JAI384,"26.755508,75.976883",35100,431,204
1547573571,2019-01-15T17:32:51Z,JAI384,"26.640776,75.919701",35625,438,204
1547573634,2019-01-15T17:33:54Z,JAI384,"26.520857,75.859962",36000,446,204
1547573698,2019-01-15T17:34:58Z,JAI384,"26.400925,75.800018",35975,454,204
1547573757,2019-01-15T17:35:57Z,JAI384,"26.284231,75.741966",36000,457,203
1547573821,2019-01-15T17:37:01Z,JAI384,"26.161985,75.681541",35975,458,204
1547573882,2019-01-15T17:38:02Z,JAI384,"26.042997,75.622543",36000,458,204
1547573921,2019-01-15T17:38:41Z,JAI384,"25.968607,75.585938",36000,458,203
1547574013,2019-01-15T17:40:13Z,JAI384,"25.7925,75.49955",35975,455,204
1547574075,2019-01-15T17:41:15Z,JAI384,"25.670563,75.440063",35975,455,203
1547574140,2019-01-15T17:42:20Z,JAI384,"25.547915,75.379944",35975,454,204
1547574202,2019-01-15T17:43:22Z,JAI384,"25.425522,75.319977",36000,460,204
1547574263,2019-01-15T17:44:23Z,JAI384,"25.307285,75.2621",36000,461,203
1547574322,2019-01-15T17:45:22Z,JAI384,"25.188858,75.204475",36000,461,203
1547574386,2019-01-15T17:46:26Z,JAI384,"25.065168,75.14415",36000,462,203
1547574449,2019-01-15T17:47:29Z,JAI384,"24.941059,75.083832",36000,464,203
1547574511,2019-01-15T17:48:31Z,JAI384,"24.822025,75.02636",36000,465,203
1547574574,2019-01-15T17:49:34Z,JAI384,"24.69722,74.966278",36000,465,203
1547574636,2019-01-15T17:50:36Z,JAI384,"24.572832,74.906807",36000,466,201
1547574700,2019-01-15T17:51:40Z,JAI384,"24.443527,74.854683",36000,467,200
1547574762,2019-01-15T17:52:42Z,JAI384,"24.316376,74.803474",36000,461,200
1547574826,2019-01-15T17:53:46Z,JAI384,"24.18845,74.752167",36000,462,200
1547574888,2019-01-15T17:54:48Z,JAI384,"24.067291,74.703773",36000,463,200
1547574950,2019-01-15T17:55:50Z,JAI384,"23.940536,74.653015",36000,462,200
1547575009,2019-01-15T17:56:49Z,JAI384,"23.817522,74.603699",36000,461,200
1547575076,2019-01-15T17:57:56Z,JAI384,"23.685034,74.550735",35975,461,200
