Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548347850,2019-01-24T16:37:30Z,JAI384,"28.476608,77.008347",4200,266,203
1548347857,2019-01-24T16:37:37Z,JAI384,"28.46944,77.004303",4525,265,207
1548347863,2019-01-24T16:37:43Z,JAI384,"28.463379,77.000214",4750,268,211
1548347875,2019-01-24T16:37:55Z,JAI384,"28.450745,76.990707",5125,276,213
1548347887,2019-01-24T16:38:07Z,JAI384,"28.437551,76.980934",5500,286,213
1548347899,2019-01-24T16:38:19Z,JAI384,"28.423866,76.970917",5975,289,212
1548347910,2019-01-24T16:38:30Z,JAI384,"28.410366,76.96122",6550,289,212
1548347923,2019-01-24T16:38:43Z,JAI384,"28.396408,76.951202",7175,288,212
1548347935,2019-01-24T16:38:55Z,JAI384,"28.383133,76.941727",7800,285,212
1548347948,2019-01-24T16:39:08Z,JAI384,"28.369772,76.93219",8475,281,212
1548347960,2019-01-24T16:39:20Z,JAI384,"28.356224,76.922554",9125,279,212
1548347972,2019-01-24T16:39:32Z,JAI384,"28.343191,76.913239",9675,279,212
1548347985,2019-01-24T16:39:45Z,JAI384,"28.330015,76.903755",10175,281,212
1548347995,2019-01-24T16:39:55Z,JAI384,"28.316608,76.894066",10625,285,212
1548348008,2019-01-24T16:40:08Z,JAI384,"28.303207,76.884438",10800,297,212
1548348020,2019-01-24T16:40:20Z,JAI384,"28.288605,76.873817",11000,309,212
1548348032,2019-01-24T16:40:32Z,JAI384,"28.273407,76.862732",11225,320,212
1548348043,2019-01-24T16:40:43Z,JAI384,"28.259024,76.852325",11375,330,212
1548348057,2019-01-24T16:40:57Z,JAI384,"28.242599,76.840492",11650,338,212
1548348067,2019-01-24T16:41:07Z,JAI384,"28.226902,76.829224",12300,332,212
1548348102,2019-01-24T16:41:42Z,JAI384,"28.182495,76.79718",13525,342,212
1548348134,2019-01-24T16:42:14Z,JAI384,"28.137589,76.764748",14800,348,212
1548348167,2019-01-24T16:42:47Z,JAI384,"28.093094,76.732689",16150,351,212
1548348202,2019-01-24T16:43:22Z,JAI384,"28.047592,76.69989",17375,355,212
1548348230,2019-01-24T16:43:50Z,JAI384,"28.005594,76.669868",18500,358,212
1548348296,2019-01-24T16:44:56Z,JAI384,"27.915049,76.604759",20775,369,212
1548348356,2019-01-24T16:45:56Z,JAI384,"27.822969,76.538788",23075,372,212
1548348420,2019-01-24T16:47:00Z,JAI384,"27.730957,76.47049",24900,380,214
1548348483,2019-01-24T16:48:03Z,JAI384,"27.637505,76.399826",26525,389,213
1548348544,2019-01-24T16:49:04Z,JAI384,"27.545746,76.331139",27900,397,213
1548348609,2019-01-24T16:50:09Z,JAI384,"27.445312,76.260765",29050,409,211
1548348670,2019-01-24T16:51:10Z,JAI384,"27.34227,76.190292",30325,411,211
1548348732,2019-01-24T16:52:12Z,JAI384,"27.239855,76.120094",31825,407,211
1548348793,2019-01-24T16:53:13Z,JAI384,"27.143492,76.053963",33000,404,211
