Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548607133,2019-01-27T16:38:53Z,JAI384,"28.540106,77.045128",2325,189,217
1548607142,2019-01-27T16:39:02Z,JAI384,"28.531866,77.041084",2525,205,193
1548607148,2019-01-27T16:39:08Z,JAI384,"28.526917,77.040039",2625,211,189
1548607157,2019-01-27T16:39:17Z,JAI384,"28.51712,77.037773",2750,223,192
1548607172,2019-01-27T16:39:32Z,JAI384,"28.501469,77.033226",2975,240,195
1548607188,2019-01-27T16:39:48Z,JAI384,"28.484663,77.02784",3300,256,196
1548607197,2019-01-27T16:39:57Z,JAI384,"28.473221,77.023987",3450,266,196
1548607207,2019-01-27T16:40:07Z,JAI384,"28.460735,77.01992",3625,279,196
1548607217,2019-01-27T16:40:17Z,JAI384,"28.448492,77.015884",4000,280,196
1548607227,2019-01-27T16:40:27Z,JAI384,"28.435913,77.011887",4500,277,195
1548607238,2019-01-27T16:40:38Z,JAI384,"28.423353,77.007912",4975,276,195
1548607247,2019-01-27T16:40:47Z,JAI384,"28.411194,77.004128",5425,273,195
1548607262,2019-01-27T16:41:02Z,JAI384,"28.392071,76.998169",5800,286,195
1548607272,2019-01-27T16:41:12Z,JAI384,"28.379921,76.994392",5950,294,195
1548607287,2019-01-27T16:41:27Z,JAI384,"28.358738,76.98777",6075,312,195
1548607302,2019-01-27T16:41:42Z,JAI384,"28.337233,76.980988",6350,324,195
1548607319,2019-01-27T16:41:59Z,JAI384,"28.315338,76.971375",6800,326,205
1548607328,2019-01-27T16:42:08Z,JAI384,"28.302084,76.963051",7125,327,211
1548607338,2019-01-27T16:42:18Z,JAI384,"28.290024,76.953415",7575,323,217
1548607359,2019-01-27T16:42:39Z,JAI384,"28.26622,76.93261",8425,323,217
1548607372,2019-01-27T16:42:52Z,JAI384,"28.248642,76.917221",8925,327,217
1548607389,2019-01-27T16:43:09Z,JAI384,"28.229736,76.900597",9400,334,218
1548607403,2019-01-27T16:43:23Z,JAI384,"28.211426,76.884331",9925,338,218
1548607419,2019-01-27T16:43:39Z,JAI384,"28.193024,76.868065",10450,341,218
1548607433,2019-01-27T16:43:53Z,JAI384,"28.174622,76.851845",10950,346,218
1548607448,2019-01-27T16:44:08Z,JAI384,"28.155306,76.834663",11550,349,218
1548607464,2019-01-27T16:44:24Z,JAI384,"28.135475,76.817162",12200,350,218
1548607499,2019-01-27T16:44:59Z,JAI384,"28.09021,76.777321",13700,352,217
1548607533,2019-01-27T16:45:33Z,JAI384,"28.044558,76.737076",15100,360,217
1548607553,2019-01-27T16:45:53Z,JAI384,"28.016235,76.716682",15875,367,208
1548607563,2019-01-27T16:46:03Z,JAI384,"28.001038,76.708237",16250,370,205
1548607569,2019-01-27T16:46:09Z,JAI384,"27.99391,76.704391",16400,371,205
1548607604,2019-01-27T16:46:44Z,JAI384,"27.938139,76.674057",17725,378,205
1548607638,2019-01-27T16:47:18Z,JAI384,"27.88209,76.643692",19100,381,205
1548607647,2019-01-27T16:47:27Z,JAI384,"27.868698,76.636482",19425,381,205
1548607728,2019-01-27T16:48:48Z,JAI384,"27.736176,76.564758",22125,396,205
1548607817,2019-01-27T16:50:17Z,JAI384,"27.586576,76.48391",24975,406,205
1548607880,2019-01-27T16:51:20Z,JAI384,"27.480206,76.426712",26750,415,205
1548607944,2019-01-27T16:52:24Z,JAI384,"27.367781,76.366287",28400,424,205
1548608008,2019-01-27T16:53:28Z,JAI384,"27.252502,76.304611",29675,436,205
