Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549039924,2019-02-01T16:52:04Z,JAI384,"28.552322,77.035767",1825,198,273
1549039998,2019-02-01T16:53:18Z,JAI384,"28.490435,77.01136",3700,236,188
1549040008,2019-02-01T16:53:28Z,JAI384,"28.477386,77.00872",4200,235,191
1549040015,2019-02-01T16:53:35Z,JAI384,"28.47065,77.00721",4500,234,191
1549040026,2019-02-01T16:53:46Z,JAI384,"28.458023,77.004387",5000,232,191
1549040039,2019-02-01T16:53:59Z,JAI384,"28.445232,77.00145",5300,240,191
1549040050,2019-02-01T16:54:10Z,JAI384,"28.431564,76.998314",5500,252,191
1549040063,2019-02-01T16:54:23Z,JAI384,"28.416883,76.995041",5725,264,190
1549040073,2019-02-01T16:54:33Z,JAI384,"28.402266,76.99192",5925,276,190
1549040087,2019-02-01T16:54:47Z,JAI384,"28.386658,76.988701",6025,292,190
1549040099,2019-02-01T16:54:59Z,JAI384,"28.369583,76.985107",6025,313,190
1549040111,2019-02-01T16:55:11Z,JAI384,"28.352051,76.981468",6000,325,190
1549040123,2019-02-01T16:55:23Z,JAI384,"28.334335,76.977715",6150,331,190
1549040136,2019-02-01T16:55:36Z,JAI384,"28.315979,76.972328",6400,338,198
1549040145,2019-02-01T16:55:45Z,JAI384,"28.302691,76.965691",6550,342,207
1549040151,2019-02-01T16:55:51Z,JAI384,"28.294403,76.960304",6650,344,211
1549040158,2019-02-01T16:55:58Z,JAI384,"28.286537,76.954109",6775,345,216
1549040164,2019-02-01T16:56:04Z,JAI384,"28.278351,76.946815",6875,345,218
1549040170,2019-02-01T16:56:10Z,JAI384,"28.271687,76.940811",6975,345,218
1549040188,2019-02-01T16:56:28Z,JAI384,"28.248688,76.919983",7200,350,218
1549040197,2019-02-01T16:56:37Z,JAI384,"28.233948,76.906776",7700,349,218
1549040209,2019-02-01T16:56:49Z,JAI384,"28.219687,76.894066",8300,350,218
1549040224,2019-02-01T16:57:04Z,JAI384,"28.202276,76.878609",8850,355,218
