Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549471882,2019-02-06T16:51:22Z,JAI384,"28.445232,77.119934",2725,251,190
1549471890,2019-02-06T16:51:30Z,JAI384,"28.438297,77.11853",2825,255,190
1549471896,2019-02-06T16:51:36Z,JAI384,"28.430923,77.116997",2975,257,190
1549471906,2019-02-06T16:51:46Z,JAI384,"28.416733,77.11409",3425,259,190
1549471914,2019-02-06T16:51:54Z,JAI384,"28.409527,77.112549",3700,259,190
1549471926,2019-02-06T16:52:06Z,JAI384,"28.395126,77.109444",4225,262,190
1549471932,2019-02-06T16:52:12Z,JAI384,"28.388397,77.108017",4475,263,190
1549471942,2019-02-06T16:52:22Z,JAI384,"28.373703,77.105011",5050,263,190
1549471956,2019-02-06T16:52:36Z,JAI384,"28.359158,77.101997",5625,263,190
1549471967,2019-02-06T16:52:47Z,JAI384,"28.344727,77.098877",6150,264,191
1549471979,2019-02-06T16:52:59Z,JAI384,"28.330248,77.095695",6650,264,191
1549471991,2019-02-06T16:53:11Z,JAI384,"28.316391,77.090538",7175,264,205
1549471997,2019-02-06T16:53:17Z,JAI384,"28.309906,77.086273",7425,265,213
1549472006,2019-02-06T16:53:26Z,JAI384,"28.30134,77.078087",7800,266,224
1549472012,2019-02-06T16:53:32Z,JAI384,"28.296125,77.072159",8050,266,225
1549472020,2019-02-06T16:53:40Z,JAI384,"28.290819,77.066132",8325,265,225
1549472027,2019-02-06T16:53:47Z,JAI384,"28.282745,77.056999",8725,267,225
1549472038,2019-02-06T16:53:58Z,JAI384,"28.272354,77.04538",9225,267,224
1549472051,2019-02-06T16:54:11Z,JAI384,"28.261322,77.033226",9750,268,224
1549472063,2019-02-06T16:54:23Z,JAI384,"28.250645,77.021591",10275,268,224
1549472077,2019-02-06T16:54:37Z,JAI384,"28.240217,77.010124",10850,264,224
1549472087,2019-02-06T16:54:47Z,JAI384,"28.230331,76.999268",11375,263,224
1549472100,2019-02-06T16:55:00Z,JAI384,"28.219408,76.987236",11975,263,224
