Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549645384,2019-02-08T17:03:04Z,JAI384,"28.550995,77.046432",1875,186,277
1549645475,2019-02-08T17:04:35Z,JAI384,"28.460829,77.009903",4325,284,191
1549645486,2019-02-08T17:04:46Z,JAI384,"28.445251,77.006134",4850,286,192
1549645493,2019-02-08T17:04:53Z,JAI384,"28.438017,77.004303",5000,291,192
1549645504,2019-02-08T17:05:04Z,JAI384,"28.421173,77.000107",5175,307,192
1549645516,2019-02-08T17:05:16Z,JAI384,"28.403849,76.995689",5375,322,192
1549645528,2019-02-08T17:05:28Z,JAI384,"28.385553,76.991165",5750,329,192
1549645541,2019-02-08T17:05:41Z,JAI384,"28.36763,76.986694",6350,328,192
1549645553,2019-02-08T17:05:53Z,JAI384,"28.350266,76.982437",6975,327,192
1549645563,2019-02-08T17:06:03Z,JAI384,"28.333145,76.978088",7400,330,193
1549645576,2019-02-08T17:06:16Z,JAI384,"28.314651,76.970688",7800,334,203
1549645582,2019-02-08T17:06:22Z,JAI384,"28.305902,76.965797",8025,335,207
1549645588,2019-02-08T17:06:28Z,JAI384,"28.297802,76.960358",8200,338,211
1549645594,2019-02-08T17:06:34Z,JAI384,"28.290306,76.954491",8400,339,216
1549645601,2019-02-08T17:06:41Z,JAI384,"28.282745,76.947823",8600,340,218
1549645609,2019-02-08T17:06:49Z,JAI384,"28.271347,76.937675",8925,344,218
1549645624,2019-02-08T17:07:04Z,JAI384,"28.252321,76.920776",9525,346,218
1549645636,2019-02-08T17:07:16Z,JAI384,"28.237099,76.907257",10000,348,218
1549645647,2019-02-08T17:07:27Z,JAI384,"28.223053,76.894844",10450,350,218
1549645661,2019-02-08T17:07:41Z,JAI384,"28.206482,76.880104",10900,354,218
1549645672,2019-02-08T17:07:52Z,JAI384,"28.191284,76.866638",11350,357,218
1549645685,2019-02-08T17:08:05Z,JAI384,"28.174896,76.852112",11800,361,218
1549645697,2019-02-08T17:08:17Z,JAI384,"28.16066,76.839485",12250,362,218
1549645729,2019-02-08T17:08:49Z,JAI384,"28.115387,76.79966",13750,364,217
1549645763,2019-02-08T17:09:23Z,JAI384,"28.071371,76.760933",15100,370,218
1549645797,2019-02-08T17:09:57Z,JAI384,"28.025845,76.720924",16400,377,217
1549645829,2019-02-08T17:10:29Z,JAI384,"27.979431,76.680084",17750,383,218
1549645860,2019-02-08T17:11:00Z,JAI384,"27.935625,76.641418",18850,390,218
1549645925,2019-02-08T17:12:05Z,JAI384,"27.840271,76.557709",21125,402,217
1549645978,2019-02-08T17:12:58Z,JAI384,"27.760496,76.496162",22625,417,206
1549645984,2019-02-08T17:13:04Z,JAI384,"27.745514,76.488319",22900,419,204
1549646049,2019-02-08T17:14:09Z,JAI384,"27.630709,76.429405",24550,434,204
1549646114,2019-02-08T17:15:14Z,JAI384,"27.513107,76.369286",26250,440,204
1549646175,2019-02-08T17:16:15Z,JAI384,"27.396877,76.309822",27600,448,204
1549646240,2019-02-08T17:17:20Z,JAI384,"27.272461,76.246254",28525,465,204
1549646302,2019-02-08T17:18:22Z,JAI384,"27.145981,76.182053",29325,481,204
1549646364,2019-02-08T17:19:24Z,JAI384,"27.018965,76.117767",30900,473,204
1549646424,2019-02-08T17:20:24Z,JAI384,"26.899155,76.057106",32300,466,204
1549646488,2019-02-08T17:21:28Z,JAI384,"26.777344,75.995438",33200,469,204
1549646554,2019-02-08T17:22:34Z,JAI384,"26.643814,75.928223",34000,469,204
1549646620,2019-02-08T17:23:40Z,JAI384,"26.516373,75.86412",33975,467,204
1549646674,2019-02-08T17:24:34Z,JAI384,"26.405594,75.808723",33975,464,204
1549646762,2019-02-08T17:26:02Z,JAI384,"26.23526,75.723579",33975,459,204
1549646825,2019-02-08T17:27:05Z,JAI384,"26.113478,75.662949",33975,457,204
1549646895,2019-02-08T17:28:15Z,JAI384,"25.97843,75.59523",33975,446,204
1549646959,2019-02-08T17:29:19Z,JAI384,"25.859442,75.536339",33975,441,204
1549647023,2019-02-08T17:30:23Z,JAI384,"25.740408,75.477524",34000,441,204
1549647083,2019-02-08T17:31:23Z,JAI384,"25.628729,75.422592",34000,436,204
1549647145,2019-02-08T17:32:25Z,JAI384,"25.513367,75.365501",34000,426,204
1549647209,2019-02-08T17:33:29Z,JAI384,"25.398296,75.308945",34000,432,203
1549647270,2019-02-08T17:34:30Z,JAI384,"25.288898,75.254951",34000,425,204
1549647332,2019-02-08T17:35:32Z,JAI384,"25.175449,75.199707",34000,422,203
1549647397,2019-02-08T17:36:37Z,JAI384,"25.062012,75.144447",34000,426,203
1549647457,2019-02-08T17:37:37Z,JAI384,"24.952559,75.090721",34000,429,204
1549647522,2019-02-08T17:38:42Z,JAI384,"24.83762,75.035172",34000,427,203
1549647583,2019-02-08T17:39:43Z,JAI384,"24.723312,74.979301",34000,432,204
1549647645,2019-02-08T17:40:45Z,JAI384,"24.610794,74.924721",34000,437,203
1549647706,2019-02-08T17:41:46Z,JAI384,"24.489456,74.873177",34000,447,200
1549647771,2019-02-08T17:42:51Z,JAI384,"24.365204,74.823151",34000,451,200
1549647833,2019-02-08T17:43:53Z,JAI384,"24.241425,74.77346",34000,452,200
1549647896,2019-02-08T17:44:56Z,JAI384,"24.122671,74.725845",34000,451,200
1549647958,2019-02-08T17:45:58Z,JAI384,"23.998077,74.676308",33975,448,200
1549648019,2019-02-08T17:46:59Z,JAI384,"23.881903,74.629608",34000,447,200
1549648082,2019-02-08T17:48:02Z,JAI384,"23.758484,74.57972",34000,449,200
1549648145,2019-02-08T17:49:05Z,JAI384,"23.631824,74.529335",34000,451,200
1549648155,2019-02-08T17:49:15Z,JAI384,"23.612505,74.521767",34000,452,199
